"","MatchAsgName","cluster"
"4","ADVANCED CARDIOVASCULAR SYSTEMS INC",19
"24","BAXTER INTERNATIONAL INC",19
"25","BECTON DICKINSON AND COMPANY",19
"50","ETHICON INC",19
"68","KENNAMETAL INC",19
"80","MEDTRONIC INC",19
"11","ALUMINUM COMPANY OF AMERICA",24
"36","CORNING INCORPORATED",24
"47","EBARA CORPORATION",24
"66","JFE STEEL CORPORATION",24
"69","KHD HUMBOLDT WEDAG AG",24
"72","LAFARGE CANADA INC",24
"100","NUCOR CORPORATION",24
"109","RENTECH INC",24
"127","TETRON INC",24
"132","UBE INDUSTRIES LTD",24
"6","AKZO NOBEL NV",28
"13","ARCHER DANIELS MIDLAND COMPANY",28
"33","CIBA SPECIALTY CHEMICALS CORPORATION",28
"44","DOW GLOBAL TECHNOLOGIES INC",28
"45","EASTMAN CHEMICAL COMPANY",28
"67","KAO CORPORATION",28
"9","ALSTOM",30
"10","ALSTOM (SWITZERLAND) LTD",30
"14","ARVINMERITOR GMBH",30
"15","ARVINMERITOR TECHNOLOGY LLC",30
"16","ASHLAND INC",30
"17","ASHLAND PRODUCTS INC",30
"23","BAKER HUGHES INCORPORATED",30
"27","BORGWARNER INC",30
"29","BRUNSWICK CORPORATION",30
"38","DAIMLERCHRYSLER AG",30
"39","DAIMLERCHRYSLER CORPORATION",30
"40","DANA CORPORATION",30
"41","DENSO CORPORATION",30
"46","EATON CORPORATION",30
"51","FISHER CONTROLS INTERNATIONAL INC",30
"52","FLEETGUARD INC",30
"54","FORD GLOBAL TECHNOLOGIES INC",30
"55","FORD MOTOR COMPANY",30
"59","HILL ROM SERVICES INC",30
"60","HITACHI CAR ENGINEERING CO LTD",30
"74","LEAR CORPORATION",30
"85","MITSUI KINZOKU KOGYO KABUSHIKI KAISHA",30
"86","MODINE MANUFACTURING COMPANY",30
"93","NISSAN MOTOR CO LTD",30
"99","NTN CORPORATION",30
"101","OTIS ELEVATOR COMPANY",30
"102","PARKER HANNIFIN CORPORATION",30
"104","PIONEER CORPORATION",30
"110","ROCKWELL AUTOMATION TECHNOLOGIES INC",30
"114","SIEMENS VDO AUTOMOTIVE CORPORATION",30
"115","SIEMENS VDO AUTOMOTIVE INC",30
"116","SIEMENS WESTINGHOUSE POWER CORPORATION",30
"120","SPX CORPORATION",30
"128","THE STANLEY WORKS",30
"129","THE TIMKEN COMPANY",30
"130","TOYOTA JIDOSHA KABUSHIKI KAISHA",30
"131","TYCO ELECTRONICS CORPORATION",30
"135","UNITED TECHNOLOGIES CORPORATION",30
"136","WEATHERFORD/LAMB INC",30
"137","WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION",30
"142","YAZAKI CORPORATION",30
"1","ABBOTT LABORATORIES",43
"18","ASTRAZENECA AB",43
"21","AVENTIS PHARMA DEUTSCHLAND GMBH",43
"22","AVENTIS PHARMA SA",43
"28","BRISTOL MYERS SQUIBB COMPANY",43
"32","CHIRON CORPORATION",43
"43","DIVERSA CORPORATION",43
"48","ELI LILLY AND COMPANY",43
"56","GENENCOR INTERNATIONAL INC",43
"57","GENENTECH INC",43
"58","GERON CORPORATION",43
"61","HUMAN GENOME SCIENCES INC",43
"64","INVITROGEN CORPORATION",43
"65","ISIS PHARMACEUTICALS INC",43
"73","LARGE SCALE BIOLOGY CORPORATION",43
"78","MAXYGEN INC",43
"81","MERCK & CO INC",43
"84","MILLENNIUM PHARMACEUTICALS INC",43
"87","MONSANTO TECHNOLOGY LLC",43
"98","NOVARTIS AG",43
"103","PFIZER INC",43
"112","SCHERING CORPORATION",43
"117","SIRNA THERAPEUTICS INC",43
"133","UNILEVER HOME & PERSONAL CARE USA DIVISION OF CONOPCO INC",43
"139","WYETH",43
"143","ZYMOGENETICS INC",43
"2","ACUSHNET COMPANY",44
"31","CALLAWAY GOLF COMPANY",44
"42","DIGIMARC CORPORATION",44
"82","METROLOGIC INSTRUMENTS INC",44
"90","NCR CORPORATION",44
"105","PITNEY BOWES INC",44
"113","SEIKO INSTRUMENTS INC",44
"124","SYMBOL TECHNOLOGIES INC",44
"140","XEROX CORPORATION",44
"30","BSH BOSCH UND SIEMENS HAUSGERAETE GMBH",45
"49","EMERSON ELECTRIC CO",45
"75","LG ELECTRONICS INC",45
"79","MAYTAG CORPORATION",45
"111","SANYO ELECTRIC CO LTD",45
"138","WHIRLPOOL CORPORATION",45
"5","ADVANCED MICRO DEVICES INC",46
"12","ANALOG DEVICES INC",46
"34","CIRRUS LOGIC INC",46
"37","CYPRESS SEMICONDUCTOR CORP",46
"62","INFINEON TECHNOLOGIES AG",46
