Date,Open,High,Low,Close,Volume
29-Dec-06,75.21,75.38,74.18,74.66,2649400
28-Dec-06,75.10,76.20,74.82,75.45,2360500
27-Dec-06,74.98,75.65,74.05,75.30,2316100
26-Dec-06,77.18,77.18,74.10,74.97,1911500
22-Dec-06,76.14,76.37,75.03,75.46,2263300
21-Dec-06,76.10,76.44,75.36,75.88,4341300
20-Dec-06,75.27,77.22,75.27,75.90,3379300
19-Dec-06,75.00,77.23,74.80,76.80,3526800
18-Dec-06,78.80,78.85,75.72,75.87,4944800
15-Dec-06,76.90,78.63,76.57,78.25,5467000
14-Dec-06,75.25,78.00,74.56,76.90,7729100
13-Dec-06,72.22,74.46,72.00,74.21,5339700
12-Dec-06,72.48,72.95,71.53,71.95,3240300
11-Dec-06,72.50,73.05,72.00,72.23,2609900
8-Dec-06,72.98,73.96,72.37,72.98,3256800
7-Dec-06,73.00,73.25,72.05,72.27,3321300
6-Dec-06,72.60,73.58,72.49,73.05,4676000
5-Dec-06,73.45,73.59,72.08,73.09,4003000
4-Dec-06,72.60,72.91,71.92,72.60,3842700
1-Dec-06,73.43,73.78,71.86,73.05,5480100
30-Nov-06,73.84,74.20,72.77,73.43,5204100
29-Nov-06,70.97,74.05,70.77,73.84,5425200
28-Nov-06,69.81,70.86,69.78,70.68,4253000
27-Nov-06,70.49,70.93,69.54,69.66,4071600
24-Nov-06,70.05,70.98,69.54,70.39,1402300
22-Nov-06,69.32,70.37,68.77,69.97,3996000
21-Nov-06,68.92,70.19,68.78,69.32,3138900
20-Nov-06,68.50,69.06,67.35,68.55,3717900
17-Nov-06,68.80,69.12,67.69,68.50,5945700
16-Nov-06,71.70,71.85,68.97,69.17,5387400
15-Nov-06,70.33,71.69,70.22,71.04,3523300
14-Nov-06,69.45,70.52,68.70,70.33,4473900
13-Nov-06,68.55,69.93,68.06,69.25,3777000
10-Nov-06,70.00,70.18,68.32,68.92,4511000
9-Nov-06,71.15,72.06,69.96,70.78,4832800
8-Nov-06,69.35,70.80,69.09,70.44,4623300
7-Nov-06,69.37,70.19,68.75,69.87,4335100
6-Nov-06,68.70,69.93,68.13,69.55,4282500
3-Nov-06,68.15,69.77,68.02,68.90,4662300
2-Nov-06,67.73,68.63,67.28,67.64,4856400
1-Nov-06,68.95,68.95,67.53,67.85,5449400
31-Oct-06,69.02,69.45,67.63,69.05,6371900
30-Oct-06,70.01,71.00,68.73,69.04,6415300
27-Oct-06,73.85,73.85,69.82,70.59,8187500
26-Oct-06,74.60,75.08,73.32,74.75,4160400
25-Oct-06,72.60,75.08,72.30,74.23,5975300
24-Oct-06,71.45,73.58,71.20,72.99,5125000
23-Oct-06,70.70,72.65,70.31,71.45,4159400
20-Oct-06,72.60,72.65,70.80,71.28,4085700
19-Oct-06,71.00,72.49,70.23,72.48,4088600
18-Oct-06,71.29,71.90,69.55,70.35,4496100
17-Oct-06,71.50,71.53,69.98,71.28,3973000
16-Oct-06,69.77,71.48,69.64,71.46,3492400
13-Oct-06,69.25,71.02,69.25,69.77,4080000
12-Oct-06,67.50,69.00,67.30,68.90,3640500
11-Oct-06,68.28,68.52,66.67,67.27,5074000
10-Oct-06,67.02,69.55,67.01,68.53,5752500
9-Oct-06,70.10,70.35,67.30,67.51,4739300
6-Oct-06,69.30,69.95,68.38,69.23,4671100
5-Oct-06,69.05,70.23,68.63,69.80,5702800
4-Oct-06,66.25,68.21,64.92,67.96,6464000
3-Oct-06,67.12,67.52,65.48,66.06,6497100
2-Oct-06,68.21,68.85,67.46,67.52,4792500
29-Sep-06,66.97,68.63,66.78,68.20,4376900
28-Sep-06,67.65,68.90,66.75,66.96,5843300
27-Sep-06,65.93,68.35,65.88,67.81,8441200
26-Sep-06,64.05,66.18,63.37,65.24,6098500
25-Sep-06,63.00,64.30,62.12,63.95,6588400
22-Sep-06,64.04,64.05,62.80,63.08,4681200
21-Sep-06,62.84,64.64,62.75,63.76,5702100
20-Sep-06,63.01,63.87,62.46,62.62,6889400
19-Sep-06,64.60,64.97,62.50,63.39,5496700
18-Sep-06,62.75,64.98,62.75,64.51,5942000
15-Sep-06,62.17,62.87,61.08,62.38,8008600
14-Sep-06,64.51,64.85,61.82,62.17,5653800
13-Sep-06,63.88,65.37,63.79,64.86,5624500
12-Sep-06,64.00,64.73,62.19,63.00,7099100
11-Sep-06,66.40,66.72,63.65,63.89,8093100
8-Sep-06,70.15,70.48,67.19,67.58,4704900
7-Sep-06,70.65,71.14,69.29,69.75,5811500
6-Sep-06,72.85,73.65,71.22,71.35,4284200
5-Sep-06,71.73,74.08,71.26,73.84,5086000
1-Sep-06,70.70,72.01,69.87,71.98,3881100
31-Aug-06,72.20,72.67,70.92,71.18,4644000
30-Aug-06,74.48,74.48,72.25,72.90,3264800
29-Aug-06,73.02,74.60,72.55,74.47,3300800
28-Aug-06,74.80,74.99,73.25,73.25,2482500
25-Aug-06,75.42,76.46,75.05,75.23,2327700
24-Aug-06,74.20,75.38,73.63,75.03,3243800
23-Aug-06,75.87,76.02,73.64,73.79,2638400
22-Aug-06,76.05,76.82,75.78,75.87,2170300
21-Aug-06,76.45,76.46,75.57,76.38,2467700
18-Aug-06,74.20,75.80,73.31,75.69,2821100
17-Aug-06,74.00,74.58,73.00,73.62,4363200
16-Aug-06,75.00,75.86,74.00,74.73,4242500
15-Aug-06,74.65,74.98,73.29,74.86,3373300
14-Aug-06,74.90,75.44,73.80,73.90,3358700
11-Aug-06,76.26,76.60,74.88,75.47,2959500
