Date,Open,High,Low,Close,Volume
29-Dec-06,44.26,44.50,43.99,44.09,1433900
28-Dec-06,44.52,44.57,44.24,44.25,1264700
27-Dec-06,44.39,44.65,44.00,44.51,1772100
26-Dec-06,44.02,44.43,43.95,44.39,997700
22-Dec-06,44.60,44.60,44.04,44.04,2292600
21-Dec-06,44.29,44.50,44.13,44.38,4388600
20-Dec-06,43.42,44.38,43.35,44.25,5366400
19-Dec-06,42.25,43.22,42.16,43.10,3917500
18-Dec-06,42.06,42.66,41.95,42.47,4538500
15-Dec-06,43.00,43.00,42.07,42.23,5561100
14-Dec-06,42.99,43.20,42.70,43.00,2846000
13-Dec-06,43.31,43.48,42.98,43.02,2622400
12-Dec-06,42.99,43.16,42.77,42.98,3765000
11-Dec-06,43.06,43.12,42.75,42.87,2646400
8-Dec-06,43.20,43.51,42.88,43.06,2356800
7-Dec-06,43.45,43.81,42.97,43.10,3237200
6-Dec-06,43.46,43.46,42.92,43.14,3517000
5-Dec-06,43.26,43.42,42.94,43.40,4126000
4-Dec-06,42.89,42.90,42.38,42.56,5007000
1-Dec-06,43.40,43.44,42.28,42.60,3082600
30-Nov-06,43.38,43.81,43.29,43.35,3023200
29-Nov-06,43.05,43.62,42.96,43.34,2204400
28-Nov-06,42.92,43.16,42.48,43.01,3897000
27-Nov-06,44.00,44.06,42.98,42.98,3656800
24-Nov-06,44.40,44.82,44.20,44.50,613400
22-Nov-06,44.30,44.87,44.28,44.52,1588200
21-Nov-06,44.22,44.47,44.09,44.41,1901600
20-Nov-06,44.15,44.37,43.95,44.12,2013400
17-Nov-06,43.94,44.28,43.90,44.08,1937000
16-Nov-06,44.29,44.62,44.18,44.26,2084000
15-Nov-06,43.55,44.44,43.52,44.00,2869200
14-Nov-06,44.02,44.36,43.66,43.82,3900000
13-Nov-06,43.78,44.35,43.64,44.04,2869600
10-Nov-06,43.70,43.86,43.61,43.78,2367400
9-Nov-06,44.05,44.13,43.55,43.60,3481400
8-Nov-06,43.67,44.60,43.46,44.00,5629600
7-Nov-06,42.62,44.62,42.40,43.72,15219600
6-Nov-06,41.32,41.45,41.04,41.28,6277000
3-Nov-06,41.52,41.60,41.00,41.10,2486600
2-Nov-06,41.74,41.98,41.38,41.48,2600400
1-Nov-06,42.39,42.46,41.75,41.79,1931800
31-Oct-06,42.42,42.84,42.11,42.20,2270200
30-Oct-06,42.08,42.36,41.92,42.11,1533600
27-Oct-06,42.55,42.60,42.06,42.08,1619200
26-Oct-06,42.60,42.88,42.48,42.76,1568800
25-Oct-06,42.55,42.75,42.22,42.57,2074800
24-Oct-06,42.26,42.48,42.26,42.36,2431600
23-Oct-06,42.20,42.74,42.07,42.40,2666600
20-Oct-06,42.90,42.90,41.96,42.20,3673600
19-Oct-06,42.60,42.92,42.17,42.90,2698400
18-Oct-06,43.20,43.55,42.45,42.60,3209000
17-Oct-06,42.78,43.14,42.75,42.92,2722000
16-Oct-06,42.55,43.29,42.52,43.00,2913200
13-Oct-06,42.52,42.52,42.12,42.42,1666000
12-Oct-06,42.12,42.62,41.88,42.52,2373400
11-Oct-06,41.83,42.05,41.50,41.90,3008400
10-Oct-06,42.44,42.47,41.95,42.22,2062200
9-Oct-06,42.34,42.72,42.01,42.53,2065800
6-Oct-06,42.41,42.60,42.09,42.38,2230800
5-Oct-06,42.30,42.60,42.24,42.42,2636000
4-Oct-06,42.04,42.40,41.86,42.38,1629800
3-Oct-06,41.94,42.32,41.85,42.02,2002800
2-Oct-06,41.92,42.12,41.74,41.89,1810600
29-Sep-06,42.16,42.27,41.72,41.93,2923600
28-Sep-06,41.72,42.22,41.54,42.02,3393600
27-Sep-06,40.76,41.78,40.76,41.52,4064800
26-Sep-06,40.38,40.80,40.22,40.76,4781800
25-Sep-06,40.45,40.62,39.96,40.38,4006800
22-Sep-06,40.23,40.31,39.88,40.08,4781200
21-Sep-06,40.81,40.85,40.11,40.22,4756200
20-Sep-06,41.08,41.15,40.58,40.66,2341800
19-Sep-06,41.22,41.26,40.72,41.04,2172400
18-Sep-06,41.35,41.56,41.16,41.32,2818600
15-Sep-06,41.36,41.48,41.07,41.34,3579400
14-Sep-06,41.00,41.20,40.78,41.03,3016000
13-Sep-06,40.54,41.54,40.54,41.51,2569400
12-Sep-06,40.53,40.88,40.38,40.55,2359600
11-Sep-06,40.59,40.72,40.34,40.48,2185600
8-Sep-06,41.00,41.02,40.49,40.58,2534600
7-Sep-06,41.02,41.08,40.32,40.90,3099800
6-Sep-06,41.70,41.80,40.96,41.00,2619000
5-Sep-06,41.62,41.89,41.41,41.70,2233800
1-Sep-06,41.12,41.74,41.12,41.34,2071600
31-Aug-06,40.92,41.10,40.72,41.08,2113600
30-Aug-06,41.08,41.18,40.62,40.82,2477400
29-Aug-06,40.88,41.14,40.57,40.98,2338200
28-Aug-06,40.08,40.91,40.08,40.88,2419600
25-Aug-06,40.35,40.43,39.92,40.15,3345600
24-Aug-06,40.70,40.89,40.38,40.52,2138200
23-Aug-06,40.78,41.20,40.28,40.70,2646800
22-Aug-06,40.58,40.80,40.23,40.57,2330000
21-Aug-06,40.95,40.98,40.66,40.76,1323400
18-Aug-06,41.07,41.34,40.78,41.05,1402400
17-Aug-06,41.25,41.38,40.98,41.05,2533800
16-Aug-06,40.70,41.38,40.40,41.22,4133800
15-Aug-06,40.10,40.50,40.00,40.35,1955000
14-Aug-06,40.05,40.40,39.72,39.75,2212800
11-Aug-06,39.32,39.79,39.18,39.68,2937600
10-Aug-06,38.92,39.62,38.71,39.50,2767600
9-Aug-06,39.70,39.92,39.02,39.10,2814000
8-Aug-06,40.41,40.45,39.58,39.70,3283400
7-Aug-06,40.25,40.62,40.14,40.38,2395800
4-Aug-06,40.90,40.94,40.08,40.32,3041000
3-Aug-06,39.74,40.52,39.71,40.37,3898800
2-Aug-06,39.75,39.90,39.46,39.74,3905800
1-Aug-06,39.50,40.52,39.48,39.75,8562200
31-Jul-06,38.69,39.52,38.43,39.46,4926000
28-Jul-06,38.55,38.85,38.22,38.69,4884800
27-Jul-06,38.75,39.00,38.37,38.50,2869400
26-Jul-06,38.42,38.76,38.04,38.56,3443800
25-Jul-06,38.26,38.90,38.04,38.64,2984000
24-Jul-06,38.20,38.50,38.12,38.32,5289200
21-Jul-06,39.22,39.24,37.95,38.08,5524200
20-Jul-06,40.18,40.58,39.22,39.22,4545400
19-Jul-06,39.14,40.37,39.08,40.28,3387800
18-Jul-06,38.82,39.04,38.10,39.01,4163600
17-Jul-06,39.35,39.48,38.81,38.97,2329800
14-Jul-06,39.83,40.00,39.08,39.50,2189600
13-Jul-06,40.88,40.88,39.90,39.96,3145600
12-Jul-06,40.98,41.52,40.94,41.19,3299400
11-Jul-06,41.00,41.03,40.19,40.92,3470400
10-Jul-06,41.01,41.25,40.82,41.08,1822000
7-Jul-06,41.78,41.84,40.76,40.91,2553200
6-Jul-06,41.42,41.79,41.35,41.79,2922800
5-Jul-06,41.78,41.80,41.28,41.42,2541200
3-Jul-06,41.92,42.15,41.86,42.03,1024000
30-Jun-06,41.98,42.03,41.64,41.90,2762200
29-Jun-06,41.02,42.00,40.88,41.98,4088200
28-Jun-06,41.00,41.08,40.42,40.85,1856000
27-Jun-06,40.76,41.35,40.76,40.97,2894000
26-Jun-06,41.20,41.42,40.92,41.20,2341000
23-Jun-06,40.53,41.42,40.53,41.10,3236800
22-Jun-06,40.49,40.70,40.34,40.66,2226800
21-Jun-06,40.25,40.58,40.22,40.45,2868000
20-Jun-06,40.70,40.74,40.14,40.26,3067600
19-Jun-06,41.05,41.29,40.24,40.50,2924400
16-Jun-06,41.02,41.21,40.62,40.92,3574400
15-Jun-06,40.66,41.34,40.62,41.22,3638400
14-Jun-06,40.24,40.70,39.94,40.66,4616400
13-Jun-06,39.18,40.02,39.03,39.75,4752400
12-Jun-06,40.10,40.28,39.48,39.50,2675000
9-Jun-06,39.88,40.20,39.56,40.08,4369600
8-Jun-06,40.40,40.40,38.20,39.31,6049800
7-Jun-06,40.38,40.56,39.92,39.94,3934800
6-Jun-06,40.36,40.71,39.92,40.32,3359800
5-Jun-06,41.30,41.45,40.32,40.36,2661200
2-Jun-06,41.68,41.80,41.10,41.40,2935400
1-Jun-06,41.42,41.74,41.06,41.74,2990800
31-May-06,40.63,41.32,40.51,41.26,5144200
30-May-06,41.10,41.85,40.40,40.44,3165400
26-May-06,40.58,41.35,40.53,41.27,3324000
25-May-06,40.62,40.74,40.32,40.40,3555400
24-May-06,39.99,40.54,39.80,40.28,5689600
23-May-06,40.00,40.70,39.88,39.99,5662200
22-May-06,39.40,40.12,39.39,39.77,4424400
19-May-06,40.49,40.49,39.38,39.98,5997600
18-May-06,41.44,41.44,40.28,40.30,3780200
17-May-06,42.20,42.48,41.15,41.34,4487600
16-May-06,42.71,42.86,42.36,42.36,1890600
15-May-06,42.60,42.77,42.12,42.54,2196000
12-May-06,43.17,43.20,42.40,42.52,2688400
11-May-06,43.52,43.82,43.05,43.07,4128400
10-May-06,43.44,43.75,43.08,43.36,2514200
9-May-06,43.54,43.69,43.26,43.69,2318400
8-May-06,43.86,44.15,43.38,43.54,3480200
5-May-06,43.34,44.06,43.34,43.74,3645600
4-May-06,43.48,43.94,43.06,43.34,5428800
3-May-06,43.26,43.50,43.10,43.29,2804600
2-May-06,43.32,45.21,43.05,43.26,5737400
1-May-06,42.45,43.08,42.43,42.71,2348400
28-Apr-06,42.37,42.64,42.21,42.48,2008400
27-Apr-06,42.12,42.65,41.59,42.34,2687800
26-Apr-06,42.62,42.95,42.38,42.56,2473800
25-Apr-06,42.85,42.94,42.24,42.50,2238400
24-Apr-06,43.13,43.30,42.94,42.96,1933800
21-Apr-06,43.27,43.34,42.96,43.14,3887400
20-Apr-06,42.69,43.16,42.56,42.82,3130600
19-Apr-06,41.51,42.69,41.51,42.56,3998400
18-Apr-06,40.40,41.73,40.15,41.68,4190000
17-Apr-06,40.64,40.95,40.42,40.48,2382200
13-Apr-06,40.55,40.84,40.40,40.64,3078800
12-Apr-06,40.64,40.94,40.53,40.67,2476000
11-Apr-06,40.58,40.77,40.44,40.57,5177000
10-Apr-06,40.84,40.92,40.52,40.63,2817400
7-Apr-06,41.55,41.75,40.71,40.80,2747800
6-Apr-06,41.55,41.70,41.35,41.40,2799800
5-Apr-06,41.50,41.82,41.37,41.46,2744400
4-Apr-06,41.82,41.90,41.40,41.57,3762200
3-Apr-06,42.25,42.51,41.80,41.80,2677800
31-Mar-06,41.90,42.23,41.74,41.82,2457800
30-Mar-06,42.40,42.64,41.66,41.94,3184800
29-Mar-06,42.55,42.95,42.40,42.56,2103400
28-Mar-06,42.30,42.85,42.24,42.55,2356800
27-Mar-06,42.66,42.66,42.22,42.28,2450000
24-Mar-06,42.28,42.75,42.10,42.66,1519000
23-Mar-06,42.62,42.67,42.22,42.36,2081000
22-Mar-06,42.39,42.85,42.34,42.78,1977000
21-Mar-06,42.75,42.88,42.34,42.39,1882800
20-Mar-06,42.84,42.99,42.64,42.82,1420400
17-Mar-06,42.80,43.02,42.70,42.84,2434200
16-Mar-06,42.74,42.77,42.32,42.54,1916600
15-Mar-06,42.60,42.77,42.26,42.66,1943400
14-Mar-06,42.24,42.83,42.22,42.71,2219200
13-Mar-06,43.12,42.38,42.02,42.20,1586200
10-Mar-06,42.00,42.50,41.94,42.25,1836600
9-Mar-06,41.56,42.23,41.51,41.90,2498000
8-Mar-06,41.80,42.07,41.20,41.56,2541600
7-Mar-06,41.42,42.03,41.42,41.80,2909800
6-Mar-06,41.62,42.07,41.34,41.42,2582000
