Date,Open,High,Low,Close,Volume
29-Dec-06,31.00,31.25,30.93,31.05,8338200
28-Dec-06,31.35,31.48,31.12,31.26,7790700
27-Dec-06,31.26,31.42,30.80,31.35,8527500
26-Dec-06,31.76,31.76,30.86,31.17,8782900
22-Dec-06,31.76,31.98,31.00,31.46,8274400
21-Dec-06,31.72,32.16,31.56,31.76,10123300
20-Dec-06,32.30,32.49,31.90,31.96,18405100
19-Dec-06,31.80,32.54,31.53,32.30,12734600
18-Dec-06,32.86,32.87,31.90,31.94,15652800
15-Dec-06,33.24,33.37,32.77,32.87,13168600
14-Dec-06,32.88,33.48,32.82,33.22,14365100
13-Dec-06,32.41,32.95,32.35,32.72,10156700
12-Dec-06,32.70,33.08,32.19,32.25,15921700
11-Dec-06,32.70,32.85,32.44,32.60,12592400
8-Dec-06,33.06,33.30,32.60,32.81,10269400
7-Dec-06,33.22,33.36,32.76,32.91,10040400
6-Dec-06,33.21,33.50,32.95,33.17,12423200
5-Dec-06,33.55,33.77,32.89,33.21,14204800
4-Dec-06,33.53,33.78,33.11,33.30,7959300
1-Dec-06,33.65,33.69,33.01,33.53,12809600
30-Nov-06,33.79,34.30,33.61,33.74,14539300
29-Nov-06,32.70,33.86,32.70,33.64,13794400
28-Nov-06,32.15,32.92,32.12,32.71,11926500
27-Nov-06,32.37,32.60,31.74,31.88,9167600
24-Nov-06,32.54,33.00,32.29,32.29,6058200
22-Nov-06,32.66,33.06,32.15,32.61,12290300
21-Nov-06,32.50,32.80,32.50,32.66,10153400
20-Nov-06,32.51,32.65,32.00,32.33,12378300
17-Nov-06,32.20,32.80,31.82,32.60,16648200
16-Nov-06,34.20,34.29,32.47,32.51,23205400
15-Nov-06,32.83,33.88,32.70,33.55,26112800
14-Nov-06,32.30,32.66,32.01,32.07,12513900
13-Nov-06,31.79,32.34,31.52,31.99,13272600
10-Nov-06,32.00,32.31,31.47,31.79,10284500
9-Nov-06,32.14,32.97,31.92,32.11,17375700
8-Nov-06,31.10,32.12,30.97,31.87,22030600
7-Nov-06,32.65,32.65,31.35,31.70,14949000
6-Nov-06,31.58,32.53,31.44,32.52,11850000
3-Nov-06,31.48,32.10,31.42,31.78,13925100
2-Nov-06,31.40,31.62,30.90,31.20,13153800
1-Nov-06,32.13,32.30,31.25,31.53,16868100
31-Oct-06,31.66,32.45,31.50,32.35,15729700
30-Oct-06,31.51,31.99,31.41,31.79,11178100
27-Oct-06,32.40,32.78,32.03,32.15,14386100
26-Oct-06,32.79,32.89,31.86,32.40,17333100
25-Oct-06,31.00,33.00,30.94,32.64,36477400
24-Oct-06,29.70,31.17,29.49,30.84,27143300
23-Oct-06,28.99,30.06,28.73,29.26,27803300
20-Oct-06,29.38,29.38,28.60,28.78,16622500
19-Oct-06,28.95,29.40,28.55,29.38,16418600
18-Oct-06,29.33,29.58,28.38,28.63,14358000
17-Oct-06,29.50,29.63,28.85,29.33,13718000
16-Oct-06,28.90,29.52,28.80,29.48,14573200
13-Oct-06,27.87,29.12,27.87,28.71,19473900
12-Oct-06,27.15,27.80,27.05,27.75,12249600
11-Oct-06,27.30,27.51,26.89,27.08,14753100
10-Oct-06,26.97,27.56,26.89,27.41,15898300
9-Oct-06,27.85,27.95,27.00,27.09,11168800
6-Oct-06,27.59,27.80,27.15,27.68,10701400
5-Oct-06,27.35,27.74,27.12,27.67,16272400
4-Oct-06,26.88,26.95,26.33,26.91,19748400
3-Oct-06,27.55,27.60,26.48,26.57,29038400
2-Oct-06,28.30,28.68,27.78,27.86,14918000
