,Unnamed: 0,xi,GrantDate,PatentNo,MatchAsgName,comp,Returns
0,1,16.7974147796631,2003-01-21,6508308,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.35548873017233046
1,2,16.5423202514648,2003-02-18,6520264,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.12569145418205036
2,3,16.7974147796631,2003-01-21,6508316,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.35548873017233046
3,4,32.0758209228516,2003-01-07,6502638,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.16421488760848757
4,5,7.56759977340698,2003-02-11,6516889,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.19860851034025684
5,6,16.5772571563721,2003-01-28,6510906,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.10997353362700371
6,7,9.32490348815918,2003-02-04,6514915,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.18386172305989193
7,8,16.5423202514648,2003-02-18,6521174,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.12569145418205036
8,9,10.966815948486301,2003-03-25,6536526,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.1688597176257089
9,10,7.56759977340698,2003-02-11,6516898,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.19860851034025684
10,11,6.74558353424072,2003-03-04,6527069,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.12972954770963707
11,12,7.56759977340698,2003-02-11,6518754,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.19860851034025684
12,13,16.5772571563721,2003-01-28,6511613,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.10997353362700371
13,14,9.32490348815918,2003-02-04,6513607,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.18386172305989193
14,15,7.56759977340698,2003-02-11,6518755,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.19860851034025684
15,16,10.966815948486301,2003-03-25,6536543,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.1688597176257089
16,17,10.7073488235474,2003-02-25,6525146,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.019066558654334417
17,18,6.74558353424072,2003-03-04,6527065,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.12972954770963707
18,19,30.450410842895497,2003-04-22,6553314,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.14232478035384827
19,20,10.7073488235474,2003-02-25,6525147,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.019066558654334417
20,21,9.99000644683838,2003-04-01,6540019,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.17058884306124425
21,22,6.74558353424072,2003-03-04,6527057,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.12972954770963707
22,23,8.25582981109619,2003-05-13,6560889,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.05942817186410774
23,24,8.38830184936523,2003-04-08,6543540,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.11108802959669303
24,25,33.6328926086426,2003-03-18,6535795,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.6151443358086328
25,26,10.966815948486301,2003-03-25,6536532,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.1688597176257089
26,27,8.38830184936523,2003-04-08,6543312,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.11108802959669303
27,28,10.9592695236206,2003-05-27,6568470,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.24864061862635112
28,29,8.1213321685791,2003-05-06,6557632,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.0795275824318751
29,30,27.8013973236084,2003-04-15,6548016,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.15965072839117964
30,31,8.1213321685791,2003-05-06,6558619,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.0795275824318751
31,32,9.99000644683838,2003-04-01,6540032,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.17058884306124425
32,33,8.1213321685791,2003-05-06,6559640,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.0795275824318751
33,34,8.25582981109619,2003-05-13,6561271,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.05942817186410774
34,35,8.25582981109619,2003-05-13,6561279,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.05942817186410774
35,36,7.046923637390139,2003-05-20,6564718,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.049221825378807406
36,37,8.25582981109619,2003-05-13,6562086,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.05942817186410774
37,38,14.741859436035199,2003-04-29,6555752,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.015417999027123635
38,39,3.42649698257446,2003-07-01,6587037,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.03376175038206468
39,40,8.1213321685791,2003-05-06,6557905,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.0795275824318751
40,41,7.046923637390139,2003-05-20,6564883,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.049221825378807406
41,42,7.046923637390139,2003-05-20,6566769,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.049221825378807406
42,43,3.42649698257446,2003-07-01,6585041,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.03376175038206468
43,44,18.7338771820068,2003-06-17,6581010,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.1521893069986656
44,45,8.43195152282715,2003-07-29,6600316,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.19337487758670296
45,46,8.878764152526859,2003-06-03,6571891,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.2433209587844909
46,47,3.42649698257446,2003-07-01,6584837,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.03376175038206468
47,48,3.42649698257446,2003-07-01,6585115,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.03376175038206468
48,49,3.42649698257446,2003-07-01,6586931,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.03376175038206468
49,50,8.878764152526859,2003-06-03,6574562,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.2433209587844909
50,51,36.814178466796896,2003-06-10,6575256,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.05376979664044368
51,52,3.42649698257446,2003-07-01,6585045,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.03376175038206468
52,53,6.452612400054929,2003-07-22,6595282,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.059303201377280276
53,54,11.843844413757301,2003-06-24,6581455,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.18220763557206265
54,55,11.843844413757301,2003-06-24,6581688,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.18220763557206265
55,56,7.34842920303345,2003-08-19,6607032,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,0.2000209999384255
56,57,6.452612400054929,2003-07-22,6597170,BAKER HUGHES INCORPORATED,EMERSON ELECTRIC CO,-0.059303201377280276
