Date,Open,High,Low,Close,Volume
29-Dec-06,63.10,63.53,62.51,63.16,5725200
28-Dec-06,64.23,64.25,63.13,63.63,4297300
27-Dec-06,62.44,64.01,62.36,63.89,7308800
26-Dec-06,63.73,63.73,61.68,62.31,4595700
22-Dec-06,64.12,64.13,62.81,62.89,5892700
21-Dec-06,64.86,65.14,63.33,63.87,8612200
20-Dec-06,65.77,66.17,64.84,64.85,6829900
19-Dec-06,64.93,66.06,63.89,65.77,9155300
18-Dec-06,66.97,67.28,64.90,65.07,8903100
15-Dec-06,68.08,69.05,67.45,67.55,7612600
14-Dec-06,67.88,69.06,67.44,68.72,9796800
13-Dec-06,66.50,67.75,66.17,67.37,8531800
12-Dec-06,66.85,66.85,65.59,66.03,7060700
11-Dec-06,66.39,67.06,65.75,65.90,5636600
8-Dec-06,67.35,67.87,66.14,66.52,5398400
7-Dec-06,67.11,67.70,66.43,66.73,7133700
6-Dec-06,67.14,67.86,66.83,67.11,8306200
5-Dec-06,68.65,69.00,67.12,67.31,9731800
4-Dec-06,68.00,69.00,67.46,68.92,9190000
1-Dec-06,68.14,69.18,67.73,68.34,10707500
30-Nov-06,68.00,69.30,67.29,68.48,12492400
29-Nov-06,65.90,68.21,65.60,68.03,12315700
28-Nov-06,64.90,66.21,64.90,65.67,7197000
27-Nov-06,65.52,66.03,64.40,64.63,6308300
24-Nov-06,65.33,65.91,65.10,65.36,2243700
22-Nov-06,65.22,65.71,64.07,65.18,6781200
21-Nov-06,63.41,65.77,63.41,65.61,8636500
20-Nov-06,62.90,63.67,62.16,63.25,6606900
17-Nov-06,62.05,64.02,61.73,63.32,10021600
16-Nov-06,65.51,66.12,62.62,62.65,10724200
15-Nov-06,64.28,66.00,63.96,65.45,8812200
14-Nov-06,63.80,64.34,63.12,64.28,7136800
13-Nov-06,63.30,63.80,62.76,63.20,6677700
10-Nov-06,64.72,64.73,62.88,63.30,7508200
9-Nov-06,65.62,66.24,64.66,64.97,11862000
8-Nov-06,63.85,65.30,63.49,65.28,9555800
7-Nov-06,64.30,64.50,63.25,64.01,7744300
6-Nov-06,63.00,64.41,62.82,64.35,9406000
3-Nov-06,62.20,63.82,61.24,63.50,7597300
2-Nov-06,62.37,62.53,61.23,61.95,9432900
1-Nov-06,63.01,63.48,61.64,62.57,9009400
31-Oct-06,61.62,63.15,61.33,63.08,9210800
30-Oct-06,62.00,62.68,61.50,61.61,6968200
27-Oct-06,63.50,64.32,62.40,62.81,8796700
26-Oct-06,64.09,64.62,63.74,64.11,11007500
25-Oct-06,62.35,64.68,61.80,63.89,14440100
24-Oct-06,60.84,62.47,60.57,62.35,12172300
23-Oct-06,60.00,61.56,59.51,60.83,10566300
20-Oct-06,63.31,63.31,60.03,60.10,15213800
19-Oct-06,60.26,62.70,59.94,62.70,13317600
18-Oct-06,60.80,61.62,59.61,60.16,10386400
17-Oct-06,59.47,61.22,59.00,61.22,10802600
16-Oct-06,59.00,60.79,58.45,60.68,11674000
13-Oct-06,58.48,59.61,58.34,58.79,12214100
12-Oct-06,57.88,58.35,57.23,57.83,10584400
11-Oct-06,59.25,59.31,57.34,57.46,11823900
10-Oct-06,58.18,60.14,58.17,59.25,11050600
9-Oct-06,60.10,60.70,58.28,58.37,9117700
6-Oct-06,59.75,60.01,58.40,59.60,8803700
5-Oct-06,59.85,60.71,58.78,59.90,14341200
4-Oct-06,58.71,59.20,56.85,59.10,15981300
3-Oct-06,60.03,60.03,57.84,58.34,15515100
2-Oct-06,62.03,62.26,60.81,60.91,9017400
29-Sep-06,60.57,62.03,60.20,62.03,9181500
28-Sep-06,60.90,62.13,60.33,60.74,14592900
27-Sep-06,59.25,60.73,58.86,60.55,14885000
26-Sep-06,57.05,58.62,56.95,58.15,13017600
25-Sep-06,57.10,57.92,55.69,57.04,15861200
22-Sep-06,57.78,57.98,56.57,57.10,11165200
21-Sep-06,56.49,58.10,56.49,57.50,11660000
20-Sep-06,57.50,58.56,56.07,56.09,12668700
19-Sep-06,59.10,59.40,56.95,57.78,10779400
18-Sep-06,57.45,58.88,56.97,58.84,12946000
15-Sep-06,55.15,56.63,54.73,56.28,12522200
14-Sep-06,56.71,57.25,54.92,55.10,11761400
13-Sep-06,55.70,57.25,55.43,56.54,11556200
12-Sep-06,55.14,56.08,54.23,54.73,13806200
11-Sep-06,57.30,57.37,55.00,55.30,15785900
8-Sep-06,59.80,60.51,57.85,57.95,11057800
7-Sep-06,58.84,59.13,57.82,58.50,11326800
6-Sep-06,61.62,61.99,58.80,58.91,9140700
5-Sep-06,61.20,62.77,61.20,62.30,8318000
1-Sep-06,61.70,62.00,60.86,61.84,6061500
31-Aug-06,61.50,62.77,61.23,61.30,6859700
30-Aug-06,63.43,63.45,61.80,62.07,7297200
29-Aug-06,62.21,63.46,62.03,63.43,5948700
28-Aug-06,64.12,64.13,62.60,62.70,4356400
25-Aug-06,64.37,65.40,64.17,64.45,4167400
24-Aug-06,64.25,64.44,63.30,63.85,5387300
23-Aug-06,65.30,65.65,63.99,64.29,5578200
22-Aug-06,65.50,65.84,65.10,65.73,6102900
21-Aug-06,64.50,65.10,64.41,65.05,5082400
18-Aug-06,62.40,64.03,62.00,64.00,7059100
17-Aug-06,62.55,63.31,61.68,62.31,6382200
16-Aug-06,63.50,64.96,62.78,63.43,7196500
15-Aug-06,63.01,63.78,62.42,63.56,5434000
14-Aug-06,63.50,63.97,62.21,62.68,5686900
11-Aug-06,64.20,64.99,63.34,63.96,5299100
10-Aug-06,64.55,64.76,63.35,64.32,6559100
9-Aug-06,65.60,66.00,64.35,64.63,8006400
8-Aug-06,66.25,67.05,64.77,65.07,5930700
7-Aug-06,65.80,66.75,64.45,66.24,8270600
4-Aug-06,67.43,67.95,64.86,65.15,7947200
3-Aug-06,66.49,67.79,65.92,67.23,7013100
2-Aug-06,67.44,68.55,66.06,67.29,10113500
1-Aug-06,66.75,67.78,65.50,66.82,5971300
31-Jul-06,65.42,67.65,65.42,66.85,7714000
28-Jul-06,66.71,67.00,64.30,65.25,7723400
27-Jul-06,67.48,68.40,65.57,66.70,9162900
26-Jul-06,65.45,67.11,64.33,66.78,10320900
25-Jul-06,64.99,65.99,64.23,65.81,9215800
24-Jul-06,61.75,64.48,61.44,64.47,11434100
21-Jul-06,63.16,63.25,60.12,61.45,19893700
20-Jul-06,64.75,64.88,61.35,61.66,10514900
19-Jul-06,62.90,64.66,62.43,64.24,9387000
18-Jul-06,64.49,65.15,61.57,62.65,13451500
17-Jul-06,67.42,67.44,63.47,63.78,12012400
14-Jul-06,67.05,68.12,65.28,68.07,8858800
13-Jul-06,67.15,67.70,66.20,66.23,9142700
12-Jul-06,66.82,67.75,66.25,67.04,9762400
11-Jul-06,63.79,66.94,63.79,66.82,8813900
10-Jul-06,63.40,64.64,62.85,63.50,6087300
7-Jul-06,64.50,65.29,62.53,62.75,6737300
6-Jul-06,64.88,65.99,63.70,64.00,7242500
5-Jul-06,65.30,65.30,63.27,64.87,7485300
3-Jul-06,64.90,65.41,64.72,65.35,3716900
30-Jun-06,64.42,65.59,63.99,65.11,7720700
29-Jun-06,61.59,64.19,61.33,64.12,10053500
28-Jun-06,59.76,60.70,59.33,60.68,8565400
27-Jun-06,60.00,61.07,59.28,59.65,9245900
26-Jun-06,59.15,59.90,58.26,59.82,6642400
23-Jun-06,58.30,59.78,57.82,58.90,11364200
22-Jun-06,55.89,57.78,55.80,57.21,14469600
21-Jun-06,54.71,56.55,54.51,55.90,14419400
20-Jun-06,56.40,56.95,54.44,54.51,9771800
19-Jun-06,58.10,58.11,55.78,55.91,9623000
16-Jun-06,58.73,58.95,57.40,58.25,10476800
15-Jun-06,56.97,59.40,56.60,59.03,13386000
14-Jun-06,54.75,56.37,54.75,56.31,12375000
13-Jun-06,55.80,57.72,54.00,54.57,16097700
12-Jun-06,59.75,59.75,56.53,56.58,9907300
9-Jun-06,60.51,60.74,58.53,59.22,11718300
8-Jun-06,59.20,60.25,57.49,60.22,19746100
7-Jun-06,63.15,63.40,60.46,60.51,11481700
6-Jun-06,63.27,65.02,62.79,63.96,9607700
5-Jun-06,66.75,66.75,63.24,63.27,9917500
2-Jun-06,65.85,66.54,64.99,66.18,7621100
1-Jun-06,64.95,65.55,63.75,65.20,8289800
31-May-06,64.11,65.57,63.55,65.57,9758900
30-May-06,66.10,66.14,64.12,64.12,8235000
26-May-06,64.75,65.52,64.42,65.27,6346200
25-May-06,64.25,65.55,63.47,65.26,9547700
24-May-06,63.10,64.79,61.85,63.21,13046000
23-May-06,64.45,66.24,63.84,63.87,11770900
22-May-06,63.12,64.21,61.50,63.48,13242800
19-May-06,64.39,65.35,62.53,64.60,14277800
18-May-06,66.03,66.50,64.40,64.40,10688100
17-May-06,66.25,67.36,65.02,65.93,9998400
16-May-06,67.85,67.89,65.85,66.98,8834700
15-May-06,67.03,68.69,66.05,67.00,10475100
12-May-06,70.98,71.32,68.70,68.85,9012000
11-May-06,74.00,74.75,71.25,71.51,8240200
10-May-06,71.65,73.06,71.33,73.06,7364000
9-May-06,71.10,72.32,70.80,71.78,5420000
8-May-06,70.90,71.23,69.74,70.98,6096100
5-May-06,72.20,72.42,70.83,71.46,7564400
4-May-06,71.50,72.59,69.25,71.56,10350800
3-May-06,73.20,73.20,71.67,72.65,9414300
2-May-06,72.03,73.46,71.19,73.37,8085000
1-May-06,69.65,71.64,69.35,71.15,8392000
28-Apr-06,68.48,70.00,68.42,69.14,7240700
27-Apr-06,67.75,69.67,66.07,67.75,10362100
26-Apr-06,69.00,70.65,68.33,68.57,11439400
25-Apr-06,69.24,69.99,67.13,68.75,10426300
24-Apr-06,68.65,68.84,67.70,68.67,8310100
21-Apr-06,69.40,69.40,67.46,68.51,11309200
20-Apr-06,68.30,68.76,66.29,68.07,16802600
19-Apr-06,64.48,67.75,64.31,67.75,11896200
18-Apr-06,63.20,64.66,63.11,64.48,10659000
17-Apr-06,62.88,63.23,62.35,62.60,6708900
13-Apr-06,61.05,62.19,60.40,62.05,8230700
12-Apr-06,62.95,63.00,61.56,61.71,8221300
11-Apr-06,65.10,65.11,62.44,62.70,10337500
10-Apr-06,65.69,66.00,64.10,64.66,8723000
7-Apr-06,66.25,66.50,64.28,64.52,12555400
6-Apr-06,66.60,66.94,65.44,66.30,12400600
5-Apr-06,65.50,66.50,64.66,66.50,11311400
4-Apr-06,63.38,65.34,63.32,65.30,11098800
3-Apr-06,64.12,66.00,63.50,63.65,13559000
31-Mar-06,63.62,63.72,62.48,63.28,10456000
30-Mar-06,63.50,64.17,63.20,64.12,9579200
29-Mar-06,62.40,63.43,62.28,63.40,10562800
28-Mar-06,62.10,62.88,61.90,62.29,10740600
27-Mar-06,61.09,61.78,60.44,61.48,8770000
24-Mar-06,61.58,61.76,60.62,61.09,8368400
23-Mar-06,60.26,61.80,60.22,61.51,10487600
22-Mar-06,60.36,61.54,59.52,60.05,10579000
21-Mar-06,60.01,61.48,59.70,60.36,11905800
20-Mar-06,61.51,62.68,60.08,60.31,12864800
17-Mar-06,61.50,62.40,61.21,61.62,12266000
16-Mar-06,60.20,62.20,60.00,61.90,12132800
15-Mar-06,60.00,60.48,59.30,60.27,9358200
14-Mar-06,58.65,60.26,58.04,60.22,9857800
13-Mar-06,58.72,58.90,57.90,58.54,11750200
10-Mar-06,57.35,58.88,56.88,58.44,10094600
9-Mar-06,58.40,58.65,57.20,57.38,10099800
8-Mar-06,57.42,58.38,56.70,58.02,14293400
7-Mar-06,58.50,58.55,57.10,57.42,14757000
6-Mar-06,60.88,60.88,58.52,58.67,12626400
3-Mar-06,60.46,61.62,60.30,61.11,8182600
2-Mar-06,59.75,60.92,59.29,60.71,13458600
1-Mar-06,58.08,59.03,57.81,59.03,9406800
28-Feb-06,57.65,58.08,57.15,57.50,11207600
27-Feb-06,58.98,59.07,57.58,57.69,8649800
24-Feb-06,59.38,60.04,59.00,59.20,8988600
23-Feb-06,56.55,59.16,56.55,58.45,10217600
22-Feb-06,59.00,59.00,58.04,58.51,9212200
21-Feb-06,57.99,59.49,57.99,59.26,13986200
17-Feb-06,57.30,58.00,56.36,57.24,15123200
16-Feb-06,57.00,58.34,56.88,57.02,18108600
15-Feb-06,57.94,57.94,55.52,56.32,19062400
14-Feb-06,57.70,58.65,57.42,57.44,18527600
13-Feb-06,59.90,60.18,58.46,58.95,12781200
10-Feb-06,58.16,60.00,56.88,59.65,18238200
9-Feb-06,60.00,60.40,57.76,58.06,13823400
8-Feb-06,59.10,60.00,57.88,59.61,17757200
7-Feb-06,61.88,61.88,58.42,58.75,16331000
6-Feb-06,62.22,63.10,61.28,62.36,11982200
3-Feb-06,61.18,62.35,59.75,61.20,12577400
2-Feb-06,61.62,62.42,60.00,61.06,14865800
1-Feb-06,64.00,64.54,61.43,61.60,12693200
31-Jan-06,65.00,65.00,63.56,63.72,15323200
30-Jan-06,63.74,65.88,63.74,65.32,16296400
27-Jan-06,62.95,63.92,62.04,63.68,16341600
26-Jan-06,60.12,62.24,59.06,62.17,14060000
25-Jan-06,62.40,62.40,59.52,60.35,18524600
24-Jan-06,62.63,62.63,61.60,61.80,18997800
23-Jan-06,61.62,63.44,60.58,63.00,21525000
20-Jan-06,58.68,61.24,58.56,61.12,33201600
19-Jan-06,54.05,57.68,54.05,57.44,18961200
18-Jan-06,54.70,54.70,53.77,54.16,10690200
17-Jan-06,54.60,54.88,54.25,54.25,8847400
13-Jan-06,52.71,53.90,52.62,53.64,8119600
12-Jan-06,53.80,54.25,52.53,52.70,11623600
11-Jan-06,53.58,54.10,52.36,53.62,10035400
10-Jan-06,53.38,54.64,53.04,53.58,11065400
9-Jan-06,53.64,53.94,52.72,53.00,8638400
6-Jan-06,52.50,53.74,52.35,53.74,8614800
5-Jan-06,52.38,52.62,51.47,52.10,14754600
4-Jan-06,51.68,52.50,51.18,52.37,12854200
3-Jan-06,49.42,51.69,49.20,51.68,12823800
30-Dec-05,48.28,49.24,47.90,48.58,5194800
29-Dec-05,49.06,49.46,48.40,48.45,6096200
28-Dec-05,48.68,49.60,48.55,49.16,6328600
27-Dec-05,49.50,49.64,47.92,48.55,8294000
23-Dec-05,49.32,50.16,48.90,50.08,4756600
22-Dec-05,50.25,50.28,49.44,49.76,5596800
21-Dec-05,49.70,50.18,49.62,49.98,5927400
20-Dec-05,48.98,49.98,48.98,49.58,6225400
19-Dec-05,49.96,50.10,48.84,48.98,9983200
16-Dec-05,50.82,50.85,49.90,49.96,9683200
15-Dec-05,51.38,51.38,50.12,50.57,9263800
14-Dec-05,50.06,51.49,49.95,51.44,11309800
13-Dec-05,50.38,51.43,50.00,50.05,10129000
12-Dec-05,50.12,50.38,49.54,50.26,6217400
9-Dec-05,49.88,50.14,49.25,49.92,8736400
8-Dec-05,49.12,50.44,49.00,50.32,10912600
7-Dec-05,49.28,49.44,48.24,48.72,11295400
6-Dec-05,48.88,49.76,48.68,49.12,8244800
5-Dec-05,49.69,49.85,48.78,49.12,8141800
2-Dec-05,49.18,49.78,48.78,49.50,9246200
1-Dec-05,48.28,49.07,47.70,48.98,9872800
30-Nov-05,47.22,48.48,47.19,47.86,8767800
29-Nov-05,47.04,47.72,46.78,47.22,9613000
28-Nov-05,48.12,48.28,46.90,46.90,9701000
25-Nov-05,48.58,48.78,48.19,48.52,2285000
23-Nov-05,48.25,49.28,47.51,48.62,10039400
22-Nov-05,48.00,49.00,47.68,48.82,11407800
21-Nov-05,47.59,48.12,47.40,48.11,10784200
18-Nov-05,47.68,47.68,47.02,47.52,9736400
17-Nov-05,47.70,47.80,46.87,47.56,11084400
16-Nov-05,46.70,47.62,46.65,47.43,13121600
15-Nov-05,46.89,48.02,46.36,46.50,15270800
14-Nov-05,46.16,47.04,46.14,46.89,11322400
11-Nov-05,45.39,46.30,45.08,46.02,9383600
10-Nov-05,46.22,46.40,45.28,45.50,20310200
9-Nov-05,46.55,47.47,46.10,46.50,14423400
8-Nov-05,46.05,47.12,45.85,46.55,9494800
7-Nov-05,46.02,46.74,45.81,46.42,12779000
4-Nov-05,47.32,47.33,45.91,46.10,15272600
3-Nov-05,46.90,47.91,46.90,47.32,15604600
2-Nov-05,45.32,47.04,45.22,46.87,14636400
1-Nov-05,45.38,45.62,44.91,45.45,14581400
31-Oct-05,44.56,45.66,44.35,45.38,16074800
28-Oct-05,43.22,44.94,42.80,44.69,15716200
27-Oct-05,43.68,43.98,42.88,43.10,14214600
26-Oct-05,42.88,44.52,42.64,43.58,21339200
25-Oct-05,41.10,42.96,40.84,42.84,15592000
24-Oct-05,40.00,41.24,39.90,41.07,9637600
21-Oct-05,39.75,40.38,39.30,40.00,22528000
20-Oct-05,40.90,41.13,39.78,40.29,14949400
19-Oct-05,39.90,41.05,38.96,41.01,15670800
18-Oct-05,41.00,41.51,39.74,39.80,15887400
17-Oct-05,41.72,41.94,41.12,41.14,10710000
14-Oct-05,39.68,41.42,39.50,41.40,13960800
13-Oct-05,40.00,40.10,38.66,39.64,12718000
12-Oct-05,40.32,40.82,39.94,40.26,9736000
11-Oct-05,40.38,41.08,40.35,40.44,7912000
10-Oct-05,40.05,40.26,39.53,40.00,10014000
7-Oct-05,39.90,40.04,39.61,39.94,15086200
6-Oct-05,39.24,39.94,38.65,39.28,22045600
5-Oct-05,40.46,40.56,39.10,39.24,15204400
4-Oct-05,41.72,41.78,40.46,40.46,11762400
3-Oct-05,42.20,42.65,41.62,41.72,7014800
30-Sep-05,42.55,42.74,42.02,42.19,5929600
29-Sep-05,42.42,42.66,41.98,42.62,6570600
28-Sep-05,42.25,42.48,41.85,42.40,7659400
27-Sep-05,41.85,42.14,41.44,42.14,7220600
26-Sep-05,41.28,42.10,41.22,41.96,9331400
23-Sep-05,42.22,42.25,41.30,41.48,8923400
22-Sep-05,42.58,42.88,41.80,42.22,12510400
21-Sep-05,42.75,42.75,41.92,42.24,8850200
20-Sep-05,42.69,42.87,41.94,42.28,7546800
19-Sep-05,42.00,43.06,41.94,42.68,9601200
16-Sep-05,41.62,41.72,41.10,41.58,10028400
15-Sep-05,41.52,41.84,40.70,41.48,8950000
14-Sep-05,41.35,41.76,41.05,41.42,6744000
13-Sep-05,41.62,41.89,41.10,41.11,7668800
12-Sep-05,42.48,42.48,41.48,41.60,10953200
9-Sep-05,41.96,42.72,41.82,42.60,7867800
8-Sep-05,42.14,42.39,41.56,41.65,7147800
7-Sep-05,42.56,42.64,41.87,42.13,6608800
6-Sep-05,42.36,42.82,41.65,42.56,8709200
2-Sep-05,43.33,43.33,41.92,41.92,8214000
1-Sep-05,43.12,43.84,42.53,43.43,9641000
31-Aug-05,42.12,43.63,42.02,43.12,13607000
30-Aug-05,41.95,42.82,41.88,41.92,13651200
29-Aug-05,41.72,42.02,41.29,41.52,11617200
26-Aug-05,41.16,41.40,40.86,41.04,7778600
25-Aug-05,41.22,41.25,40.72,41.15,6731200
24-Aug-05,41.20,41.85,40.96,41.34,7527600
23-Aug-05,41.20,41.36,40.43,41.08,7056800
22-Aug-05,41.45,41.70,40.54,40.94,6214400
19-Aug-05,41.32,41.46,40.91,41.26,6201800
18-Aug-05,40.62,41.22,40.45,40.80,9417400
17-Aug-05,41.82,42.08,40.74,40.87,10049800
16-Aug-05,42.58,42.82,41.74,41.78,6842400
15-Aug-05,43.02,43.10,42.36,42.58,5795600
12-Aug-05,43.67,43.78,42.70,43.01,6144600
11-Aug-05,43.65,43.90,43.20,43.62,7124000
10-Aug-05,43.02,43.90,42.71,43.51,8278200
9-Aug-05,43.12,43.20,42.75,42.91,4553600
8-Aug-05,43.19,43.45,42.84,43.12,8722400
5-Aug-05,43.30,43.50,42.54,42.89,7560600
4-Aug-05,43.08,43.60,43.08,43.18,8493600
3-Aug-05,43.62,43.62,43.10,43.38,8406200
2-Aug-05,42.69,43.36,42.52,43.36,9216000
1-Aug-05,42.08,42.75,42.08,42.36,7013800
29-Jul-05,42.52,42.54,41.80,41.87,6487400
28-Jul-05,42.60,42.80,42.00,42.40,8808400
27-Jul-05,42.58,42.71,42.00,42.48,7778800
26-Jul-05,41.95,42.87,41.94,42.56,10181800
25-Jul-05,41.14,42.82,41.06,42.44,16069200
22-Jul-05,39.98,41.20,39.85,41.14,17877000
21-Jul-05,39.22,39.48,38.62,38.98,9974200
20-Jul-05,39.00,39.44,38.71,39.22,8011800
19-Jul-05,37.92,39.14,37.92,39.09,9082600
18-Jul-05,37.88,38.17,37.42,37.91,6826600
15-Jul-05,38.35,38.43,37.76,37.90,7061000
14-Jul-05,39.30,39.50,37.68,38.15,15821200
13-Jul-05,39.46,39.74,39.00,39.30,6236600
12-Jul-05,39.34,39.64,39.05,39.46,6818800
11-Jul-05,38.74,39.35,38.26,39.28,6305200
8-Jul-05,39.00,39.54,38.58,38.74,6944200
7-Jul-05,38.78,39.08,38.34,39.08,8317400
6-Jul-05,39.50,39.75,38.70,38.86,6825200
5-Jul-05,38.43,39.44,38.43,39.41,7383400
1-Jul-05,38.02,38.38,37.87,38.30,5531800
30-Jun-05,38.00,38.74,37.91,37.97,7351400
29-Jun-05,38.20,38.68,37.90,38.36,8667800
28-Jun-05,38.60,38.90,38.28,38.28,11884200
27-Jun-05,38.53,39.22,38.52,39.09,10176200
24-Jun-05,38.50,38.58,38.05,38.23,7718400
23-Jun-05,38.24,38.99,37.98,38.14,8179000
22-Jun-05,37.78,38.24,37.64,38.23,7985000
21-Jun-05,38.22,38.22,37.63,37.68,7678000
20-Jun-05,38.22,38.46,37.98,38.22,8160800
17-Jun-05,38.30,38.34,37.45,38.22,11730200
16-Jun-05,37.50,37.84,37.42,37.84,7681800
15-Jun-05,36.99,37.36,36.73,37.34,6748600
14-Jun-05,36.88,37.12,36.66,36.88,5930600
13-Jun-05,36.60,36.86,36.30,36.82,5211600
10-Jun-05,36.20,36.85,36.20,36.62,6614200
9-Jun-05,35.72,36.68,35.55,36.58,8077200
8-Jun-05,34.98,35.94,34.96,35.52,8842600
7-Jun-05,35.38,35.68,35.17,35.22,5340800
6-Jun-05,35.65,35.74,35.01,35.43,5101200
3-Jun-05,35.50,35.82,35.36,35.56,7803400
2-Jun-05,34.90,35.24,34.50,34.96,6745800
1-Jun-05,34.30,35.18,34.30,34.67,9468400
31-May-05,34.36,34.42,33.75,34.18,5491200
27-May-05,34.00,34.46,33.92,34.36,5355000
26-May-05,34.09,34.09,33.62,33.92,6458600
25-May-05,33.40,34.09,33.01,33.90,7862400
24-May-05,33.50,33.70,33.28,33.44,6157200
