Date,Open,High,Low,Close,Volume
29-Dec-06,82.78,83.72,82.78,83.02,384400
28-Dec-06,83.30,83.35,82.90,83.01,614800
27-Dec-06,83.03,83.58,82.49,83.42,502800
26-Dec-06,81.50,82.20,81.35,82.03,464600
22-Dec-06,81.75,81.94,81.25,81.71,389000
21-Dec-06,82.05,82.56,81.59,81.80,567300
20-Dec-06,81.60,82.38,81.31,81.89,592500
19-Dec-06,81.50,82.12,80.80,81.85,952200
18-Dec-06,82.30,82.31,81.24,81.65,1873900
15-Dec-06,87.10,87.10,81.93,82.29,4749000
14-Dec-06,85.58,86.30,85.30,85.87,526600
13-Dec-06,86.64,86.64,85.06,85.58,867200
12-Dec-06,86.10,86.10,85.36,85.64,634300
11-Dec-06,86.00,86.80,85.94,86.33,475200
8-Dec-06,86.13,86.48,85.60,85.84,452000
7-Dec-06,86.70,86.96,86.02,86.13,484800
6-Dec-06,86.80,86.80,86.20,86.37,606500
5-Dec-06,86.60,87.51,85.90,86.55,574400
4-Dec-06,84.89,86.52,84.55,86.48,672400
1-Dec-06,85.50,85.83,83.49,84.65,1338700
30-Nov-06,85.16,85.40,84.28,85.30,1245100
29-Nov-06,84.60,85.45,84.53,85.01,879000
28-Nov-06,84.49,84.50,82.48,83.95,1907100
27-Nov-06,85.76,85.80,84.54,85.01,961800
24-Nov-06,85.78,86.10,85.00,85.75,401000
22-Nov-06,85.91,86.16,84.93,86.02,865700
21-Nov-06,86.10,86.44,85.99,86.30,709700
20-Nov-06,86.51,86.68,85.92,86.05,717900
17-Nov-06,88.29,88.30,86.35,86.50,1385300
16-Nov-06,88.40,88.55,87.76,88.33,1680500
15-Nov-06,89.09,90.25,88.41,88.65,1244800
14-Nov-06,89.38,89.62,87.95,89.49,1225600
13-Nov-06,89.48,90.68,89.07,89.40,1316800
10-Nov-06,88.50,89.59,87.55,89.55,889500
9-Nov-06,87.75,88.84,87.34,88.50,1108900
8-Nov-06,87.31,87.85,87.08,87.51,953600
7-Nov-06,85.96,87.68,85.65,87.31,1019200
6-Nov-06,85.10,86.53,84.39,86.19,718300
3-Nov-06,85.98,85.98,83.82,84.87,858800
2-Nov-06,86.15,86.16,84.67,85.75,1048700
1-Nov-06,87.50,87.87,85.83,86.40,923900
31-Oct-06,86.84,87.27,86.26,86.93,644800
30-Oct-06,86.48,86.70,85.46,86.64,672500
27-Oct-06,86.69,87.01,85.50,86.24,966600
26-Oct-06,86.85,87.15,86.31,86.68,725800
25-Oct-06,87.10,87.10,85.83,86.29,940000
24-Oct-06,88.65,88.74,85.24,86.70,3588300
23-Oct-06,87.00,89.33,87.00,89.33,1101300
20-Oct-06,88.05,88.07,87.00,87.67,671900
19-Oct-06,87.29,88.03,86.53,87.61,532300
18-Oct-06,87.90,88.37,86.71,87.25,1101000
17-Oct-06,87.74,88.10,86.59,86.93,1065900
16-Oct-06,88.84,88.89,87.76,88.23,902300
13-Oct-06,88.89,89.25,88.35,88.83,1008400
12-Oct-06,88.60,89.47,88.31,88.88,713900
11-Oct-06,89.19,89.19,87.70,88.37,751000
10-Oct-06,86.76,89.31,86.71,89.19,1086300
9-Oct-06,86.13,86.13,84.84,86.08,763600
6-Oct-06,86.32,86.68,85.63,86.12,842900
5-Oct-06,85.18,86.47,84.11,86.32,758400
4-Oct-06,84.02,85.37,83.13,85.19,1117000
3-Oct-06,84.95,85.21,83.33,84.42,625100
2-Oct-06,84.45,85.88,84.07,84.74,689400
29-Sep-06,85.08,85.17,83.91,84.11,953900
28-Sep-06,85.12,85.64,84.25,84.66,928400
27-Sep-06,86.85,87.08,85.03,85.25,1175400
26-Sep-06,85.00,87.59,84.75,87.30,1220100
25-Sep-06,83.05,86.10,83.01,85.04,2211700
22-Sep-06,87.03,87.80,85.73,87.75,959600
21-Sep-06,88.23,88.50,86.48,87.03,1215200
20-Sep-06,87.52,88.49,86.79,88.02,1237000
19-Sep-06,88.11,88.39,86.15,87.51,1337600
18-Sep-06,88.30,89.42,87.75,88.10,1072200
15-Sep-06,89.00,89.64,87.74,88.62,1644700
14-Sep-06,87.45,87.94,85.90,87.70,832400
13-Sep-06,87.83,88.01,86.60,87.44,963000
12-Sep-06,84.85,88.01,84.82,87.45,1565700
11-Sep-06,82.19,84.50,81.50,84.47,1485300
8-Sep-06,80.51,82.76,80.17,82.30,1036100
7-Sep-06,81.75,81.75,78.44,79.99,1198500
6-Sep-06,81.62,83.63,81.33,81.75,1356000
5-Sep-06,81.90,82.27,80.81,81.62,845600
1-Sep-06,81.10,81.72,80.47,81.56,692100
31-Aug-06,80.70,81.49,80.35,80.91,788000
