Date,Open,High,Low,Close,Volume
29-Dec-06,24.40,24.50,24.25,24.36,8053200
28-Dec-06,24.38,24.55,24.32,24.46,6637000
27-Dec-06,24.25,24.50,24.20,24.50,12874000
26-Dec-06,23.86,24.14,23.84,24.12,5086600
22-Dec-06,24.02,24.02,23.84,23.86,6309200
21-Dec-06,23.93,24.00,23.73,24.00,7732800
20-Dec-06,24.06,24.18,23.72,23.98,7738600
19-Dec-06,24.10,24.16,23.94,24.13,7058800
18-Dec-06,24.15,24.17,23.92,24.06,6664000
15-Dec-06,24.05,24.32,23.95,24.24,13358200
14-Dec-06,24.06,24.20,24.00,24.05,7807400
13-Dec-06,24.00,24.11,23.94,23.98,5241800
12-Dec-06,23.98,24.02,23.84,24.00,6981200
11-Dec-06,23.95,24.06,23.78,23.91,6802800
8-Dec-06,24.10,24.14,23.90,23.98,6037200
7-Dec-06,24.16,24.26,23.98,24.02,7157200
6-Dec-06,24.28,24.32,23.94,24.00,9932800
5-Dec-06,24.10,24.35,24.08,24.14,9594800
4-Dec-06,24.00,24.22,23.60,24.05,19551200
1-Dec-06,23.45,23.48,23.12,23.28,9914000
30-Nov-06,23.46,23.50,23.22,23.33,9202800
29-Nov-06,23.30,23.46,23.28,23.38,6954600
28-Nov-06,23.19,23.40,23.12,23.20,9874400
27-Nov-06,23.34,23.44,23.11,23.20,10384800
24-Nov-06,23.54,23.60,23.42,23.48,3881800
22-Nov-06,23.69,23.80,23.64,23.78,4717200
21-Nov-06,23.85,23.90,23.70,23.74,7421400
20-Nov-06,23.72,23.96,23.71,23.88,8021600
17-Nov-06,23.65,23.86,23.60,23.84,9136800
16-Nov-06,23.70,23.82,23.59,23.74,8097800
15-Nov-06,23.30,23.62,23.28,23.50,14070600
14-Nov-06,22.76,23.19,22.75,23.09,14039200
13-Nov-06,22.92,23.14,22.78,22.82,8175000
10-Nov-06,22.88,23.19,22.70,22.98,12698800
9-Nov-06,23.64,23.73,22.84,22.92,21310800
8-Nov-06,23.75,23.78,23.52,23.64,14950400
7-Nov-06,23.68,24.16,23.66,23.93,11013400
6-Nov-06,23.51,23.82,23.50,23.74,12371800
3-Nov-06,23.70,23.90,23.66,23.82,7975400
2-Nov-06,23.72,23.84,23.68,23.73,9373800
1-Nov-06,23.60,23.78,23.58,23.71,8030000
31-Oct-06,23.75,23.80,23.54,23.76,10925200
30-Oct-06,23.78,23.84,23.48,23.54,8578800
27-Oct-06,23.72,23.86,23.62,23.84,9774600
26-Oct-06,24.14,24.14,23.75,23.94,8773800
25-Oct-06,23.98,24.18,23.84,24.14,8482000
24-Oct-06,24.26,24.29,23.86,24.06,10563200
23-Oct-06,24.25,24.47,24.12,24.42,8456800
20-Oct-06,24.08,24.44,23.86,24.39,14266800
19-Oct-06,24.02,24.20,23.84,23.96,11415600
18-Oct-06,23.82,24.12,23.64,23.92,13853200
17-Oct-06,23.58,23.76,23.38,23.60,8447600
16-Oct-06,23.40,23.68,23.38,23.58,8528600
13-Oct-06,23.30,23.52,23.20,23.46,13091600
12-Oct-06,23.40,23.42,23.18,23.22,12468400
11-Oct-06,23.12,23.38,23.02,23.24,12179800
10-Oct-06,23.45,23.46,23.02,23.28,11466800
9-Oct-06,23.20,23.53,23.18,23.35,9066200
6-Oct-06,23.15,23.25,23.04,23.10,14947400
5-Oct-06,23.57,23.78,23.12,23.18,23854800
4-Oct-06,23.72,23.72,23.40,23.57,14738000
3-Oct-06,23.88,23.92,23.39,23.80,14416600
2-Oct-06,23.88,24.35,23.88,24.12,7100000
29-Sep-06,24.08,24.34,24.02,24.28,7179200
28-Sep-06,24.22,24.24,23.98,24.16,9162400
27-Sep-06,24.04,24.20,23.78,24.18,10262800
26-Sep-06,24.03,24.08,23.77,24.04,9847800
25-Sep-06,24.14,24.23,23.90,23.98,9554800
22-Sep-06,24.00,24.10,23.84,23.95,5824600
21-Sep-06,24.25,24.33,24.00,24.10,9264000
20-Sep-06,24.68,24.70,24.24,24.28,9533600
19-Sep-06,24.21,24.61,24.16,24.58,10063000
18-Sep-06,24.60,24.63,24.40,24.44,8830400
15-Sep-06,24.65,24.94,24.62,24.74,13959200
14-Sep-06,24.48,24.66,24.38,24.58,7734000
13-Sep-06,24.40,24.66,24.28,24.59,8283000
12-Sep-06,24.25,24.44,24.12,24.40,12537600
11-Sep-06,24.33,24.45,24.28,24.32,11615400
8-Sep-06,23.95,24.48,23.95,24.45,11533800
7-Sep-06,23.85,23.96,23.75,23.95,11341000
6-Sep-06,24.10,24.13,23.66,23.96,9319600
5-Sep-06,24.28,24.45,24.11,24.18,9527400
1-Sep-06,24.40,24.40,24.04,24.18,9222800
31-Aug-06,24.16,24.38,24.08,24.35,9568400
30-Aug-06,24.45,24.48,24.03,24.09,11640200
29-Aug-06,24.40,24.58,24.30,24.48,8756800
28-Aug-06,24.50,24.72,24.42,24.48,7400800
25-Aug-06,24.27,24.48,24.26,24.40,4430400
24-Aug-06,24.42,24.63,24.38,24.41,9334600
23-Aug-06,24.49,24.58,24.38,24.50,8895000
22-Aug-06,24.25,24.54,24.14,24.47,12710000
21-Aug-06,24.31,24.46,24.17,24.34,8780400
18-Aug-06,24.56,24.59,24.32,24.50,10047600
17-Aug-06,24.54,24.62,24.32,24.56,12569000
16-Aug-06,24.50,24.64,24.42,24.64,13464400
15-Aug-06,24.18,24.34,24.10,24.33,9151400
14-Aug-06,23.70,24.30,23.70,23.98,11588200
11-Aug-06,23.75,23.84,23.52,23.70,4994000
10-Aug-06,23.54,23.88,23.41,23.86,10756000
9-Aug-06,23.88,23.88,23.55,23.66,9092000
8-Aug-06,23.74,23.84,23.59,23.84,7497600
7-Aug-06,23.62,23.72,22.95,23.67,9140600
4-Aug-06,23.80,23.80,23.48,23.62,9042200
