Date,Open,High,Low,Close,Volume
29-Dec-06,31.86,32.56,31.86,31.96,3752700
28-Dec-06,31.92,32.54,31.80,32.27,4423300
27-Dec-06,31.94,32.35,31.66,32.20,4416600
26-Dec-06,32.10,32.38,31.21,31.94,3788400
22-Dec-06,31.34,31.64,31.20,31.48,4348700
21-Dec-06,31.65,32.18,31.31,31.51,6636800
20-Dec-06,32.74,32.78,31.68,31.94,11232700
19-Dec-06,32.00,32.90,31.82,32.78,7057400
18-Dec-06,32.73,33.20,31.95,32.06,7931500
15-Dec-06,32.88,33.17,32.01,32.72,7638400
14-Dec-06,32.39,32.94,32.31,32.62,6372400
13-Dec-06,33.27,33.52,32.55,32.76,7860100
12-Dec-06,33.53,33.92,33.10,33.47,6887300
11-Dec-06,34.19,34.19,33.31,33.69,8138700
8-Dec-06,33.59,34.23,33.59,34.07,6007800
7-Dec-06,34.48,34.67,33.66,33.76,5583000
6-Dec-06,34.68,34.75,34.05,34.30,5845000
5-Dec-06,34.85,34.90,34.50,34.58,5622700
4-Dec-06,34.68,35.19,34.58,34.85,5821700
1-Dec-06,35.23,35.23,34.58,34.83,7797900
30-Nov-06,34.65,35.15,34.13,35.10,10030200
29-Nov-06,32.92,34.64,32.82,34.47,13431100
28-Nov-06,32.82,33.03,32.17,32.70,9044500
27-Nov-06,33.50,33.61,32.85,32.99,10463800
24-Nov-06,33.95,34.00,33.46,33.53,2952000
22-Nov-06,33.84,34.17,33.58,34.07,7431700
21-Nov-06,33.72,33.90,33.50,33.71,7897300
20-Nov-06,34.22,34.50,33.50,33.50,7856400
17-Nov-06,35.08,35.33,34.26,34.36,6975400
16-Nov-06,35.90,36.00,35.36,35.42,2874200
15-Nov-06,35.84,36.09,35.35,35.65,5301700
14-Nov-06,35.10,36.10,35.10,35.97,5035400
13-Nov-06,35.25,35.44,34.69,35.06,4135400
10-Nov-06,35.62,35.88,35.10,35.46,4103800
9-Nov-06,36.25,36.47,35.37,35.76,9332600
8-Nov-06,33.86,35.89,33.82,35.73,12442300
7-Nov-06,34.26,34.50,33.37,33.53,7478100
6-Nov-06,34.23,34.50,33.90,34.22,6662600
3-Nov-06,35.58,35.71,34.10,34.23,8833900
2-Nov-06,36.50,36.50,35.25,35.66,6991700
1-Nov-06,38.37,38.60,36.59,36.61,6086700
31-Oct-06,39.25,39.50,37.60,38.50,6280700
30-Oct-06,38.95,39.06,38.37,38.54,3139600
27-Oct-06,39.80,39.92,39.15,39.37,3256000
26-Oct-06,39.11,40.00,38.93,39.87,5527600
25-Oct-06,38.10,39.20,37.90,38.80,5510700
24-Oct-06,37.25,38.06,37.10,37.97,4886700
23-Oct-06,37.49,37.55,37.14,37.20,2209800
20-Oct-06,38.10,38.16,37.39,37.50,2311000
19-Oct-06,37.04,38.05,37.04,37.90,3963500
18-Oct-06,37.62,37.83,37.12,37.21,2542800
17-Oct-06,37.81,37.96,37.10,37.27,2750000
16-Oct-06,36.77,38.11,36.77,38.06,4146300
13-Oct-06,36.92,37.21,36.25,36.93,4768300
12-Oct-06,37.01,37.24,36.55,36.72,4331300
11-Oct-06,36.91,37.66,36.54,36.66,5187200
10-Oct-06,38.37,38.60,37.10,37.12,5132300
9-Oct-06,37.09,38.59,37.05,38.50,4211900
6-Oct-06,37.25,37.25,36.90,37.00,4759100
5-Oct-06,37.21,38.00,37.17,37.40,4360000
4-Oct-06,36.75,37.07,35.77,37.05,5515400
3-Oct-06,37.82,38.06,36.96,37.01,3969400
2-Oct-06,37.88,38.39,37.18,38.05,2759300
29-Sep-06,37.86,38.15,37.67,37.88,2648600
28-Sep-06,37.55,37.94,37.34,37.66,3628000
27-Sep-06,38.64,38.75,37.66,37.75,3915100
26-Sep-06,37.45,38.84,37.20,38.74,3509100
25-Sep-06,38.39,38.40,36.59,37.62,6091600
22-Sep-06,39.17,39.29,38.35,38.48,3613500
21-Sep-06,38.90,39.46,38.65,39.20,3517200
20-Sep-06,38.50,38.81,38.15,38.71,5605900
19-Sep-06,38.44,38.65,38.12,38.48,3214300
18-Sep-06,37.75,38.70,37.70,38.59,2753100
15-Sep-06,38.62,38.87,38.01,38.13,5499400
14-Sep-06,38.25,38.73,37.75,38.56,4970800
13-Sep-06,36.50,38.30,36.44,37.86,7761500
12-Sep-06,38.11,38.15,36.50,37.17,9371500
11-Sep-06,39.00,39.21,38.02,38.33,5745500
8-Sep-06,40.14,40.66,39.30,39.59,4351400
7-Sep-06,40.77,40.77,39.80,39.93,3783800
6-Sep-06,42.13,42.13,40.63,40.77,4238500
5-Sep-06,41.87,42.35,41.76,42.04,1919100
1-Sep-06,41.42,42.44,41.39,41.99,2722800
31-Aug-06,41.20,41.46,40.98,41.17,2656700
30-Aug-06,41.48,41.70,41.21,41.21,2017200
29-Aug-06,41.70,41.75,40.95,41.23,3337900
28-Aug-06,41.52,42.23,41.40,41.69,2513400
25-Aug-06,41.73,41.97,41.20,41.74,2798900
24-Aug-06,42.00,42.00,41.25,41.74,1564000
23-Aug-06,41.37,41.99,41.30,41.64,2013700
22-Aug-06,41.67,41.89,41.21,41.50,2239700
21-Aug-06,41.20,42.02,41.10,41.45,3241500
18-Aug-06,39.74,41.22,39.69,41.20,4600500
17-Aug-06,40.41,40.75,39.71,39.73,3490800
16-Aug-06,41.00,41.06,40.25,40.45,3534600
15-Aug-06,40.70,41.16,40.41,41.02,3377800
14-Aug-06,41.00,41.31,39.92,40.11,3515700
11-Aug-06,40.62,41.08,40.62,40.83,2588400
10-Aug-06,41.61,41.65,40.28,40.57,4240900
9-Aug-06,41.67,42.20,41.28,41.81,2756100
8-Aug-06,41.60,41.99,41.19,41.42,2678400
7-Aug-06,40.04,41.56,39.73,41.43,5501400
4-Aug-06,42.65,42.68,40.58,40.91,5431600
3-Aug-06,42.27,42.31,41.45,42.00,5142700
2-Aug-06,44.00,44.02,42.23,42.86,6468000
1-Aug-06,44.50,45.05,43.66,43.90,7802800
31-Jul-06,43.71,44.00,43.04,44.00,5049900
28-Jul-06,42.50,43.86,42.27,43.52,3939300
27-Jul-06,42.51,43.25,42.41,42.43,4983400
26-Jul-06,41.81,42.29,41.14,42.15,4088500
25-Jul-06,39.97,41.96,39.85,41.85,4110100
24-Jul-06,39.47,39.92,39.12,39.88,4783900
