Date,Open,High,Low,Close,Volume
29-Dec-06,26.82,26.98,26.78,26.78,874400
28-Dec-06,26.88,26.95,26.82,26.90,1554000
27-Dec-06,26.86,26.98,26.80,26.82,2297400
26-Dec-06,26.64,26.88,26.52,26.79,802400
22-Dec-06,26.78,26.90,26.73,26.82,1851000
21-Dec-06,26.78,26.86,26.73,26.83,1486800
20-Dec-06,26.87,27.02,26.82,26.90,4204000
19-Dec-06,27.78,27.86,26.67,26.83,12468400
18-Dec-06,28.24,28.24,27.68,27.79,3858600
15-Dec-06,28.22,28.24,27.98,28.00,4173200
14-Dec-06,28.40,28.49,28.26,28.34,4117600
13-Dec-06,28.60,28.66,28.43,28.52,3998000
12-Dec-06,28.52,28.88,28.48,28.74,2268200
11-Dec-06,28.16,28.28,28.16,28.28,2065600
8-Dec-06,28.60,28.72,28.48,28.53,1114600
7-Dec-06,28.47,28.60,28.34,28.42,2994600
6-Dec-06,28.20,28.32,28.18,28.20,2497000
5-Dec-06,28.76,28.79,28.62,28.68,3046400
4-Dec-06,28.77,28.89,28.64,28.89,2712600
1-Dec-06,28.67,28.67,28.30,28.56,3341600
30-Nov-06,29.17,29.22,28.94,28.94,2625200
29-Nov-06,29.34,29.62,29.16,29.28,4555800
28-Nov-06,28.58,28.65,28.32,28.46,4959800
27-Nov-06,28.60,28.62,28.08,28.12,3145400
24-Nov-06,28.83,28.88,28.66,28.70,1142800
22-Nov-06,28.72,28.84,28.59,28.65,2100800
21-Nov-06,28.48,28.63,28.46,28.49,2683400
20-Nov-06,28.62,28.86,28.60,28.72,4151400
17-Nov-06,28.80,28.93,28.72,28.79,3328000
16-Nov-06,29.06,29.15,29.00,29.12,1420800
15-Nov-06,29.00,29.15,28.92,29.08,3128200
14-Nov-06,29.14,29.30,28.92,29.23,2368800
13-Nov-06,29.08,29.30,29.04,29.04,2943200
10-Nov-06,28.85,28.94,28.63,28.75,3214200
9-Nov-06,29.30,29.38,28.76,28.98,5859600
8-Nov-06,30.28,30.30,29.93,30.00,6325800
7-Nov-06,30.75,30.88,30.66,30.70,3984600
6-Nov-06,30.41,30.60,30.38,30.58,2121000
3-Nov-06,30.48,30.49,30.26,30.30,1589200
2-Nov-06,30.46,30.68,30.35,30.63,2377000
1-Nov-06,30.16,30.22,29.92,30.06,2772400
31-Oct-06,29.66,29.66,29.34,29.35,4941000
30-Oct-06,30.06,30.10,29.84,29.92,6156000
27-Oct-06,29.86,29.88,29.50,29.58,6864200
26-Oct-06,30.70,30.88,30.50,30.69,10899000
25-Oct-06,32.94,33.24,32.92,33.18,2540800
24-Oct-06,32.68,32.71,32.48,32.61,2599800
23-Oct-06,32.85,32.98,32.62,32.79,4439200
20-Oct-06,32.92,33.20,32.86,33.14,4162200
19-Oct-06,32.79,33.05,32.72,33.00,5093000
18-Oct-06,31.96,32.12,31.93,32.08,1578800
17-Oct-06,31.63,31.70,31.58,31.62,1121400
16-Oct-06,31.39,31.51,31.35,31.48,938600
13-Oct-06,31.06,31.18,30.96,31.00,1510400
12-Oct-06,30.90,31.19,30.90,31.16,1263000
11-Oct-06,30.50,30.65,30.44,30.56,1013800
10-Oct-06,30.86,30.87,30.58,30.70,1270600
9-Oct-06,30.77,31.06,30.77,31.06,1732600
6-Oct-06,31.14,31.14,30.82,30.95,2346600
5-Oct-06,31.42,31.57,31.41,31.49,2042000
4-Oct-06,31.21,31.60,31.21,31.58,998000
3-Oct-06,31.40,31.71,31.28,31.66,878600
2-Oct-06,31.44,31.62,31.30,31.44,1463400
29-Sep-06,31.22,31.44,31.16,31.25,1967800
28-Sep-06,31.59,31.63,31.38,31.50,1217800
27-Sep-06,31.36,31.62,31.36,31.54,1862200
26-Sep-06,31.40,31.56,31.38,31.53,2447200
25-Sep-06,31.60,31.70,31.34,31.63,1247600
22-Sep-06,31.74,31.80,31.58,31.72,1932400
21-Sep-06,31.76,31.82,31.62,31.64,1465000
20-Sep-06,31.22,31.65,31.18,31.61,2000200
19-Sep-06,31.18,31.20,30.94,31.10,1627000
18-Sep-06,31.16,31.41,31.14,31.40,1209800
15-Sep-06,31.34,31.34,30.92,31.16,3200000
14-Sep-06,31.47,31.56,31.40,31.54,1139200
13-Sep-06,31.25,31.32,31.02,31.25,1523800
12-Sep-06,31.26,31.60,31.22,31.50,2811000
11-Sep-06,30.64,30.92,30.56,30.82,3624400
8-Sep-06,30.76,30.82,30.58,30.68,5965800
7-Sep-06,31.30,31.52,30.98,31.08,2590200
6-Sep-06,31.75,31.75,31.51,31.64,1497800
5-Sep-06,32.26,32.28,32.05,32.20,1746000
1-Sep-06,32.60,32.76,32.58,32.72,1269000
31-Aug-06,32.42,32.62,32.34,32.57,3198000
30-Aug-06,32.25,32.47,32.24,32.40,2451200
29-Aug-06,32.00,32.16,31.76,32.16,3014800
28-Aug-06,31.50,31.75,31.50,31.66,1468000
25-Aug-06,31.43,31.63,31.38,31.61,1302200
24-Aug-06,31.64,31.68,31.45,31.51,1522800
23-Aug-06,31.60,31.68,31.42,31.56,806000
22-Aug-06,31.44,31.61,31.34,31.50,1564600
21-Aug-06,31.67,31.78,31.58,31.62,1937000
18-Aug-06,31.20,31.50,31.14,31.50,1833200
17-Aug-06,31.16,31.24,31.00,31.06,1429400
16-Aug-06,31.28,31.38,31.12,31.35,1716200
15-Aug-06,30.96,31.18,30.88,31.12,2034000
14-Aug-06,30.50,30.75,30.46,30.54,1893600
11-Aug-06,30.22,30.34,29.99,30.14,1399000
10-Aug-06,30.18,30.56,30.17,30.50,1503400
9-Aug-06,30.42,30.74,30.28,30.32,3383800
8-Aug-06,30.56,30.60,30.32,30.49,3503200
7-Aug-06,30.76,30.92,30.29,30.44,1709000
4-Aug-06,30.44,30.76,30.44,30.65,1675400
3-Aug-06,30.08,30.24,29.98,30.16,1980000
2-Aug-06,29.91,30.18,29.90,30.06,2407200
1-Aug-06,30.44,30.51,30.14,30.18,4673200
31-Jul-06,30.69,30.77,30.44,30.52,1711200
28-Jul-06,30.28,30.50,30.26,30.42,2192800
27-Jul-06,29.41,29.94,29.00,29.86,5095600
26-Jul-06,30.43,31.05,30.37,31.00,2055600
25-Jul-06,30.40,30.56,30.26,30.46,2547000
24-Jul-06,30.60,30.78,30.55,30.68,3524400
21-Jul-06,29.75,29.84,29.58,29.79,1688600
20-Jul-06,29.46,29.50,29.26,29.26,1015600
19-Jul-06,28.30,29.38,28.30,29.26,2223000
18-Jul-06,28.50,28.58,28.33,28.58,1078800
17-Jul-06,28.30,28.44,28.10,28.30,1759800
14-Jul-06,28.88,28.90,28.56,28.72,1542800
13-Jul-06,29.30,29.35,29.11,29.17,1953600
12-Jul-06,29.82,29.92,29.70,29.75,2505600
11-Jul-06,29.92,30.19,29.83,30.18,1558800
10-Jul-06,29.98,30.24,29.92,30.17,2316200
7-Jul-06,29.84,30.02,29.79,29.88,2622000
6-Jul-06,29.68,29.96,29.66,29.86,2436000
5-Jul-06,29.20,29.50,29.10,29.40,2980200
3-Jul-06,30.00,30.08,29.90,30.04,1475200
30-Jun-06,30.01,30.22,29.91,29.91,3201800
29-Jun-06,28.86,29.75,28.86,29.60,4020600
28-Jun-06,28.52,28.72,28.43,28.68,1908600
27-Jun-06,28.47,28.48,28.10,28.14,2023000
26-Jun-06,28.42,28.56,28.26,28.46,1215600
23-Jun-06,28.42,28.62,28.38,28.46,1979400
