Date,Open,High,Low,Close,Volume
29-Dec-06,26.25,26.36,26.17,26.32,7995300
28-Dec-06,26.30,26.41,26.21,26.31,4909900
27-Dec-06,26.15,26.37,26.09,26.29,5720200
26-Dec-06,25.98,26.14,25.94,26.06,3536000
22-Dec-06,26.05,26.11,25.75,26.00,5131700
21-Dec-06,25.67,26.09,25.58,26.05,7448800
20-Dec-06,25.62,25.89,25.57,25.77,5764600
19-Dec-06,25.55,25.76,25.38,25.65,6281300
18-Dec-06,25.50,25.68,25.48,25.53,5260300
15-Dec-06,25.59,25.67,25.48,25.61,8785200
14-Dec-06,25.58,25.99,25.48,25.59,7256800
13-Dec-06,25.44,25.56,25.31,25.51,7389500
12-Dec-06,25.42,25.51,25.25,25.46,8262200
11-Dec-06,25.36,25.55,25.30,25.42,4891300
8-Dec-06,25.26,25.54,25.07,25.35,6039400
7-Dec-06,25.45,25.53,25.13,25.25,6064300
6-Dec-06,25.29,25.44,25.00,25.39,6374900
5-Dec-06,25.24,25.45,24.91,25.29,7200700
4-Dec-06,24.91,25.33,24.84,25.24,8398000
1-Dec-06,24.87,24.87,24.60,24.84,4577700
30-Nov-06,24.76,24.99,24.65,24.83,4563900
29-Nov-06,24.70,24.85,24.61,24.79,4530400
28-Nov-06,24.60,24.73,24.53,24.63,4854700
27-Nov-06,24.47,24.72,24.41,24.59,6912200
24-Nov-06,24.56,24.67,24.47,24.47,2464500
22-Nov-06,24.68,24.80,24.44,24.73,6912000
21-Nov-06,24.49,24.71,24.39,24.50,7034800
20-Nov-06,24.71,24.85,24.41,24.55,8506800
17-Nov-06,24.55,24.83,24.52,24.80,6817200
16-Nov-06,24.47,24.71,24.39,24.66,5955400
15-Nov-06,24.27,24.51,24.15,24.50,8302600
14-Nov-06,24.35,24.50,23.95,24.44,8683100
13-Nov-06,24.32,24.68,24.31,24.41,6212200
10-Nov-06,24.55,24.64,24.29,24.42,7915100
9-Nov-06,24.80,24.91,24.36,24.58,7887100
8-Nov-06,24.87,25.00,24.64,24.81,6705700
7-Nov-06,24.80,25.16,24.63,25.08,8094300
6-Nov-06,24.49,24.81,24.49,24.73,6834100
3-Nov-06,24.57,24.60,24.32,24.53,6242500
2-Nov-06,24.64,24.85,24.37,24.47,7917000
1-Nov-06,24.89,24.95,24.56,24.62,7804900
31-Oct-06,24.41,24.81,24.25,24.75,9795000
30-Oct-06,24.64,24.69,24.30,24.33,7128000
27-Oct-06,24.52,24.72,24.20,24.69,9578700
26-Oct-06,24.78,24.92,23.93,24.53,11825900
