Date,Open,High,Low,Close,Volume
29-Dec-06,39.94,40.15,39.89,39.90,3966300
28-Dec-06,40.00,40.15,39.99,40.02,2742300
27-Dec-06,40.18,40.24,39.95,40.14,3509000
26-Dec-06,40.00,40.31,40.00,40.26,2560400
22-Dec-06,40.00,40.21,39.94,40.00,3521200
21-Dec-06,40.35,40.42,40.02,40.06,5042100
20-Dec-06,40.06,40.65,40.05,40.42,4457800
19-Dec-06,39.97,40.35,39.89,40.25,4786800
18-Dec-06,40.45,40.45,39.98,40.08,4884000
15-Dec-06,40.19,40.45,40.10,40.13,8216200
14-Dec-06,39.80,40.16,39.60,40.02,7184700
13-Dec-06,39.83,40.00,39.45,39.80,4380600
12-Dec-06,39.98,39.99,39.46,39.78,7179300
11-Dec-06,39.91,40.29,39.91,40.11,4504100
8-Dec-06,39.80,40.08,39.69,39.91,3004500
7-Dec-06,40.37,40.42,39.83,39.99,8256700
6-Dec-06,39.89,40.48,39.88,40.24,5882700
5-Dec-06,39.76,40.08,39.70,39.88,7652100
4-Dec-06,39.90,40.14,39.72,39.80,7300000
1-Dec-06,39.81,39.99,39.52,39.70,7571300
30-Nov-06,40.05,40.33,39.75,40.01,4926500
29-Nov-06,39.92,40.30,39.76,40.20,4390100
28-Nov-06,39.11,39.91,39.10,39.65,6747500
27-Nov-06,40.02,40.16,39.16,39.35,5719600
24-Nov-06,39.92,40.10,39.58,40.07,1860400
22-Nov-06,39.97,40.23,39.50,40.09,9079600
21-Nov-06,40.59,40.65,39.82,40.08,10256200
20-Nov-06,40.97,41.39,40.90,41.03,4686900
17-Nov-06,41.09,41.24,40.71,41.18,5587000
16-Nov-06,41.36,41.55,41.07,41.45,3709200
15-Nov-06,41.08,41.54,41.01,41.35,4510000
14-Nov-06,41.00,41.36,40.79,41.21,3335300
13-Nov-06,41.02,41.30,40.86,41.00,3328900
10-Nov-06,40.92,40.92,40.50,40.81,2304100
9-Nov-06,40.76,41.17,40.66,40.73,3571700
8-Nov-06,40.70,41.06,40.56,40.90,3349500
7-Nov-06,41.18,41.43,40.83,40.83,4162700
6-Nov-06,40.64,41.32,40.64,41.22,4769600
3-Nov-06,40.83,41.16,40.52,40.61,3794700
2-Nov-06,40.41,41.03,40.40,40.84,3043400
1-Nov-06,40.81,41.25,40.42,40.64,4490200
31-Oct-06,41.30,41.37,40.65,40.79,5762100
30-Oct-06,41.06,41.25,40.60,41.19,3606100
27-Oct-06,40.65,41.22,40.13,40.96,5114800
26-Oct-06,41.25,41.25,40.27,40.72,9860300
25-Oct-06,40.98,41.09,39.98,40.15,6566600
24-Oct-06,40.10,40.93,40.00,40.93,7411300
23-Oct-06,39.63,40.09,39.57,39.86,3896200
20-Oct-06,39.69,39.83,39.29,39.80,4191200
19-Oct-06,39.42,39.90,39.38,39.66,2887000
18-Oct-06,39.57,39.93,39.44,39.52,4066300
17-Oct-06,38.83,39.50,38.83,39.22,4637600
16-Oct-06,39.62,39.92,39.53,39.62,3457100
13-Oct-06,39.26,39.77,39.08,39.50,3409900
12-Oct-06,39.27,39.43,38.95,39.35,4363400
11-Oct-06,39.19,39.46,38.87,39.00,3269000
10-Oct-06,39.53,39.60,38.91,39.28,3660400
9-Oct-06,38.94,39.54,38.93,39.39,3002600
6-Oct-06,38.40,39.20,38.40,38.93,3643700
5-Oct-06,38.30,38.80,38.19,38.64,3990200
4-Oct-06,38.46,38.71,38.13,38.46,6037900
3-Oct-06,38.40,38.89,38.15,38.61,5463300
2-Oct-06,38.98,39.03,38.56,38.78,3343800
29-Sep-06,39.39,39.45,38.96,38.98,3241600
28-Sep-06,39.24,39.48,39.14,39.21,4602200
27-Sep-06,39.25,39.58,38.82,39.20,4859300
26-Sep-06,39.20,39.98,39.12,39.70,7738600
25-Sep-06,38.82,39.15,38.50,39.09,4785900
22-Sep-06,38.15,38.63,37.91,38.52,5526700
21-Sep-06,39.01,39.02,38.15,38.28,6882700
20-Sep-06,38.85,39.47,38.71,38.90,5055500
19-Sep-06,38.75,38.85,38.13,38.49,3136100
18-Sep-06,38.65,39.02,38.41,38.75,2597400
15-Sep-06,38.90,39.19,38.41,38.57,4960700
14-Sep-06,38.15,38.86,38.03,38.69,4607200
13-Sep-06,37.75,38.59,37.70,38.14,4656100
12-Sep-06,36.73,37.78,36.68,37.64,5187900
11-Sep-06,37.36,37.49,36.13,36.89,4786400
8-Sep-06,37.16,37.75,36.95,37.46,2378900
7-Sep-06,37.29,37.30,36.70,36.91,3825200
6-Sep-06,38.00,38.05,37.27,37.36,5951400
5-Sep-06,38.31,38.39,37.87,38.09,2925200
1-Sep-06,38.42,38.51,38.09,38.38,2973900
31-Aug-06,37.98,38.41,37.85,38.13,4146200
30-Aug-06,37.66,37.98,37.50,37.90,3720500
29-Aug-06,36.87,37.71,36.85,37.56,3317900
28-Aug-06,36.89,36.91,36.51,36.77,2901200
25-Aug-06,36.85,36.89,36.74,36.87,2396600
24-Aug-06,37.30,37.32,36.69,36.73,3313400
23-Aug-06,37.39,37.50,36.81,37.14,2149800
22-Aug-06,37.10,37.46,37.00,37.39,2427000
21-Aug-06,37.67,37.68,36.97,37.07,3355900
18-Aug-06,37.66,37.74,36.95,37.68,3528500
17-Aug-06,37.71,38.19,37.39,37.66,3749900
16-Aug-06,37.20,37.77,37.07,37.71,4633500
15-Aug-06,36.60,36.93,36.34,36.91,4462700
14-Aug-06,36.15,36.57,36.12,36.28,3995500
