Date,Open,High,Low,Close,Volume
29-Dec-06,29.74,29.98,29.62,29.66,916800
28-Dec-06,29.70,29.96,29.62,29.74,645600
27-Dec-06,29.70,29.91,29.66,29.88,620800
26-Dec-06,29.44,29.85,29.44,29.58,636200
22-Dec-06,29.50,29.64,29.44,29.50,822000
21-Dec-06,29.34,29.74,29.34,29.47,1775800
20-Dec-06,29.50,29.72,29.42,29.60,1267000
19-Dec-06,29.21,29.55,29.07,29.45,1078600
18-Dec-06,29.45,29.45,29.14,29.21,501800
15-Dec-06,29.26,29.50,29.26,29.35,772400
14-Dec-06,29.17,29.38,29.08,29.22,1530400
13-Dec-06,29.30,29.55,29.26,29.31,1438400
12-Dec-06,29.50,29.52,29.14,29.22,1015200
11-Dec-06,29.80,29.88,29.60,29.62,705800
8-Dec-06,29.64,29.90,29.63,29.82,611400
7-Dec-06,29.90,30.00,29.66,29.74,576400
6-Dec-06,29.76,29.96,29.76,29.82,966400
5-Dec-06,29.47,29.94,29.46,29.86,1317600
4-Dec-06,28.94,29.56,28.94,29.56,1836200
1-Dec-06,29.62,29.62,28.86,28.94,2157200
30-Nov-06,29.50,29.76,29.48,29.69,1359800
29-Nov-06,29.49,29.82,29.42,29.55,1073400
28-Nov-06,29.39,29.75,29.28,29.45,1544600
27-Nov-06,30.00,30.00,29.44,29.46,1128400
24-Nov-06,30.10,30.31,29.93,30.12,226400
22-Nov-06,30.00,30.25,29.94,30.14,764800
21-Nov-06,30.00,30.05,29.72,29.84,824800
20-Nov-06,30.00,30.15,29.96,30.00,581800
17-Nov-06,30.19,30.24,29.88,30.08,1969400
16-Nov-06,30.38,30.41,30.20,30.30,1354800
15-Nov-06,29.80,30.30,29.74,30.26,1434400
14-Nov-06,30.14,30.14,29.67,29.98,991000
13-Nov-06,29.89,30.20,29.88,30.20,1210200
10-Nov-06,29.99,30.00,29.68,29.86,676800
9-Nov-06,29.99,30.12,29.90,29.94,871200
8-Nov-06,29.88,30.24,29.84,29.96,996200
7-Nov-06,29.98,30.25,29.92,29.92,934200
6-Nov-06,29.84,30.07,29.82,29.98,838200
3-Nov-06,30.02,30.10,29.65,29.74,1268800
2-Nov-06,29.92,30.25,29.81,30.18,1860200
1-Nov-06,30.42,30.45,29.92,30.01,2492200
31-Oct-06,30.38,30.54,30.31,30.46,1895400
30-Oct-06,29.78,30.64,29.78,30.62,2378400
27-Oct-06,28.99,30.02,28.55,29.92,3506600
26-Oct-06,28.88,28.94,28.62,28.92,934400
25-Oct-06,28.75,28.88,28.54,28.76,712600
24-Oct-06,28.52,28.88,28.50,28.78,856000
23-Oct-06,28.38,28.70,28.38,28.53,672400
20-Oct-06,28.53,28.58,28.22,28.58,698600
19-Oct-06,28.38,28.62,28.28,28.53,630800
18-Oct-06,28.44,28.72,28.28,28.38,947000
17-Oct-06,28.40,28.52,28.09,28.24,783600
16-Oct-06,28.31,28.64,28.31,28.59,699000
13-Oct-06,28.11,28.48,28.11,28.35,805400
12-Oct-06,28.18,28.30,28.10,28.15,1130000
11-Oct-06,28.20,28.24,27.86,28.13,912200
10-Oct-06,27.92,28.56,27.88,28.32,1587200
9-Oct-06,27.65,27.84,27.65,27.76,632600
6-Oct-06,27.32,27.82,27.26,27.80,897000
5-Oct-06,27.18,27.48,27.10,27.40,1225000
4-Oct-06,27.01,27.34,27.01,27.34,820400
3-Oct-06,27.01,27.24,26.98,27.12,660400
2-Oct-06,26.95,27.11,26.81,27.10,1016800
29-Sep-06,27.32,27.34,26.96,27.01,903600
28-Sep-06,27.07,27.28,26.98,27.20,899000
27-Sep-06,27.08,27.20,26.91,27.08,1188600
26-Sep-06,26.86,27.12,26.82,27.08,1279600
25-Sep-06,26.59,26.88,26.47,26.80,901200
22-Sep-06,26.64,26.75,26.40,26.50,869400
21-Sep-06,27.02,27.10,26.54,26.68,1303200
20-Sep-06,26.75,27.18,26.75,27.02,1383600
19-Sep-06,26.61,26.70,26.38,26.63,828000
18-Sep-06,26.62,26.76,26.48,26.65,1174400
15-Sep-06,26.88,27.00,26.69,26.76,958400
14-Sep-06,26.51,26.82,26.40,26.77,1539200
13-Sep-06,26.26,26.75,26.24,26.59,1283800
12-Sep-06,25.87,26.50,25.74,26.48,1279800
11-Sep-06,26.00,26.10,25.48,25.74,1096200
8-Sep-06,25.85,26.11,25.74,26.05,842400
