Date,Open,High,Low,Close,Volume
29-Dec-06,51.73,52.22,51.71,52.10,4311400
28-Dec-06,51.78,52.08,51.71,52.01,3394200
27-Dec-06,51.99,52.30,51.40,52.00,6117500
26-Dec-06,51.40,52.80,51.25,51.78,12241100
22-Dec-06,51.89,51.90,51.13,51.35,8505200
21-Dec-06,52.12,52.40,51.69,51.79,7315800
20-Dec-06,52.50,52.86,52.28,52.40,6010600
19-Dec-06,52.88,53.00,52.34,52.62,8798300
18-Dec-06,53.58,54.10,52.93,53.23,10482400
15-Dec-06,53.99,54.57,53.76,54.52,6476300
14-Dec-06,53.59,54.18,53.59,53.97,3036300
13-Dec-06,54.19,54.20,53.48,53.69,4259400
12-Dec-06,54.08,54.13,53.55,53.90,3725000
11-Dec-06,53.90,54.16,53.75,53.98,3309800
8-Dec-06,53.80,54.12,53.60,54.00,4338200
7-Dec-06,54.10,54.60,53.83,53.99,5768500
6-Dec-06,54.43,54.92,54.10,54.86,4760500
5-Dec-06,54.23,54.79,53.69,54.70,5445100
4-Dec-06,53.59,54.06,53.30,54.03,4571500
1-Dec-06,53.45,53.72,53.24,53.40,4248000
30-Nov-06,53.94,54.21,53.45,53.59,4946800
29-Nov-06,53.94,54.34,53.75,54.04,3561100
28-Nov-06,53.38,54.27,53.38,53.72,4696000
27-Nov-06,53.81,54.06,53.39,53.58,4973300
24-Nov-06,53.90,54.29,53.78,53.90,1668000
22-Nov-06,53.85,54.25,53.80,54.03,3452500
21-Nov-06,54.16,54.38,53.65,54.05,5901500
20-Nov-06,54.25,54.59,53.93,54.38,4203900
17-Nov-06,54.56,55.00,54.30,54.55,6100500
16-Nov-06,53.70,54.80,53.70,54.56,5852800
15-Nov-06,54.00,54.58,53.81,54.37,6522900
14-Nov-06,54.23,54.23,53.36,53.85,7396500
13-Nov-06,53.87,54.44,53.61,54.06,5647000
10-Nov-06,54.87,55.09,53.94,54.14,5895200
9-Nov-06,56.31,56.35,54.59,54.87,11254400
8-Nov-06,56.45,56.71,55.72,56.48,5708300
7-Nov-06,56.75,57.48,56.52,56.98,5023700
6-Nov-06,56.08,56.71,55.89,56.67,3601000
3-Nov-06,56.20,56.44,55.95,56.08,3160700
2-Nov-06,56.00,56.64,55.95,56.37,5291100
1-Nov-06,56.25,56.34,55.64,55.99,5348600
31-Oct-06,56.59,56.66,55.94,56.01,3848900
30-Oct-06,56.91,57.12,56.30,56.32,3780800
27-Oct-06,56.90,57.35,56.59,57.03,4214200
26-Oct-06,57.22,57.75,56.81,57.29,3936400
25-Oct-06,57.74,57.90,57.27,57.49,3309300
24-Oct-06,57.55,57.83,57.38,57.78,3748300
23-Oct-06,56.87,58.05,56.75,57.91,3885100
20-Oct-06,57.46,57.52,56.52,57.24,4776100
19-Oct-06,58.22,58.22,56.82,57.49,6121600
18-Oct-06,57.74,58.48,57.68,58.25,4701600
17-Oct-06,57.46,58.00,57.02,57.55,3237000
16-Oct-06,57.37,57.83,57.25,57.66,2493300
13-Oct-06,57.23,57.45,57.02,57.37,2776700
12-Oct-06,57.06,57.75,57.00,57.55,4319400
11-Oct-06,57.08,57.24,56.73,57.06,3794300
10-Oct-06,57.39,57.56,56.82,57.25,2821800
9-Oct-06,57.39,57.73,57.28,57.51,1518000
6-Oct-06,57.46,57.68,57.08,57.56,3339200
5-Oct-06,57.60,57.90,57.19,57.76,3671900
4-Oct-06,56.50,57.94,56.50,57.60,6750500
3-Oct-06,56.80,57.24,56.56,56.69,2891200
2-Oct-06,56.81,57.14,56.51,56.79,3146600
29-Sep-06,56.00,57.25,55.78,57.00,6465300
28-Sep-06,57.31,57.35,56.73,57.32,2709900
27-Sep-06,56.62,57.20,56.59,57.01,3003700
26-Sep-06,56.70,57.06,56.20,56.85,4049900
25-Sep-06,56.10,56.83,55.73,56.58,4091600
22-Sep-06,55.70,55.99,55.40,55.93,2513100
21-Sep-06,56.20,56.61,55.81,55.97,4653100
20-Sep-06,55.40,56.05,55.08,55.75,4909800
19-Sep-06,55.30,55.30,54.70,55.02,3144800
18-Sep-06,54.78,55.36,54.78,55.15,4754500
15-Sep-06,55.24,55.49,54.47,54.80,18261400
14-Sep-06,54.80,55.18,54.80,54.99,4584300
13-Sep-06,55.39,55.63,54.90,55.21,4639700
12-Sep-06,54.85,55.56,54.71,55.15,7589300
11-Sep-06,54.90,55.22,53.97,54.26,7763300
8-Sep-06,50.20,55.52,54.65,55.26,2339300
7-Sep-06,55.38,55.44,54.72,54.87,2080100
6-Sep-06,55.50,55.53,54.96,55.38,2813900
5-Sep-06,56.22,56.24,55.43,55.72,2510300
1-Sep-06,56.00,56.19,55.58,56.00,3722400
31-Aug-06,56.15,56.19,55.93,55.93,2628600
30-Aug-06,56.11,56.31,55.79,56.06,3539300
29-Aug-06,55.97,56.40,55.90,56.11,3289200
28-Aug-06,54.99,56.25,54.99,55.84,2783800
25-Aug-06,54.92,55.10,54.65,55.06,2255000
24-Aug-06,55.05,55.52,54.95,55.24,2289400
23-Aug-06,55.18,55.46,54.77,55.05,2420500
22-Aug-06,54.75,54.98,54.40,54.98,2566300
21-Aug-06,55.00,55.29,54.66,54.88,2789800
18-Aug-06,55.10,55.16,53.93,55.03,6831300
17-Aug-06,55.36,56.09,55.24,55.95,2972600
16-Aug-06,55.73,55.87,55.44,55.56,2322500
15-Aug-06,55.12,55.48,54.81,55.29,2718200
14-Aug-06,54.56,54.89,54.31,54.42,2694600
11-Aug-06,54.82,54.87,53.83,54.36,2738300
10-Aug-06,55.08,55.51,54.75,55.29,3845800
9-Aug-06,55.44,56.06,54.85,55.00,3701100
