Date,Open,High,Low,Close,Volume
29-Dec-06,11.47,11.54,11.06,11.12,818511
28-Dec-06,11.62,11.74,11.32,11.41,547253
27-Dec-06,11.54,11.70,11.40,11.67,514578
26-Dec-06,11.52,11.61,11.43,11.52,381086
22-Dec-06,11.67,11.70,11.50,11.57,349133
21-Dec-06,11.85,11.95,11.60,11.72,537297
20-Dec-06,11.77,11.99,11.75,11.81,577096
19-Dec-06,12.00,12.06,11.60,11.77,1566528
18-Dec-06,12.06,12.36,12.00,12.15,1134807
15-Dec-06,12.17,12.35,12.01,12.04,1122050
14-Dec-06,12.21,12.49,12.06,12.08,1241650
13-Dec-06,12.34,12.36,12.10,12.21,1153226
12-Dec-06,12.40,12.50,12.06,12.30,1555502
11-Dec-06,12.52,12.64,12.02,12.49,3783413
8-Dec-06,11.14,12.30,10.87,12.13,5537132
7-Dec-06,11.50,11.55,11.07,11.10,972793
6-Dec-06,11.79,11.82,11.35,11.43,1258712
5-Dec-06,11.60,11.80,11.36,11.75,3866382
4-Dec-06,11.60,11.68,11.13,11.34,6771934
1-Dec-06,10.20,10.44,10.05,10.41,1636739
30-Nov-06,10.25,10.33,10.06,10.19,951426
29-Nov-06,10.14,10.50,10.13,10.27,2449812
28-Nov-06,10.29,10.30,9.78,10.04,2023572
27-Nov-06,10.85,10.92,10.06,10.20,1912286
24-Nov-06,10.54,10.75,10.50,10.73,365935
22-Nov-06,10.74,10.90,10.65,10.74,817570
21-Nov-06,10.94,11.03,10.60,10.76,1330181
20-Nov-06,10.88,11.15,10.70,10.98,2971452
17-Nov-06,10.27,10.85,10.25,10.82,4115777
16-Nov-06,10.89,10.98,10.47,10.50,2667833
15-Nov-06,11.09,11.19,10.53,10.84,7198394
14-Nov-06,12.49,12.49,11.20,11.32,6158923
13-Nov-06,13.54,14.00,12.26,12.43,24603018
10-Nov-06,10.28,10.49,9.96,10.38,1755012
9-Nov-06,10.19,10.64,9.95,10.19,4911326
8-Nov-06,9.04,9.25,8.90,9.20,844469
7-Nov-06,8.71,9.12,8.71,9.11,842561
6-Nov-06,8.20,8.76,8.20,8.73,637752
3-Nov-06,8.39,8.49,8.03,8.17,589750
2-Nov-06,8.16,8.43,8.09,8.18,578842
1-Nov-06,8.75,8.78,8.20,8.22,483714
31-Oct-06,8.29,8.80,8.14,8.58,724715
30-Oct-06,8.27,8.39,8.06,8.25,438056
27-Oct-06,8.52,8.62,8.31,8.34,273077
26-Oct-06,8.49,8.65,8.37,8.57,518654
25-Oct-06,8.45,8.67,8.26,8.41,465793
24-Oct-06,8.58,8.58,8.25,8.42,665743
23-Oct-06,8.86,8.90,8.52,8.56,596616
20-Oct-06,9.15,9.15,8.57,8.91,979990
19-Oct-06,8.68,9.21,8.56,9.13,2377263
18-Oct-06,8.42,8.67,8.32,8.67,1348002
17-Oct-06,8.52,8.70,8.28,8.35,893682
16-Oct-06,8.39,8.63,8.25,8.52,438388
13-Oct-06,8.61,8.63,8.31,8.36,394736
12-Oct-06,8.19,8.63,8.18,8.63,414085
11-Oct-06,8.45,8.49,8.11,8.18,429335
10-Oct-06,8.77,8.77,8.34,8.45,506286
9-Oct-06,8.00,8.77,8.00,8.72,1492699
6-Oct-06,7.74,8.10,7.72,8.02,969057
5-Oct-06,7.57,7.82,7.49,7.80,402158
4-Oct-06,7.14,7.58,7.10,7.54,594713
3-Oct-06,7.23,7.39,7.11,7.18,314837
2-Oct-06,7.18,7.44,7.06,7.23,255205
29-Sep-06,7.46,7.56,7.16,7.18,414045
28-Sep-06,7.46,7.52,7.32,7.49,228157
27-Sep-06,7.10,7.45,7.10,7.42,359999
26-Sep-06,7.30,7.35,7.10,7.12,203556
25-Sep-06,7.09,7.35,7.01,7.28,251047
22-Sep-06,7.26,7.27,6.98,7.11,211990
21-Sep-06,7.51,7.53,7.18,7.26,157967
20-Sep-06,7.50,7.56,7.42,7.46,248754
19-Sep-06,7.36,7.50,7.16,7.48,316360
18-Sep-06,7.28,7.43,7.22,7.38,217155
15-Sep-06,7.21,7.41,7.11,7.28,660931
14-Sep-06,7.32,7.36,7.06,7.16,255517
13-Sep-06,7.08,7.33,7.04,7.31,229670
