Date,Open,High,Low,Close,Volume
29-Dec-06,43.45,43.65,43.21,43.60,6618500
28-Dec-06,43.12,43.71,43.12,43.55,4202400
27-Dec-06,43.00,43.62,43.00,43.37,6432400
26-Dec-06,42.95,43.06,42.63,42.79,7932500
22-Dec-06,43.27,43.42,42.78,42.83,6796000
21-Dec-06,43.31,43.70,43.17,43.27,6986100
20-Dec-06,43.38,43.94,43.25,43.30,7397800
19-Dec-06,43.75,43.98,43.29,43.51,11452000
18-Dec-06,43.89,44.07,43.67,43.83,10750000
15-Dec-06,43.71,44.11,43.42,44.00,10268500
14-Dec-06,43.31,43.93,43.30,43.60,9694600
13-Dec-06,43.64,43.89,43.06,43.34,10721700
12-Dec-06,44.29,44.45,43.40,43.62,11414800
11-Dec-06,43.95,44.92,43.86,44.01,7718000
8-Dec-06,43.79,44.08,42.96,43.93,11327400
7-Dec-06,44.91,44.98,43.84,43.95,9852100
6-Dec-06,44.70,45.12,44.13,44.67,12757300
5-Dec-06,44.55,45.71,44.55,45.39,9506900
4-Dec-06,45.32,45.90,44.30,44.70,18620700
1-Dec-06,44.65,45.08,44.45,45.06,13562500
30-Nov-06,44.40,44.74,44.16,44.51,9376100
29-Nov-06,44.10,44.69,43.97,44.56,9379300
28-Nov-06,43.72,43.89,43.37,43.67,10398500
27-Nov-06,44.07,44.31,43.58,43.62,10150800
24-Nov-06,44.01,44.33,44.00,44.18,2736100
22-Nov-06,44.06,44.91,43.91,44.38,11849700
21-Nov-06,44.40,44.79,44.10,44.22,9215800
20-Nov-06,44.95,44.98,44.40,44.57,13047400
17-Nov-06,44.71,45.06,44.60,45.06,10068600
16-Nov-06,44.40,44.70,44.30,44.65,12566900
15-Nov-06,43.69,44.50,43.64,44.15,14109300
14-Nov-06,43.48,44.28,43.39,43.89,14957300
13-Nov-06,43.20,43.80,43.13,43.46,12111700
10-Nov-06,42.77,43.20,42.29,43.12,13336000
9-Nov-06,44.00,44.18,42.70,42.88,22594200
8-Nov-06,44.76,44.76,43.65,44.34,26378100
7-Nov-06,45.81,46.32,45.67,45.90,9809900
6-Nov-06,45.08,45.85,44.89,45.81,11944800
3-Nov-06,45.35,45.69,44.30,45.10,10079600
2-Nov-06,45.71,45.71,45.15,45.40,9559500
1-Nov-06,45.99,46.14,45.56,45.67,12082800
31-Oct-06,45.50,45.64,45.13,45.42,11471300
30-Oct-06,45.88,45.94,45.52,45.64,9306100
27-Oct-06,46.37,46.37,45.74,46.09,8087500
26-Oct-06,46.10,46.34,45.81,46.21,9276300
25-Oct-06,45.90,46.09,45.79,46.07,8451500
24-Oct-06,45.70,45.95,45.25,45.93,9530500
23-Oct-06,45.46,45.70,45.31,45.70,11899800
20-Oct-06,45.36,45.64,44.85,45.64,15592300
19-Oct-06,44.48,44.89,44.22,44.49,8178200
18-Oct-06,44.17,44.65,43.88,44.48,10075900
17-Oct-06,43.89,44.18,43.32,43.96,10138700
16-Oct-06,43.40,44.18,43.33,43.76,10061400
13-Oct-06,42.68,43.54,42.62,43.20,13522100
12-Oct-06,42.35,42.85,42.19,42.76,8560100
11-Oct-06,41.65,42.19,41.61,42.19,8596900
10-Oct-06,41.99,42.12,41.64,41.82,9227500
9-Oct-06,41.86,42.07,41.61,41.86,7340700
6-Oct-06,41.40,42.05,41.24,41.86,10228500
5-Oct-06,42.00,42.10,41.29,41.42,9893000
4-Oct-06,42.00,42.29,41.80,41.94,10913000
3-Oct-06,41.93,42.27,41.75,41.99,9301600
2-Oct-06,42.15,42.25,41.67,41.67,8287800
29-Sep-06,41.94,42.21,41.68,41.90,10305600
28-Sep-06,42.45,42.51,41.91,42.06,7452600
27-Sep-06,42.00,42.50,41.81,42.40,12554800
26-Sep-06,41.81,42.12,41.36,41.76,11834800
25-Sep-06,42.15,42.37,41.90,41.96,9523900
22-Sep-06,41.97,42.19,41.84,42.04,8957900
21-Sep-06,41.94,42.02,41.57,41.95,6317600
20-Sep-06,41.17,42.01,41.15,41.94,8863000
19-Sep-06,41.04,41.29,40.72,41.18,7238500
18-Sep-06,40.85,40.99,40.58,40.80,6439400
15-Sep-06,41.20,41.46,40.96,41.10,7705500
14-Sep-06,41.08,41.36,40.90,41.03,7245300
13-Sep-06,41.05,41.56,40.81,41.09,12342800
12-Sep-06,41.48,42.23,41.46,42.15,7679400
11-Sep-06,40.70,41.37,40.70,41.29,4974400
8-Sep-06,39.90,41.27,39.90,41.06,4895500
7-Sep-06,41.40,41.45,40.50,40.64,6916600
6-Sep-06,41.01,41.49,40.72,41.40,7115800
5-Sep-06,40.99,41.19,40.60,41.17,6395400
1-Sep-06,40.52,41.03,40.36,40.96,5661200
31-Aug-06,40.81,40.97,40.35,40.55,6197000
30-Aug-06,40.94,41.25,40.70,40.80,6953300
29-Aug-06,40.90,41.37,40.74,41.27,9790700
28-Aug-06,40.25,41.22,40.21,40.95,8354300
25-Aug-06,39.80,40.73,39.80,40.44,7904700
24-Aug-06,40.82,40.88,39.95,40.06,11736900
23-Aug-06,39.85,40.59,39.78,40.46,10663200
22-Aug-06,39.58,40.25,39.55,39.75,9739900
21-Aug-06,40.00,40.20,39.43,39.65,12099800
18-Aug-06,38.60,39.82,38.35,39.52,21806500
17-Aug-06,41.30,41.73,38.00,38.83,36538800
16-Aug-06,41.25,41.42,40.97,41.18,6813200
15-Aug-06,41.23,41.40,40.88,40.95,9482900
14-Aug-06,40.85,41.30,40.71,40.88,6715300
11-Aug-06,40.95,41.05,40.42,40.60,6623100
10-Aug-06,41.20,41.43,40.86,41.33,6668800
9-Aug-06,41.00,41.71,40.99,41.46,9384300
8-Aug-06,41.01,41.28,40.70,40.98,8235600
7-Aug-06,41.35,41.47,40.16,40.84,8524700
4-Aug-06,41.64,41.78,40.97,41.35,7641500
3-Aug-06,41.11,41.76,40.77,41.59,9872400
2-Aug-06,40.80,41.09,40.67,41.03,9891000
1-Aug-06,40.38,41.09,40.18,40.82,9694500
31-Jul-06,41.11,41.11,40.16,40.27,11907300
28-Jul-06,41.00,41.76,40.75,41.12,16303900
27-Jul-06,40.27,41.16,40.05,40.98,19480600
26-Jul-06,39.16,40.30,39.15,40.18,13341200
25-Jul-06,39.28,39.49,38.97,39.27,11647100
24-Jul-06,38.00,39.19,38.00,38.95,18703100
21-Jul-06,37.39,37.57,37.19,37.36,9089900
20-Jul-06,37.09,37.43,37.05,37.30,6174000
19-Jul-06,36.85,37.63,36.55,37.32,14709600
18-Jul-06,36.37,36.94,36.27,36.69,7474000
17-Jul-06,36.15,36.50,35.89,36.37,6869200
14-Jul-06,36.94,37.06,35.76,36.15,10357000
13-Jul-06,36.50,37.05,35.00,36.94,20811700
12-Jul-06,37.18,37.39,36.47,36.70,7399300
11-Jul-06,37.00,37.34,36.54,37.27,9165300
10-Jul-06,37.00,37.29,36.82,36.82,8438700
7-Jul-06,36.70,37.00,36.34,36.97,9966200
6-Jul-06,36.70,36.95,36.50,36.66,9549100
5-Jul-06,36.64,36.91,36.51,36.69,8416400
3-Jul-06,36.90,36.93,36.46,36.62,6101900
30-Jun-06,36.07,36.84,36.01,36.43,12705000
29-Jun-06,35.18,36.00,35.15,35.89,10240300
28-Jun-06,34.99,35.35,34.92,35.10,8261200
27-Jun-06,34.90,34.98,34.61,34.71,6148000
26-Jun-06,35.10,35.46,34.70,35.02,7648100
23-Jun-06,35.04,35.07,34.33,34.94,6900800
22-Jun-06,35.18,35.65,35.05,35.25,8503300
21-Jun-06,34.92,35.45,34.89,35.27,8516000
20-Jun-06,34.62,35.02,34.50,34.92,9210200
19-Jun-06,34.49,34.77,34.40,34.46,7762100
16-Jun-06,34.40,34.75,34.09,34.41,9454100
15-Jun-06,33.56,34.43,33.46,34.33,9085000
14-Jun-06,33.56,33.74,33.12,33.49,7089900
13-Jun-06,33.61,34.07,33.16,33.66,10697900
12-Jun-06,34.06,34.13,33.36,33.37,6514900
9-Jun-06,34.00,34.15,33.76,33.81,7473900
8-Jun-06,33.92,34.54,33.46,33.97,14114100
7-Jun-06,34.08,34.51,33.94,33.96,8783000
6-Jun-06,33.70,33.95,33.40,33.90,8246700
5-Jun-06,33.85,34.03,33.41,33.47,5184900
2-Jun-06,33.65,34.24,33.50,33.95,6646000
1-Jun-06,33.51,33.82,33.36,33.80,12489500
31-May-06,33.01,33.34,32.75,33.29,12087400
30-May-06,34.31,34.63,33.10,33.14,16681700
26-May-06,34.48,35.03,34.47,34.56,9399400
25-May-06,34.00,34.44,34.00,34.39,7099800
24-May-06,34.25,34.63,33.89,33.94,11005300
23-May-06,34.36,34.60,34.01,34.44,11451300
22-May-06,34.32,34.61,34.30,34.41,9899700
19-May-06,35.25,35.25,34.13,34.42,14138300
18-May-06,34.54,35.34,34.38,35.13,15465000
17-May-06,35.00,35.51,34.18,34.34,13284300
16-May-06,34.85,35.40,34.80,35.12,8910200
15-May-06,34.53,35.28,34.29,34.69,10281800
12-May-06,34.48,34.83,34.18,34.29,8280600
11-May-06,34.61,34.89,34.41,34.51,7251000
10-May-06,34.44,35.40,34.30,34.67,7690400
9-May-06,34.45,34.94,34.33,34.43,8464600
8-May-06,34.77,34.79,34.25,34.45,6341800
5-May-06,34.44,34.55,34.04,34.48,6940800
4-May-06,34.08,34.40,34.08,34.31,6209100
3-May-06,34.50,34.68,34.06,34.15,7613900
2-May-06,34.24,34.56,33.99,34.48,6214000
1-May-06,34.67,34.85,34.05,34.24,6954100
28-Apr-06,34.42,34.70,34.18,34.42,7011900
27-Apr-06,34.00,34.94,34.00,34.60,6131600
26-Apr-06,34.30,34.80,34.21,34.32,6556200
25-Apr-06,34.29,34.39,33.90,34.24,5493300
24-Apr-06,34.32,34.74,34.12,34.37,6544700
21-Apr-06,35.19,35.19,34.25,34.74,11371500
20-Apr-06,34.62,35.26,34.52,35.00,8274200
19-Apr-06,34.45,34.78,34.22,34.40,6288500
18-Apr-06,33.73,34.49,33.72,34.48,9051200
17-Apr-06,33.90,33.94,33.55,33.80,5328400
13-Apr-06,33.65,34.00,33.65,33.94,5426800
12-Apr-06,33.90,34.03,33.62,33.85,7732700
11-Apr-06,34.42,35.10,33.79,34.06,13395300
10-Apr-06,34.41,34.79,34.35,34.42,7546400
7-Apr-06,34.50,34.79,34.30,34.47,11038500
6-Apr-06,34.62,35.04,34.26,34.84,20453500
5-Apr-06,35.38,36.09,35.36,35.99,8348100
4-Apr-06,35.75,35.90,35.41,35.48,8769300
3-Apr-06,35.47,35.61,35.31,35.41,10013100
31-Mar-06,35.77,35.92,35.03,35.23,8554700
30-Mar-06,35.72,36.14,35.22,35.61,6848900
29-Mar-06,35.73,36.08,35.56,35.80,5308900
28-Mar-06,36.04,36.15,35.51,35.65,6371900
27-Mar-06,35.91,36.25,35.80,36.02,5821900
24-Mar-06,36.12,36.32,36.00,36.05,5073700
23-Mar-06,36.10,36.50,35.91,36.20,5502100
22-Mar-06,35.55,36.32,35.55,36.23,6084700
21-Mar-06,35.86,36.18,35.64,35.89,7385800
20-Mar-06,35.54,35.93,35.42,35.66,5625100
17-Mar-06,35.47,35.69,35.35,35.64,8742300
16-Mar-06,35.00,35.51,34.96,35.28,6125800
15-Mar-06,35.00,35.27,34.88,35.16,4618200
14-Mar-06,35.10,36.26,34.95,35.10,5218800
13-Mar-06,34.78,35.35,34.75,35.20,8146800
10-Mar-06,34.75,34.96,34.50,34.76,5911600
9-Mar-06,34.57,34.65,34.35,34.51,5105000
8-Mar-06,34.60,34.85,34.34,34.68,5175000
7-Mar-06,34.96,35.00,34.68,34.90,5513700
6-Mar-06,35.11,35.35,34.80,34.96,7984600
3-Mar-06,34.94,35.42,34.75,35.19,6103700
2-Mar-06,34.75,35.26,34.71,35.12,9047400
1-Mar-06,35.05,35.36,34.71,34.96,7628900
28-Feb-06,35.09,35.29,34.84,34.86,8451200
27-Feb-06,35.02,35.59,35.02,35.36,7767900
24-Feb-06,35.54,35.54,35.00,35.10,6467300
23-Feb-06,35.55,35.70,35.29,35.41,10198700
22-Feb-06,35.81,36.25,35.50,35.92,11962300
21-Feb-06,36.52,36.65,35.47,35.59,9763800
17-Feb-06,35.98,36.06,34.85,36.05,11708000
16-Feb-06,35.00,36.08,34.98,35.98,12009400
15-Feb-06,34.58,35.30,34.58,35.29,12413400
14-Feb-06,34.51,34.72,34.35,34.67,6618900
13-Feb-06,34.32,34.69,34.13,34.31,5723100
10-Feb-06,33.70,34.40,33.66,34.31,7224200
9-Feb-06,34.48,34.70,34.30,34.34,8485100
8-Feb-06,33.90,34.48,33.64,34.29,9172500
7-Feb-06,33.70,34.40,33.56,33.69,6698900
6-Feb-06,34.24,34.29,33.74,33.83,6068700
3-Feb-06,34.50,34.64,33.82,34.39,9983100
2-Feb-06,34.55,34.73,33.70,33.82,10456300
1-Feb-06,34.27,34.74,34.20,34.66,8207200
31-Jan-06,34.87,34.88,34.39,34.50,14794700
30-Jan-06,34.41,34.65,34.06,34.46,9371500
27-Jan-06,33.80,34.85,33.71,34.70,10444500
26-Jan-06,33.34,34.05,33.32,33.95,11073900
25-Jan-06,32.70,33.24,32.55,33.19,7950700
24-Jan-06,32.73,33.01,32.61,32.78,7707400
23-Jan-06,33.14,33.21,32.76,32.83,7718800
20-Jan-06,33.32,33.43,33.01,33.25,10102400
19-Jan-06,33.36,33.63,33.22,33.32,9303300
18-Jan-06,33.12,33.42,32.95,33.03,9117200
17-Jan-06,33.11,33.65,33.01,33.21,9875800
13-Jan-06,33.53,33.72,33.35,33.47,7044200
12-Jan-06,33.56,33.58,33.35,33.48,7083500
11-Jan-06,33.49,33.59,33.31,33.46,9515100
10-Jan-06,33.45,33.45,33.13,33.33,8887000
9-Jan-06,33.22,33.66,32.75,33.66,14958400
6-Jan-06,33.09,33.36,32.87,33.12,9302700
5-Jan-06,32.92,33.39,32.50,33.18,15349900
4-Jan-06,32.75,33.20,32.75,33.13,12530200
3-Jan-06,32.52,32.87,31.81,32.75,11430600
30-Dec-05,32.35,32.35,31.76,31.81,7933000
29-Dec-05,32.08,32.54,32.08,32.35,7604200
28-Dec-05,32.04,32.19,31.80,31.91,6111700
27-Dec-05,32.10,32.24,31.81,31.94,6299700
23-Dec-05,31.61,32.24,31.61,32.20,4798100
22-Dec-05,31.89,32.04,31.70,32.01,7442100
21-Dec-05,32.14,32.14,31.83,31.93,7164700
20-Dec-05,32.11,32.35,31.81,31.99,15618200
19-Dec-05,30.95,32.30,30.95,32.25,37633600
16-Dec-05,29.60,30.09,29.60,30.01,15480400
15-Dec-05,29.70,30.20,29.50,29.77,17030300
14-Dec-05,28.90,29.76,28.88,29.20,15957000
13-Dec-05,28.53,29.15,28.50,28.90,12902900
12-Dec-05,28.75,29.60,27.99,28.41,24159200
9-Dec-05,29.02,29.30,28.76,29.13,17625900
8-Dec-05,30.20,30.39,27.84,29.68,11625400
7-Dec-05,30.03,30.51,29.92,30.29,8961900
6-Dec-05,30.11,30.42,30.05,30.13,8436100
5-Dec-05,29.77,30.13,29.54,30.11,8511600
2-Dec-05,29.63,30.00,28.89,29.97,6345000
1-Dec-05,29.69,29.87,29.35,29.68,8687800
30-Nov-05,29.74,29.95,29.37,29.40,8622700
29-Nov-05,29.60,30.31,29.60,30.02,14954200
28-Nov-05,31.01,31.01,29.29,29.56,23514300
25-Nov-05,30.80,31.01,30.66,30.98,3324800
23-Nov-05,30.60,30.87,30.41,30.81,5256200
22-Nov-05,30.48,30.64,30.27,30.51,6359000
21-Nov-05,30.41,30.54,30.18,30.47,7697100
18-Nov-05,29.92,30.45,29.65,30.42,13535600
17-Nov-05,29.99,30.02,29.52,29.61,7431400
16-Nov-05,30.11,30.25,29.59,29.78,7859200
15-Nov-05,30.20,30.36,29.94,30.02,10018400
14-Nov-05,30.00,30.25,29.97,30.23,8385200
11-Nov-05,30.08,30.08,29.58,30.03,8560800
10-Nov-05,29.70,30.10,29.59,30.03,8240100
9-Nov-05,29.15,29.72,29.15,29.59,6504900
8-Nov-05,29.48,29.83,29.34,29.37,6738100
7-Nov-05,29.22,29.48,29.00,29.45,5708200
4-Nov-05,29.40,29.50,29.01,29.22,9749100
3-Nov-05,28.45,30.45,28.39,29.48,38077800
2-Nov-05,28.24,28.46,27.80,28.41,9627900
1-Nov-05,28.45,28.64,28.20,28.52,11181100
31-Oct-05,27.73,28.26,27.65,28.22,12859800
28-Oct-05,27.38,27.57,27.20,27.54,10193600
27-Oct-05,27.01,27.19,26.92,26.92,6419400
26-Oct-05,26.92,27.25,26.91,27.19,6802500
25-Oct-05,26.75,27.11,26.72,27.02,7122800
24-Oct-05,26.94,27.04,26.13,27.00,11675300
21-Oct-05,26.92,27.05,26.13,26.18,9299600
20-Oct-05,27.00,27.39,26.62,26.92,9299600
19-Oct-05,27.12,27.15,26.78,26.92,8379800
18-Oct-05,26.89,27.34,26.85,27.05,10202100
17-Oct-05,27.10,27.32,26.67,27.08,5487300
14-Oct-05,26.83,27.20,26.59,27.16,8326800
13-Oct-05,26.80,27.19,26.71,26.81,7433200
12-Oct-05,27.24,27.24,26.74,26.78,8275000
11-Oct-05,27.10,27.14,26.58,26.75,10038700
10-Oct-05,26.50,26.97,26.21,26.90,12402000
7-Oct-05,27.35,27.53,25.50,25.85,13331600
6-Oct-05,27.80,27.84,26.64,26.83,19590500
5-Oct-05,27.15,27.28,26.88,26.89,7717200
4-Oct-05,27.65,27.65,27.10,27.20,9368200
3-Oct-05,27.42,27.65,27.25,27.25,11000100
30-Sep-05,27.25,27.43,27.13,27.21,11722900
29-Sep-05,27.59,27.60,26.97,27.32,8957000
28-Sep-05,27.24,27.83,27.24,27.52,7724000
27-Sep-05,27.90,27.93,27.41,27.45,7401200
26-Sep-05,28.00,28.04,27.55,27.83,7626700
23-Sep-05,27.66,27.75,27.41,27.62,5930400
22-Sep-05,27.68,27.80,27.47,27.60,7693100
21-Sep-05,28.18,28.18,27.68,27.80,6799700
20-Sep-05,28.55,28.64,28.08,28.18,7927600
19-Sep-05,28.68,28.75,28.43,28.65,5598000
16-Sep-05,29.00,29.00,28.50,28.90,11673800
15-Sep-05,28.70,28.90,28.58,28.76,5078600
14-Sep-05,28.80,29.05,28.63,28.70,7041900
13-Sep-05,28.81,29.08,28.65,28.67,9616600
12-Sep-05,29.14,29.24,28.79,29.16,5679200
9-Sep-05,29.01,29.33,28.78,29.31,8400600
8-Sep-05,29.43,29.46,29.01,29.19,6622900
7-Sep-05,28.87,29.26,28.86,29.25,7567400
6-Sep-05,28.84,29.08,28.75,28.99,11885800
2-Sep-05,28.66,28.99,28.49,28.83,10972700
1-Sep-05,28.32,28.54,28.23,28.41,8852500
31-Aug-05,28.00,28.32,27.81,28.23,12175600
30-Aug-05,28.11,28.29,28.00,28.29,10130600
29-Aug-05,27.63,28.30,27.46,28.12,11276900
26-Aug-05,27.72,27.79,27.52,27.66,8124500
25-Aug-05,27.85,27.92,27.69,27.77,7982200
24-Aug-05,27.55,28.08,27.55,27.83,14877500
23-Aug-05,27.78,27.88,27.52,27.58,15852300
22-Aug-05,27.43,27.99,27.00,27.89,46257700
19-Aug-05,30.39,30.59,27.08,28.06,37799500
18-Aug-05,30.47,30.74,30.35,30.41,7884400
17-Aug-05,30.30,30.65,30.30,30.56,6818700
16-Aug-05,30.70,30.75,30.30,30.30,6273900
15-Aug-05,30.60,30.78,30.43,30.66,5085200
12-Aug-05,31.01,31.05,30.48,30.55,6941100
11-Aug-05,31.18,31.41,30.91,31.09,5373500
10-Aug-05,31.18,31.46,31.03,31.17,6388500
9-Aug-05,30.69,31.00,30.58,30.98,7283800
8-Aug-05,30.85,30.85,30.39,30.45,5298100
5-Aug-05,30.39,30.92,30.36,30.66,6961000
4-Aug-05,30.65,30.78,30.32,30.34,5972100
3-Aug-05,30.69,30.93,30.51,30.82,5854900
2-Aug-05,30.66,30.78,30.35,30.69,6931000
1-Aug-05,31.24,31.24,30.60,30.68,6987600
29-Jul-05,31.02,31.34,30.96,31.06,6406900
28-Jul-05,31.43,31.69,31.23,31.29,5729500
27-Jul-05,30.63,31.40,30.62,31.22,5596400
26-Jul-05,30.78,31.12,30.61,30.69,6157000
25-Jul-05,31.05,31.09,30.62,30.74,7014600
22-Jul-05,31.38,31.38,30.88,31.14,6014400
21-Jul-05,31.45,31.68,30.82,31.38,8929000
20-Jul-05,31.83,32.13,31.45,31.85,6456500
19-Jul-05,31.92,32.10,31.53,31.95,5784300
18-Jul-05,31.91,32.34,31.77,31.88,6101100
15-Jul-05,31.92,32.30,31.77,31.91,6823900
14-Jul-05,31.75,32.02,31.66,31.91,6759000
13-Jul-05,31.75,31.75,31.41,31.62,5437600
12-Jul-05,31.07,31.70,31.02,31.60,8070400
11-Jul-05,30.70,31.27,30.62,31.24,8057100
8-Jul-05,30.05,31.04,30.05,31.00,11289100
7-Jul-05,30.30,30.67,29.90,29.98,12331600
6-Jul-05,31.25,31.27,30.50,30.56,5969400
5-Jul-05,31.11,31.20,30.66,31.10,5818100
1-Jul-05,30.80,31.35,30.80,31.06,7917600
30-Jun-05,31.40,31.40,30.60,30.80,8419500
29-Jun-05,31.00,31.04,30.70,30.83,6653200
28-Jun-05,30.78,31.12,30.60,30.97,7480300
27-Jun-05,30.40,30.88,30.40,30.50,7236800
24-Jun-05,31.00,31.22,30.12,30.55,9892700
23-Jun-05,31.91,31.91,31.22,31.25,9601000
22-Jun-05,32.24,32.24,31.91,31.98,6505700
21-Jun-05,32.20,32.28,31.88,31.99,5608900
20-Jun-05,32.00,32.29,31.92,32.11,5944600
17-Jun-05,32.50,32.50,31.86,32.22,11001800
16-Jun-05,32.00,32.17,31.89,32.00,5959900
15-Jun-05,31.74,32.00,31.53,31.90,6827800
14-Jun-05,31.55,31.85,31.46,31.78,5040500
13-Jun-05,31.02,31.67,31.01,31.55,6089600
10-Jun-05,31.30,31.49,31.08,31.39,7251300
9-Jun-05,31.50,31.63,31.25,31.35,7373600
8-Jun-05,32.17,32.17,31.58,31.63,7631300
7-Jun-05,32.04,32.39,31.97,32.08,5308100
6-Jun-05,32.06,32.11,31.91,32.03,4535900
3-Jun-05,32.23,32.23,31.90,32.09,5647700
2-Jun-05,32.17,32.25,32.00,32.23,5131200
1-Jun-05,32.20,32.40,31.91,32.19,7430500
31-May-05,32.45,32.55,32.28,32.44,12222600
27-May-05,32.40,32.58,32.31,32.45,5098200
26-May-05,32.69,32.69,32.22,32.35,8310300
25-May-05,32.75,32.88,32.35,32.54,6706800
24-May-05,32.86,33.25,32.74,32.74,7854600
23-May-05,32.50,32.96,32.48,32.63,5644900
20-May-05,32.89,32.95,32.62,32.62,8743700
19-May-05,32.75,32.86,32.55,32.79,6227000
18-May-05,33.23,33.24,32.64,32.95,10767400
17-May-05,32.75,33.08,32.59,33.01,12330800
16-May-05,33.57,33.59,33.30,33.45,6142900
13-May-05,33.75,33.75,33.31,33.46,7594100
12-May-05,33.55,33.80,33.40,33.64,5635200
11-May-05,33.88,33.94,33.40,33.50,6446100
10-May-05,34.10,34.13,33.65,33.88,6090800
