Date,Open,High,Low,Close,Volume
29-Dec-06,53.00,53.10,52.17,52.53,1583500
28-Dec-06,53.00,53.49,52.36,53.08,2836600
27-Dec-06,52.10,53.07,51.60,52.91,3004200
26-Dec-06,51.55,52.37,51.34,52.16,1252400
22-Dec-06,51.50,51.66,50.81,51.37,1629700
21-Dec-06,51.05,52.28,51.05,51.65,2746800
20-Dec-06,50.90,52.28,50.80,51.90,3509000
19-Dec-06,50.60,51.33,50.10,51.18,2673400
18-Dec-06,49.24,51.32,49.24,50.47,3137100
15-Dec-06,49.25,51.18,49.20,50.94,7069700
14-Dec-06,47.92,48.82,47.65,48.53,2016200
13-Dec-06,48.47,48.93,47.97,48.15,1951700
12-Dec-06,47.75,48.41,47.58,48.10,2595500
11-Dec-06,48.08,48.20,47.58,47.80,2225700
8-Dec-06,48.28,48.47,47.68,48.08,2212700
7-Dec-06,48.20,48.52,47.74,48.51,2048600
6-Dec-06,47.69,48.02,47.46,48.02,2145800
5-Dec-06,48.44,48.64,47.72,48.23,2519400
4-Dec-06,48.00,48.77,47.55,48.57,2369300
1-Dec-06,48.97,48.98,47.12,47.72,3271200
30-Nov-06,47.95,48.93,47.78,48.07,3880300
29-Nov-06,47.15,47.50,46.83,47.32,2378700
28-Nov-06,46.95,48.00,46.75,47.19,2634500
27-Nov-06,48.45,48.62,46.87,47.01,3729200
24-Nov-06,48.97,49.19,48.30,48.70,1309900
22-Nov-06,47.50,49.44,47.40,49.33,4866800
21-Nov-06,46.10,47.27,46.00,47.27,4259900
20-Nov-06,46.59,46.63,45.93,46.27,4542200
17-Nov-06,47.32,47.33,46.33,46.80,3361100
16-Nov-06,46.65,47.97,46.25,47.39,3734800
15-Nov-06,46.46,47.12,46.33,46.88,2721900
14-Nov-06,47.00,47.50,46.19,46.83,3618900
13-Nov-06,45.90,46.91,45.80,46.86,3387700
10-Nov-06,45.50,45.76,44.91,45.53,2308600
9-Nov-06,44.74,46.52,44.61,45.68,5290500
8-Nov-06,44.89,45.12,44.16,45.05,3003300
7-Nov-06,44.19,44.99,44.00,44.82,2448100
6-Nov-06,44.25,44.56,44.14,44.34,2380300
3-Nov-06,44.50,44.95,43.85,44.15,1681100
2-Nov-06,43.93,44.60,43.91,44.17,4011800
