Date,Open,High,Low,Close,Volume
29-Dec-06,57.41,57.62,57.38,57.44,921700
28-Dec-06,57.87,57.92,57.54,57.73,1567700
27-Dec-06,57.60,58.05,57.53,57.73,910900
26-Dec-06,57.85,57.95,57.52,57.58,560700
22-Dec-06,57.71,57.83,57.34,57.69,714100
21-Dec-06,57.78,58.07,57.60,57.86,1186100
20-Dec-06,58.45,58.54,58.10,58.30,934900
19-Dec-06,58.55,58.96,58.40,58.73,1376100
18-Dec-06,58.86,58.90,58.31,58.42,993900
15-Dec-06,59.15,59.15,58.47,58.60,967600
14-Dec-06,58.30,58.78,58.24,58.65,1449200
13-Dec-06,58.26,58.33,58.01,58.08,765200
12-Dec-06,58.25,58.47,58.14,58.34,1465600
11-Dec-06,57.86,58.11,57.71,58.02,871500
8-Dec-06,57.79,58.12,57.66,57.69,1143400
7-Dec-06,58.37,58.45,57.88,58.03,1920000
6-Dec-06,57.74,58.05,57.64,57.69,845800
5-Dec-06,57.90,58.09,57.80,57.89,1711600
4-Dec-06,57.05,57.66,57.00,57.59,3331900
1-Dec-06,58.42,58.48,57.63,57.83,2218200
30-Nov-06,58.56,58.62,58.24,58.41,766600
29-Nov-06,58.05,58.42,58.00,58.31,2192900
28-Nov-06,58.04,58.04,57.40,57.56,2668800
27-Nov-06,58.91,59.00,58.48,58.79,2355700
24-Nov-06,58.77,58.96,58.66,58.74,496500
22-Nov-06,58.64,58.80,58.53,58.65,957300
21-Nov-06,58.17,58.34,58.04,58.30,1182200
20-Nov-06,58.12,58.50,58.01,58.16,764200
17-Nov-06,57.83,58.41,57.81,58.29,1403400
16-Nov-06,58.18,58.30,57.92,58.22,1872200
15-Nov-06,57.82,58.53,57.82,58.26,2022200
14-Nov-06,58.05,58.11,57.38,57.80,4758900
13-Nov-06,58.20,58.81,58.08,58.30,3000800
10-Nov-06,59.40,59.63,58.80,59.36,1787900
9-Nov-06,60.12,60.24,59.00,59.26,1781300
8-Nov-06,60.70,60.76,60.29,60.43,2042200
7-Nov-06,61.22,61.60,61.18,61.24,939100
6-Nov-06,61.09,61.31,60.95,61.23,655700
3-Nov-06,60.89,61.06,60.79,60.82,981200
2-Nov-06,60.59,61.03,60.58,60.92,983100
1-Nov-06,60.91,60.99,60.52,60.57,941800
31-Oct-06,60.81,61.03,60.61,60.73,1245200
30-Oct-06,60.36,60.68,60.36,60.40,1020900
27-Oct-06,60.30,60.99,60.19,60.61,1974500
26-Oct-06,60.88,60.89,60.40,60.78,1360300
25-Oct-06,60.64,60.90,60.50,60.74,1566100
24-Oct-06,60.23,60.40,60.12,60.32,1146900
23-Oct-06,60.25,60.67,60.12,60.50,1310500
20-Oct-06,60.36,60.68,60.30,60.62,1945300
19-Oct-06,59.07,60.15,59.06,60.09,3278200
18-Oct-06,57.85,58.18,57.59,57.87,1016500
17-Oct-06,57.46,57.73,57.39,57.47,877600
16-Oct-06,57.50,57.79,57.43,57.54,624800
13-Oct-06,57.27,57.30,56.96,57.09,958500
12-Oct-06,57.35,57.76,57.35,57.74,1065000
11-Oct-06,57.70,58.04,57.61,57.78,545500
10-Oct-06,57.92,57.97,57.60,57.74,470400
9-Oct-06,57.84,58.13,57.78,58.01,472000
6-Oct-06,57.74,57.97,57.52,57.89,532500
5-Oct-06,58.09,58.32,57.97,58.30,538900
4-Oct-06,58.08,58.55,58.02,58.53,977000
3-Oct-06,58.46,58.82,58.32,58.59,459500
2-Oct-06,58.85,59.14,58.50,58.58,863200
29-Sep-06,58.33,58.70,58.14,58.44,987500
28-Sep-06,58.79,58.98,58.58,58.93,1145800
27-Sep-06,58.23,58.64,58.10,58.57,967600
26-Sep-06,58.17,58.48,57.98,58.41,978900
25-Sep-06,58.18,58.30,57.85,58.10,1083200
22-Sep-06,58.26,58.49,58.03,58.39,1113100
21-Sep-06,58.00,58.17,57.74,58.01,1163300
20-Sep-06,57.60,58.29,57.60,58.01,1491100
19-Sep-06,57.00,57.16,56.89,57.15,750500
