Date,Open,High,Low,Close,Volume
29-Dec-06,26.08,26.17,25.82,25.90,27754400
28-Dec-06,26.02,26.20,25.85,26.07,24014100
27-Dec-06,25.95,26.23,25.82,26.15,24682000
26-Dec-06,25.80,25.99,25.80,25.93,17824700
22-Dec-06,26.00,26.12,25.91,25.97,20416200
21-Dec-06,26.24,26.34,26.00,26.07,33846400
20-Dec-06,26.16,26.55,26.13,26.21,46109700
19-Dec-06,25.85,26.24,25.75,26.20,48695900
18-Dec-06,25.65,25.95,25.57,25.83,38304000
15-Dec-06,25.56,25.80,25.54,25.64,49870200
14-Dec-06,25.49,25.67,25.40,25.56,36918700
13-Dec-06,25.22,25.45,25.19,25.39,40458100
12-Dec-06,25.05,25.23,24.96,25.17,42305000
11-Dec-06,25.27,25.60,24.96,25.15,56135500
8-Dec-06,24.87,25.19,24.80,25.17,43709600
7-Dec-06,24.98,24.98,24.72,24.86,50887800
6-Dec-06,24.90,24.99,24.65,24.80,49225200
5-Dec-06,24.99,25.13,24.58,24.82,118600600
4-Dec-06,23.65,27.80,23.50,24.90,289340500
1-Dec-06,27.61,27.86,27.50,27.86,40178100
30-Nov-06,27.40,27.88,27.36,27.49,59352900
29-Nov-06,27.29,27.46,26.90,27.07,42728200
28-Nov-06,27.00,27.08,26.82,27.05,31604600
27-Nov-06,26.89,27.17,26.77,26.97,39010400
24-Nov-06,26.91,27.05,26.86,26.89,11222600
22-Nov-06,27.00,27.29,26.95,27.10,19438600
21-Nov-06,26.97,27.15,26.87,26.95,28768900
20-Nov-06,27.15,27.30,27.02,27.05,34239900
17-Nov-06,26.70,27.24,26.69,27.21,47911300
16-Nov-06,26.43,26.95,26.43,26.76,33037600
15-Nov-06,26.30,26.75,26.17,26.53,39719900
14-Nov-06,26.05,26.36,25.67,26.25,42344700
13-Nov-06,25.61,26.02,25.57,25.89,41162300
10-Nov-06,25.82,26.07,25.40,25.71,47054300
9-Nov-06,26.41,26.57,25.00,25.84,83070400
8-Nov-06,26.69,26.73,26.43,26.62,53064300
7-Nov-06,27.00,27.47,27.00,27.29,45424500
6-Nov-06,26.57,27.09,26.55,26.99,32654100
3-Nov-06,26.68,26.76,26.46,26.55,27289100
2-Nov-06,26.51,26.70,26.43,26.69,28864900
1-Nov-06,26.70,26.88,26.52,26.54,39548300
31-Oct-06,26.94,27.06,26.38,26.65,80651300
30-Oct-06,27.12,27.40,27.11,27.20,33810000
27-Oct-06,27.16,27.49,27.14,27.22,39664300
26-Oct-06,27.28,27.45,27.07,27.28,41087800
25-Oct-06,27.17,27.45,27.06,27.43,36126600
24-Oct-06,27.25,27.32,27.00,27.26,50907700
23-Oct-06,27.55,27.78,27.49,27.73,31466200
20-Oct-06,27.76,27.76,27.00,27.68,48662600
19-Oct-06,28.42,28.50,27.60,27.68,50349300
18-Oct-06,27.87,28.22,27.73,28.10,31744300
17-Oct-06,27.46,27.88,27.44,27.72,24995400
16-Oct-06,27.60,27.74,27.38,27.66,19974600
13-Oct-06,27.54,27.66,27.37,27.59,24523400
12-Oct-06,27.29,27.74,27.27,27.65,26631800
11-Oct-06,27.43,27.50,27.20,27.29,32409000
10-Oct-06,27.50,27.60,27.27,27.56,29919300
9-Oct-06,27.78,27.83,27.46,27.65,20825200
6-Oct-06,27.87,27.95,27.59,27.90,27168600
5-Oct-06,28.23,28.25,27.75,27.99,28959500
4-Oct-06,28.41,28.43,28.03,28.33,27527100
3-Oct-06,28.29,28.59,28.25,28.41,20261600
2-Oct-06,28.20,28.60,28.20,28.31,22101300
29-Sep-06,28.39,28.58,28.25,28.36,23966700
28-Sep-06,28.34,28.44,28.13,28.30,20644700
27-Sep-06,28.25,28.50,28.21,28.41,23895300
26-Sep-06,28.27,28.41,28.22,28.40,25749800
25-Sep-06,28.29,28.49,28.12,28.35,25477600
22-Sep-06,28.21,28.24,28.03,28.16,19384700
21-Sep-06,28.47,28.49,28.10,28.21,27219900
20-Sep-06,28.16,28.51,28.16,28.47,27286200
19-Sep-06,28.15,28.21,27.80,28.20,21323400
18-Sep-06,27.98,28.22,27.95,28.16,21189300
15-Sep-06,28.23,28.33,28.01,28.04,27578300
14-Sep-06,28.06,28.23,27.81,28.20,20670000
13-Sep-06,28.13,28.33,28.09,28.19,22070100
12-Sep-06,27.97,28.33,27.91,28.25,37623200
11-Sep-06,27.50,27.89,27.50,27.88,20385300
8-Sep-06,27.40,27.75,27.40,27.59,18008800
7-Sep-06,27.65,27.70,27.32,27.45,26310300
6-Sep-06,27.89,28.00,27.68,27.72,29920700
5-Sep-06,27.87,27.89,27.64,27.84,20173400
1-Sep-06,27.79,27.97,27.58,27.96,23507400
31-Aug-06,27.73,27.83,27.51,27.56,23038200
30-Aug-06,27.60,27.88,27.60,27.73,25794400
29-Aug-06,27.49,27.75,27.49,27.60,21228700
28-Aug-06,27.15,27.75,27.10,27.54,28447100
25-Aug-06,27.12,27.35,27.00,27.23,16386400
24-Aug-06,27.20,27.35,27.01,27.24,22243700
23-Aug-06,26.88,27.15,26.86,27.14,21203800
22-Aug-06,26.64,27.09,26.64,26.98,24773300
21-Aug-06,26.78,27.37,26.59,26.64,24153900
18-Aug-06,26.99,27.08,26.66,27.05,26542100
17-Aug-06,26.77,27.12,26.70,27.00,30338200
16-Aug-06,26.38,26.81,26.35,26.75,29441900
15-Aug-06,26.17,26.49,26.13,26.40,21984700
14-Aug-06,25.88,26.29,25.85,26.08,22391200
11-Aug-06,25.83,25.89,25.53,25.82,16296300
10-Aug-06,25.95,26.04,25.61,25.97,23569700
9-Aug-06,26.13,26.30,26.01,26.15,34623900
8-Aug-06,26.04,26.25,25.97,26.16,35013100
7-Aug-06,25.96,26.11,25.94,26.05,27551200
4-Aug-06,25.88,26.03,25.73,25.98,31669500
3-Aug-06,25.58,25.71,25.42,25.51,28400800
2-Aug-06,26.21,26.46,25.32,25.61,60864900
1-Aug-06,26.04,26.29,25.92,25.99,33453600
31-Jul-06,26.45,26.66,25.91,25.99,51996400
28-Jul-06,25.70,26.30,25.67,26.11,46959700
27-Jul-06,25.20,25.67,25.13,25.65,35937000
26-Jul-06,24.90,25.26,24.88,25.11,28435900
25-Jul-06,24.70,25.13,24.70,24.96,29784800
24-Jul-06,24.01,24.94,23.81,24.79,47421600
21-Jul-06,23.80,24.04,23.69,23.83,37126300
20-Jul-06,23.64,23.86,23.50,23.71,33487300
19-Jul-06,22.69,23.39,22.65,23.30,33619900
18-Jul-06,22.56,22.76,22.33,22.58,26775400
17-Jul-06,22.40,22.66,22.28,22.41,23591800
14-Jul-06,22.87,22.87,22.16,22.42,28384700
13-Jul-06,23.15,23.18,22.71,22.87,25557400
12-Jul-06,23.41,23.48,23.12,23.18,16845400
11-Jul-06,23.77,23.83,23.22,23.49,27555500
10-Jul-06,23.85,23.96,23.76,23.87,14216300
7-Jul-06,23.80,23.90,23.60,23.68,17473900
6-Jul-06,23.77,23.93,23.60,23.68,20205600
5-Jul-06,23.53,23.69,23.43,23.68,30038700
3-Jul-06,23.54,23.72,23.40,23.58,15778800
30-Jun-06,23.30,23.80,23.28,23.47,31426000
29-Jun-06,23.00,23.30,22.88,23.24,26130500
28-Jun-06,22.93,23.01,22.82,22.90,19779900
27-Jun-06,23.03,23.11,22.71,22.80,21514100
26-Jun-06,23.45,23.45,22.94,23.01,31248900
23-Jun-06,22.70,22.80,22.51,22.64,22250800
22-Jun-06,22.75,22.99,22.63,22.65,23301000
21-Jun-06,22.98,23.21,22.64,22.69,39343400
20-Jun-06,23.17,23.20,22.84,22.95,47688800
19-Jun-06,23.50,23.60,22.89,23.06,27816600
