Date,Open,High,Low,Close,Volume
29-Dec-06,27.85,28.00,27.80,27.82,184100
28-Dec-06,28.08,28.10,27.89,27.95,227800
27-Dec-06,27.71,27.98,27.71,27.94,326100
26-Dec-06,27.45,27.68,27.45,27.60,119000
22-Dec-06,27.76,27.86,27.41,27.51,249400
21-Dec-06,27.59,27.74,27.47,27.55,447100
20-Dec-06,27.96,28.02,27.64,27.71,603600
19-Dec-06,27.71,27.84,27.68,27.83,534800
18-Dec-06,27.56,27.65,27.37,27.41,245100
15-Dec-06,27.53,27.56,27.38,27.44,325200
14-Dec-06,27.51,27.59,27.42,27.51,355300
13-Dec-06,27.40,27.50,27.34,27.46,441900
12-Dec-06,27.08,27.27,27.08,27.21,265200
11-Dec-06,26.90,27.00,26.86,26.95,235400
8-Dec-06,26.80,26.98,26.72,26.82,269300
7-Dec-06,27.05,27.15,26.91,26.96,211000
6-Dec-06,26.83,26.88,26.75,26.81,270000
5-Dec-06,26.95,27.06,26.90,27.03,306100
4-Dec-06,26.87,26.99,26.64,26.89,377600
1-Dec-06,26.84,26.93,26.64,26.79,371000
30-Nov-06,26.91,26.99,26.85,26.93,215300
29-Nov-06,27.02,27.03,26.77,26.87,412500
28-Nov-06,26.60,26.77,26.53,26.65,319600
27-Nov-06,26.60,26.69,26.34,26.45,352100
24-Nov-06,26.66,26.77,26.65,26.70,142700
22-Nov-06,26.39,26.62,26.29,26.57,255700
21-Nov-06,26.35,26.45,26.26,26.43,512800
20-Nov-06,26.33,26.35,26.18,26.31,413600
17-Nov-06,26.45,26.77,26.38,26.72,424700
16-Nov-06,26.70,26.76,26.62,26.69,263100
15-Nov-06,26.60,26.83,26.55,26.74,378600
14-Nov-06,26.70,26.70,26.37,26.60,619700
13-Nov-06,26.69,26.80,26.67,26.77,288900
10-Nov-06,26.95,27.00,26.80,26.93,374700
9-Nov-06,26.70,26.79,26.62,26.63,450100
8-Nov-06,26.36,26.55,26.34,26.51,414100
