Date,Open,High,Low,Close,Volume
29-Dec-06,20.50,20.73,20.30,20.35,11601300
28-Dec-06,20.56,20.75,20.52,20.57,8027100
27-Dec-06,20.71,20.84,20.50,20.70,9919800
26-Dec-06,20.89,20.89,20.45,20.60,7191100
22-Dec-06,21.00,21.20,20.68,20.77,10637100
21-Dec-06,21.97,22.00,20.91,20.95,22530500
20-Dec-06,21.61,21.99,21.61,21.85,11301200
19-Dec-06,21.83,22.01,21.60,21.64,19488800
18-Dec-06,22.05,22.21,21.72,21.97,24243300
15-Dec-06,22.95,23.00,22.02,22.12,34437300
14-Dec-06,20.22,22.80,20.22,22.71,76162000
13-Dec-06,20.58,20.74,19.90,20.17,28033700
12-Dec-06,20.62,20.79,20.37,20.47,16158400
11-Dec-06,21.02,21.09,20.61,20.69,15536100
8-Dec-06,21.01,21.15,20.69,20.93,19635500
7-Dec-06,21.53,21.73,21.03,21.05,17671900
6-Dec-06,21.18,21.59,21.07,21.49,17059000
5-Dec-06,21.04,21.49,21.04,21.34,16966400
4-Dec-06,21.00,21.33,20.65,21.04,17974700
1-Dec-06,21.30,21.53,20.41,20.69,32284000
30-Nov-06,21.53,21.94,21.12,21.57,23814900
29-Nov-06,22.15,22.19,21.33,21.41,21226000
28-Nov-06,21.85,22.09,21.61,21.93,15159700
27-Nov-06,21.72,22.33,21.62,21.83,24461100
24-Nov-06,21.58,21.97,21.54,21.80,5403400
22-Nov-06,21.55,21.85,21.30,21.77,15605000
21-Nov-06,21.41,21.65,21.05,21.24,20001600
20-Nov-06,21.41,21.56,21.21,21.44,16080000
17-Nov-06,21.51,21.70,21.31,21.45,14741600
16-Nov-06,21.90,21.95,21.38,21.74,17888100
15-Nov-06,21.47,21.92,21.35,21.71,25128000
14-Nov-06,21.05,21.41,20.79,21.34,23653600
13-Nov-06,21.06,21.37,21.01,21.20,17102900
10-Nov-06,20.83,21.16,20.82,21.07,12331400
9-Nov-06,21.54,21.60,20.80,20.89,21304800
8-Nov-06,21.38,21.50,20.84,21.25,20671700
7-Nov-06,21.40,21.98,21.40,21.56,18721900
6-Nov-06,21.12,21.48,21.06,21.39,17926000
3-Nov-06,20.95,21.09,20.81,20.88,17721000
2-Nov-06,20.62,21.06,20.56,20.85,16835100
1-Nov-06,21.24,21.34,20.67,20.73,23512000
31-Oct-06,21.32,21.57,20.95,21.27,17723100
30-Oct-06,20.96,21.50,20.82,21.32,19950000
27-Oct-06,21.35,21.79,20.74,20.86,28109600
26-Oct-06,21.25,21.68,21.00,21.50,33039900
25-Oct-06,20.35,20.93,20.35,20.83,30143900
24-Oct-06,20.48,20.64,20.28,20.32,37607200
23-Oct-06,20.22,20.87,20.15,20.24,34265000
20-Oct-06,21.18,21.18,20.00,20.12,51602200
19-Oct-06,21.99,22.00,20.91,21.01,96558900
18-Oct-06,24.80,25.16,24.08,24.23,43880400
17-Oct-06,24.82,24.90,24.07,24.48,22551200
16-Oct-06,25.35,25.69,25.14,25.38,17732600
13-Oct-06,24.57,25.40,24.57,25.23,19368900
12-Oct-06,24.45,24.72,24.04,24.69,19521200
11-Oct-06,23.08,24.56,22.87,24.27,29329700
10-Oct-06,23.21,23.73,22.87,23.14,27699800
9-Oct-06,24.25,24.62,22.95,23.00,34092900
6-Oct-06,24.66,24.80,23.96,24.01,17301700
5-Oct-06,24.80,25.24,24.60,25.11,17309100
4-Oct-06,24.10,25.10,23.95,25.03,17870000
3-Oct-06,24.50,24.51,23.79,24.13,19087600
2-Oct-06,24.67,25.05,24.40,24.81,17819000
29-Sep-06,25.33,25.50,24.78,24.85,12732700
28-Sep-06,25.06,25.30,24.66,25.07,21532400
27-Sep-06,25.85,26.51,25.27,25.32,26584900
26-Sep-06,26.60,26.81,25.65,25.99,25131500
25-Sep-06,26.40,27.17,25.74,26.77,22639300
22-Sep-06,26.80,26.83,25.64,26.21,24661000
21-Sep-06,27.58,27.90,26.84,26.98,16597500
20-Sep-06,27.22,27.56,27.05,27.38,13194800
19-Sep-06,27.25,27.32,26.41,26.93,14328400
18-Sep-06,26.58,27.51,26.52,27.32,16690200
15-Sep-06,27.41,27.65,26.52,26.53,18200700
14-Sep-06,26.67,27.37,26.64,27.02,14122100
13-Sep-06,26.58,27.42,26.39,27.15,23295800
12-Sep-06,26.07,26.67,25.80,26.48,23312900
11-Sep-06,25.48,26.07,25.36,25.66,18259600
8-Sep-06,24.76,25.82,24.65,25.80,24543000
7-Sep-06,23.89,25.01,23.72,24.59,31465300
6-Sep-06,25.85,26.14,24.51,24.53,21067500
5-Sep-06,25.20,26.23,24.84,26.22,22194900
1-Sep-06,25.25,25.25,24.51,24.66,11209500
31-Aug-06,25.21,25.25,24.68,24.99,11158300
30-Aug-06,24.54,25.16,24.45,25.03,14566700
29-Aug-06,23.95,24.44,23.70,24.40,17464300
28-Aug-06,24.54,24.84,23.85,23.92,17501200
25-Aug-06,24.69,24.96,24.32,24.56,11914700
24-Aug-06,25.20,25.31,24.61,24.76,15497400
23-Aug-06,25.19,25.72,24.75,24.90,23528200
22-Aug-06,23.90,25.22,23.50,24.88,39580100
21-Aug-06,23.67,23.71,23.29,23.40,16748600
18-Aug-06,23.49,24.16,22.52,23.93,36285000
17-Aug-06,23.16,24.76,23.11,24.20,49278900
16-Aug-06,21.25,22.68,20.89,22.57,24683500
15-Aug-06,20.35,20.93,20.18,20.87,16428000
14-Aug-06,19.93,20.34,19.59,19.87,14513700
11-Aug-06,19.93,20.00,19.37,19.78,12436700
10-Aug-06,19.77,20.19,19.60,20.01,10919200
9-Aug-06,20.50,20.59,19.75,19.85,15281700
8-Aug-06,20.28,20.69,19.95,20.12,15636200
7-Aug-06,20.28,20.85,20.10,20.22,13926800
4-Aug-06,20.88,21.20,20.12,20.47,20485500
3-Aug-06,19.46,20.74,19.44,20.45,20865900
2-Aug-06,19.26,20.03,19.26,19.60,17211500
1-Aug-06,19.65,19.73,18.84,19.10,22481800
31-Jul-06,19.28,19.65,19.05,19.39,17258400
28-Jul-06,18.00,19.10,17.88,19.10,20621800
27-Jul-06,18.30,18.62,18.01,18.06,19522900
26-Jul-06,17.88,18.50,17.57,18.25,19998700
25-Jul-06,17.48,18.05,17.18,17.80,27140900
24-Jul-06,17.62,17.73,16.90,17.39,57349300
21-Jul-06,19.78,19.80,18.23,18.26,41369300
20-Jul-06,21.90,22.10,21.16,21.65,31079200
19-Jul-06,20.78,21.66,20.38,21.46,18321100
18-Jul-06,20.71,21.19,20.08,20.55,16588100
17-Jul-06,21.35,21.78,20.79,20.92,15542600
14-Jul-06,22.08,22.30,21.23,21.60,13544500
13-Jul-06,22.73,23.24,22.10,22.13,18827600
12-Jul-06,22.90,23.08,22.45,22.84,17808500
