Date,Open,High,Low,Close,Volume
29-Dec-06,33.10,33.10,32.81,32.91,141800
28-Dec-06,33.43,33.50,33.15,33.15,159500
27-Dec-06,33.03,33.58,33.03,33.41,131500
26-Dec-06,32.72,33.00,32.65,32.90,115800
22-Dec-06,33.20,33.25,32.53,32.70,251500
21-Dec-06,33.20,33.38,33.00,33.19,242800
20-Dec-06,33.33,33.54,33.05,33.11,473900
19-Dec-06,33.21,33.30,32.85,33.29,372500
18-Dec-06,33.05,33.25,32.95,33.20,820700
15-Dec-06,33.00,33.20,32.97,33.10,363000
14-Dec-06,32.64,33.00,32.64,32.80,146200
13-Dec-06,32.77,32.83,32.42,32.55,142400
12-Dec-06,32.91,33.29,32.39,32.61,258600
11-Dec-06,32.30,34.15,32.30,32.89,750000
8-Dec-06,32.30,32.50,32.01,32.28,516100
7-Dec-06,32.37,32.51,32.22,32.30,257000
6-Dec-06,32.15,32.66,32.11,32.40,649300
5-Dec-06,31.89,32.43,31.83,32.24,353900
4-Dec-06,31.28,32.06,31.28,31.89,313700
1-Dec-06,31.19,31.30,31.05,31.20,475500
30-Nov-06,31.33,31.47,31.03,31.20,199700
29-Nov-06,31.38,31.87,31.19,31.32,134400
28-Nov-06,31.29,31.42,30.95,31.33,282100
27-Nov-06,31.52,31.60,31.32,31.32,260100
24-Nov-06,31.80,31.88,31.66,31.75,67700
22-Nov-06,32.02,32.09,31.85,31.90,163200
21-Nov-06,32.31,32.39,31.91,31.99,144100
20-Nov-06,32.30,32.45,32.17,32.31,135000
17-Nov-06,32.15,32.29,32.00,32.25,282200
16-Nov-06,32.25,32.46,32.00,32.15,224900
15-Nov-06,32.15,32.28,31.96,32.16,193400
14-Nov-06,32.11,32.26,31.96,32.15,141200
13-Nov-06,32.05,32.45,31.95,32.05,211700
10-Nov-06,31.99,32.13,31.89,32.00,174300
9-Nov-06,32.36,32.42,31.96,32.00,205400
8-Nov-06,32.05,32.40,32.05,32.32,183700
7-Nov-06,32.37,32.63,32.03,32.15,249200
6-Nov-06,32.27,32.53,32.01,32.37,279500
3-Nov-06,32.56,32.82,32.02,32.27,249600
2-Nov-06,33.06,33.10,32.35,32.46,411900
1-Nov-06,33.68,33.86,33.00,33.09,567500
31-Oct-06,34.10,34.10,33.40,33.61,554900
30-Oct-06,33.72,34.21,33.65,34.10,691400
27-Oct-06,32.92,33.81,32.75,33.77,489400
26-Oct-06,33.35,33.50,33.18,33.35,150500
25-Oct-06,33.35,33.53,32.99,33.32,163500
24-Oct-06,33.24,33.83,33.09,33.24,156400
23-Oct-06,33.21,33.73,33.16,33.25,92100
20-Oct-06,33.85,33.89,33.09,33.21,187400
19-Oct-06,33.56,33.94,33.36,33.66,156000
18-Oct-06,33.70,34.00,33.27,33.51,167300
17-Oct-06,33.90,33.91,33.45,33.65,168100
16-Oct-06,34.15,34.68,34.00,34.07,257600
13-Oct-06,33.53,33.66,33.40,33.61,161300
12-Oct-06,33.18,33.56,33.13,33.48,406500
11-Oct-06,32.85,33.20,32.85,33.02,501200
10-Oct-06,32.73,32.92,32.61,32.90,284600
9-Oct-06,32.30,32.70,32.19,32.58,176800
6-Oct-06,32.02,32.41,31.90,32.30,248900
5-Oct-06,31.79,32.12,31.70,32.07,157000
4-Oct-06,31.22,31.95,31.22,31.79,144400
3-Oct-06,31.67,31.74,31.27,31.27,228400
2-Oct-06,31.72,32.24,31.47,31.67,269700
29-Sep-06,31.95,32.19,31.79,31.82,423300
28-Sep-06,32.27,32.50,31.66,31.88,286100
27-Sep-06,32.39,32.40,32.10,32.27,260200
26-Sep-06,31.90,32.42,31.90,32.39,225800
25-Sep-06,32.58,32.64,31.60,31.90,351200
22-Sep-06,32.70,33.00,32.22,32.63,289000
21-Sep-06,33.30,33.36,32.37,32.74,305000
20-Sep-06,33.16,33.56,33.00,33.29,320600
19-Sep-06,33.61,33.61,32.82,33.04,432800
18-Sep-06,34.13,34.15,33.55,33.64,282000
15-Sep-06,34.86,34.87,34.07,34.13,383200
14-Sep-06,35.03,35.04,34.15,34.61,479900
13-Sep-06,35.19,35.35,35.01,35.16,91700
12-Sep-06,34.50,35.19,34.50,35.09,150700
11-Sep-06,35.05,35.14,34.02,34.49,228200
8-Sep-06,35.12,35.29,34.93,35.17,93800
7-Sep-06,35.30,35.49,35.00,35.13,239300
6-Sep-06,35.55,35.77,35.25,35.44,502400
5-Sep-06,35.35,35.98,35.27,35.79,244900
1-Sep-06,34.97,35.39,34.88,35.20,364900
31-Aug-06,34.59,34.96,34.50,34.92,179900
30-Aug-06,34.34,34.92,34.30,34.55,142300
29-Aug-06,34.09,34.29,33.69,34.27,105800
28-Aug-06,33.52,34.14,33.52,33.99,54200
25-Aug-06,33.80,34.37,33.47,33.72,93200
24-Aug-06,34.63,34.68,33.50,33.93,211900
23-Aug-06,34.75,35.03,34.15,34.51,141100
22-Aug-06,34.70,34.97,34.50,34.69,89600
21-Aug-06,34.80,35.00,34.30,34.60,196900
18-Aug-06,35.19,35.19,34.80,35.13,91000
17-Aug-06,34.94,35.30,34.90,35.19,212300
16-Aug-06,34.79,34.96,34.50,34.91,195100
