Date,Open,High,Low,Close,Volume
29-Dec-06,13.89,14.14,13.87,14.03,355700
28-Dec-06,13.89,13.93,13.85,13.88,370200
27-Dec-06,13.94,13.96,13.87,13.95,561000
26-Dec-06,13.92,13.99,13.86,13.93,318000
22-Dec-06,13.91,13.96,13.78,13.92,802800
21-Dec-06,13.74,13.83,13.71,13.76,1195000
20-Dec-06,13.72,13.84,13.62,13.66,415300
19-Dec-06,13.53,13.66,13.51,13.56,1337200
18-Dec-06,13.70,13.73,13.44,13.50,813900
15-Dec-06,13.69,13.71,13.58,13.59,690200
14-Dec-06,13.72,13.79,13.66,13.71,695100
13-Dec-06,13.67,13.82,13.62,13.79,1492400
12-Dec-06,13.49,13.58,13.45,13.53,1230800
11-Dec-06,13.43,13.55,13.41,13.47,409400
8-Dec-06,13.44,13.55,13.41,13.41,650900
7-Dec-06,13.45,13.57,13.40,13.42,1123000
6-Dec-06,13.15,13.34,13.11,13.29,667700
5-Dec-06,13.19,13.27,13.13,13.24,863800
4-Dec-06,12.95,13.22,12.95,13.17,566500
1-Dec-06,13.04,13.08,12.75,12.95,1281100
30-Nov-06,12.89,13.05,12.80,12.93,1928200
29-Nov-06,12.62,12.82,12.59,12.80,1020500
28-Nov-06,12.58,12.70,12.55,12.69,550000
27-Nov-06,12.76,12.82,12.57,12.59,727600
24-Nov-06,12.69,12.99,12.69,12.89,421000
22-Nov-06,12.83,12.96,12.82,12.93,942500
21-Nov-06,12.55,12.71,12.55,12.68,870600
20-Nov-06,12.60,12.69,12.57,12.65,1021300
17-Nov-06,12.39,12.70,12.38,12.67,1967800
16-Nov-06,12.37,12.43,12.13,12.37,1783200
15-Nov-06,12.57,12.67,12.43,12.58,1309300
14-Nov-06,12.11,12.38,12.03,12.38,1825400
13-Nov-06,11.88,11.93,11.83,11.92,852300
10-Nov-06,11.97,12.07,11.89,12.06,1044400
9-Nov-06,12.11,12.13,12.02,12.03,468300
8-Nov-06,12.09,12.26,12.04,12.21,504300
7-Nov-06,12.23,12.37,12.21,12.25,879200
6-Nov-06,11.87,12.11,11.86,12.09,529500
3-Nov-06,11.83,11.85,11.72,11.80,425400
2-Nov-06,11.85,11.90,11.81,11.88,404100
1-Nov-06,12.10,12.10,11.80,11.85,399900
31-Oct-06,12.10,12.21,12.10,12.16,597800
30-Oct-06,12.03,12.15,12.02,12.11,698000
27-Oct-06,12.18,12.18,11.94,11.97,478200
26-Oct-06,12.15,12.24,12.05,12.24,637400
25-Oct-06,11.98,12.12,11.89,12.09,2144800
24-Oct-06,12.06,12.19,12.06,12.17,594700
23-Oct-06,12.09,12.24,12.05,12.19,1784700
20-Oct-06,12.31,12.31,12.12,12.17,2217400
19-Oct-06,12.44,12.53,12.34,12.35,1103500
18-Oct-06,12.61,12.65,12.50,12.51,1155200
17-Oct-06,12.77,12.79,12.60,12.62,2082400
16-Oct-06,12.73,12.93,12.70,12.92,1101800
13-Oct-06,12.42,12.66,12.41,12.63,1060000
12-Oct-06,12.19,12.48,12.18,12.46,1231100
11-Oct-06,12.01,12.27,11.96,12.16,965000
10-Oct-06,12.06,12.10,12.01,12.08,717400
9-Oct-06,12.05,12.14,12.02,12.11,964000
6-Oct-06,12.01,12.13,11.95,12.07,614400
5-Oct-06,12.14,12.14,12.00,12.09,482900
4-Oct-06,12.11,12.22,12.00,12.18,1294100
3-Oct-06,11.63,11.86,11.57,11.80,1739900
2-Oct-06,11.71,11.92,11.64,11.77,1067100
29-Sep-06,11.92,11.94,11.82,11.83,1972000
28-Sep-06,11.68,11.75,11.43,11.69,2737500
27-Sep-06,12.28,12.37,12.19,12.22,501200
26-Sep-06,12.31,12.44,12.30,12.42,988600
25-Sep-06,12.18,12.27,12.05,12.25,1050100
22-Sep-06,12.29,12.32,12.13,12.14,521500
21-Sep-06,12.46,12.46,12.24,12.29,729000
20-Sep-06,12.34,12.39,12.24,12.31,1743300
19-Sep-06,12.35,12.35,12.02,12.19,669400
18-Sep-06,12.21,12.49,12.21,12.43,1368800
15-Sep-06,12.38,12.38,12.24,12.27,2166300
14-Sep-06,12.22,12.41,12.20,12.33,1908400
13-Sep-06,12.27,12.36,12.23,12.34,850600
12-Sep-06,12.28,12.51,12.22,12.49,860100
11-Sep-06,11.78,11.96,11.72,11.93,1910500
8-Sep-06,11.62,11.71,11.56,11.67,313000
7-Sep-06,11.41,11.69,11.40,11.57,540400
6-Sep-06,11.68,11.72,11.57,11.57,605200
5-Sep-06,11.66,11.81,11.65,11.78,270000
1-Sep-06,11.76,11.80,11.66,11.72,419000
31-Aug-06,11.85,11.86,11.75,11.83,559100
30-Aug-06,11.90,11.96,11.81,11.94,491600
29-Aug-06,11.80,11.88,11.66,11.86,350700
28-Aug-06,11.48,11.63,11.48,11.59,263500
25-Aug-06,11.20,11.39,11.20,11.33,577300
24-Aug-06,11.25,11.27,11.12,11.21,253500
23-Aug-06,11.19,11.27,11.07,11.17,624000
22-Aug-06,11.22,11.29,11.12,11.18,341100
21-Aug-06,11.32,11.32,11.16,11.23,354100
18-Aug-06,11.43,11.43,11.27,11.35,838700
17-Aug-06,11.40,11.59,11.39,11.42,653100
16-Aug-06,11.32,11.56,11.30,11.52,601700
15-Aug-06,11.03,11.25,11.03,11.20,502400
14-Aug-06,10.72,10.85,10.67,10.70,405500
11-Aug-06,10.63,10.70,10.58,10.65,975800
10-Aug-06,10.73,10.81,10.70,10.77,570400
9-Aug-06,10.79,10.94,10.68,10.74,1595300
8-Aug-06,10.64,10.71,10.45,10.53,937700
7-Aug-06,10.87,10.93,10.80,10.83,704800
4-Aug-06,11.12,11.16,10.89,10.92,583400
3-Aug-06,10.84,11.04,10.79,10.96,602500
2-Aug-06,10.81,10.94,10.80,10.87,433400
1-Aug-06,10.66,10.72,10.56,10.71,898900
31-Jul-06,10.71,10.78,10.69,10.76,1344000
28-Jul-06,10.37,10.62,10.37,10.58,977100
27-Jul-06,10.48,10.54,10.33,10.37,621300
26-Jul-06,10.56,10.63,10.39,10.56,1118600
25-Jul-06,10.72,10.76,10.60,10.71,905100
24-Jul-06,10.64,10.79,10.64,10.72,525600
21-Jul-06,10.71,10.72,10.44,10.44,868100
20-Jul-06,11.18,11.37,11.05,11.14,467100
19-Jul-06,10.77,11.14,10.73,11.04,437000
18-Jul-06,10.82,10.84,10.52,10.71,800400
17-Jul-06,10.57,10.61,10.52,10.55,177600
14-Jul-06,10.66,10.72,10.59,10.71,496700
13-Jul-06,10.88,10.97,10.69,10.76,687200
12-Jul-06,11.14,11.19,11.02,11.07,818700
11-Jul-06,11.20,11.35,11.11,11.33,608300
10-Jul-06,11.35,11.45,11.30,11.34,530600
7-Jul-06,11.25,11.42,11.22,11.27,676000
6-Jul-06,11.16,11.25,11.13,11.16,202500
5-Jul-06,11.26,11.27,11.04,11.08,281300
3-Jul-06,11.26,11.33,11.23,11.30,155000
30-Jun-06,11.23,11.23,11.08,11.16,283300
29-Jun-06,10.96,11.35,10.93,11.33,369200
28-Jun-06,10.85,10.87,10.69,10.81,193900
27-Jun-06,11.16,11.19,10.81,10.87,411300
26-Jun-06,11.00,11.11,10.99,11.10,248000
