Date,Open,High,Low,Close,Volume
29-Dec-06,37.74,37.87,37.53,37.58,258500
28-Dec-06,37.68,37.79,37.50,37.65,633900
27-Dec-06,37.21,37.68,37.20,37.64,1131200
26-Dec-06,36.83,37.15,36.83,37.07,226900
22-Dec-06,37.28,37.32,36.83,36.97,225200
21-Dec-06,37.41,37.51,37.11,37.28,563500
20-Dec-06,37.63,37.80,37.36,37.37,619300
19-Dec-06,37.00,37.30,36.96,37.18,711200
18-Dec-06,36.72,36.73,36.33,36.39,273300
15-Dec-06,37.35,37.40,36.85,36.97,315400
14-Dec-06,37.06,37.27,37.00,37.12,336100
13-Dec-06,36.65,36.85,36.61,36.85,461300
12-Dec-06,36.59,36.69,36.40,36.61,370700
11-Dec-06,36.91,37.00,36.84,36.88,216300
8-Dec-06,37.21,37.31,36.81,36.88,381800
7-Dec-06,37.27,37.45,36.97,36.98,455100
6-Dec-06,36.90,37.08,36.75,36.81,371800
5-Dec-06,36.93,37.13,36.81,37.11,1427200
4-Dec-06,37.11,37.33,36.99,37.23,414500
1-Dec-06,37.84,37.94,37.14,37.42,750400
30-Nov-06,37.38,37.47,37.08,37.32,396000
29-Nov-06,37.31,37.39,37.05,37.26,338700
28-Nov-06,37.22,37.39,36.89,37.38,408800
27-Nov-06,37.56,37.59,36.88,36.94,468800
24-Nov-06,37.40,37.74,37.38,37.63,104300
22-Nov-06,37.86,37.96,37.78,37.94,496700
21-Nov-06,37.53,37.67,37.51,37.66,1313200
20-Nov-06,37.48,37.54,37.27,37.41,662000
17-Nov-06,37.18,37.48,37.18,37.38,539000
16-Nov-06,37.54,37.57,37.41,37.56,837300
15-Nov-06,37.46,37.72,37.35,37.53,1547900
14-Nov-06,36.50,36.76,36.19,36.72,705000
13-Nov-06,36.28,36.38,36.23,36.33,461700
10-Nov-06,36.33,36.39,36.22,36.35,202200
9-Nov-06,36.29,36.33,36.01,36.08,716300
8-Nov-06,35.74,36.11,35.74,36.08,383100
7-Nov-06,35.98,36.22,35.92,35.97,467200
6-Nov-06,35.31,35.64,35.31,35.60,542400
3-Nov-06,35.00,35.10,34.84,35.00,641000
2-Nov-06,34.62,34.83,34.52,34.67,229800
