Date,Open,High,Low,Close,Volume
29-Dec-06,47.40,47.50,47.36,47.44,7200
28-Dec-06,47.50,47.64,47.26,47.32,74800
27-Dec-06,47.44,47.76,47.39,47.60,67800
26-Dec-06,47.18,47.18,46.80,47.12,18800
22-Dec-06,47.07,47.30,46.88,47.18,38800
21-Dec-06,46.72,47.12,46.68,46.94,23200
20-Dec-06,46.68,47.06,46.66,46.72,31400
19-Dec-06,45.94,46.38,45.80,46.15,14600
18-Dec-06,46.32,46.58,46.16,46.16,22200
15-Dec-06,46.31,46.57,46.30,46.32,10600
14-Dec-06,46.14,46.57,46.14,46.50,17000
13-Dec-06,45.92,45.94,45.73,45.88,14800
12-Dec-06,45.90,46.06,45.73,46.00,22400
11-Dec-06,45.64,46.05,45.55,45.90,43200
8-Dec-06,45.62,45.82,45.38,45.52,28800
7-Dec-06,45.70,45.77,45.40,45.40,23800
6-Dec-06,44.86,45.02,44.70,44.80,35800
5-Dec-06,45.00,45.34,45.00,45.24,24400
4-Dec-06,44.34,44.87,44.34,44.80,20800
1-Dec-06,44.75,44.94,44.58,44.84,33400
30-Nov-06,44.78,45.10,44.70,44.90,23800
29-Nov-06,44.40,44.57,44.28,44.48,47000
28-Nov-06,43.60,43.75,43.31,43.63,22600
27-Nov-06,43.76,43.90,43.30,43.42,24200
24-Nov-06,43.80,43.92,43.72,43.80,12200
22-Nov-06,44.16,44.26,44.04,44.16,23200
21-Nov-06,44.00,44.28,43.98,44.28,32000
20-Nov-06,44.18,44.52,44.18,44.50,20200
17-Nov-06,44.35,44.76,44.29,44.76,19800
16-Nov-06,44.79,44.92,44.58,44.82,31200
15-Nov-06,45.28,45.72,45.21,45.59,51600
14-Nov-06,45.68,46.12,45.38,46.11,28200
13-Nov-06,44.94,45.04,44.76,45.02,105800
10-Nov-06,44.94,45.06,44.90,44.90,20000
9-Nov-06,44.79,45.08,44.70,44.70,34000
8-Nov-06,44.68,45.08,44.62,44.97,33400
7-Nov-06,44.88,45.12,44.76,44.76,88600
6-Nov-06,43.92,44.76,43.92,44.72,44400
3-Nov-06,44.12,44.22,43.88,44.04,14400
2-Nov-06,44.10,44.16,44.02,44.12,42000
1-Nov-06,44.83,44.83,44.12,44.18,23800
31-Oct-06,45.00,45.05,44.59,44.90,52800
30-Oct-06,44.75,45.05,44.42,45.05,35200
27-Oct-06,45.24,45.24,44.64,44.72,41400
26-Oct-06,45.18,45.30,45.02,45.30,18000
25-Oct-06,44.62,45.18,44.62,45.02,26600
24-Oct-06,45.05,45.17,44.83,45.00,36600
23-Oct-06,44.47,45.19,44.47,45.16,35600
20-Oct-06,44.94,44.94,44.50,44.92,25400
19-Oct-06,44.92,45.20,44.92,45.06,34400
18-Oct-06,45.10,45.12,44.80,44.87,25600
17-Oct-06,44.88,45.04,44.56,44.98,31800
16-Oct-06,45.05,45.44,45.05,45.36,34600
13-Oct-06,44.75,45.08,44.75,45.05,26800
12-Oct-06,44.54,45.22,44.52,45.14,29000
11-Oct-06,44.25,44.88,44.25,44.62,37800
10-Oct-06,44.89,45.20,44.88,45.08,35200
9-Oct-06,44.45,44.50,44.28,44.41,24400
6-Oct-06,44.82,44.84,44.44,44.56,38400
5-Oct-06,44.85,45.38,44.85,45.30,103200
4-Oct-06,43.59,44.44,43.59,44.34,54600
3-Oct-06,43.61,43.74,43.26,43.41,39800
2-Oct-06,43.62,44.00,43.59,43.74,44200
29-Sep-06,43.11,43.11,42.73,42.77,28800
28-Sep-06,43.09,43.42,42.88,43.24,110200
27-Sep-06,43.35,43.42,42.92,43.35,108800
26-Sep-06,42.80,42.94,42.58,42.81,19000
25-Sep-06,42.90,43.34,42.74,43.28,24400
22-Sep-06,42.62,42.62,42.17,42.25,35600
21-Sep-06,42.68,42.78,42.40,42.56,16200
20-Sep-06,42.22,42.80,42.22,42.76,38200
19-Sep-06,42.75,42.75,41.92,42.10,30600
18-Sep-06,42.60,42.72,42.50,42.70,13400
15-Sep-06,42.75,42.96,42.58,42.60,16600
14-Sep-06,43.30,43.32,43.10,43.21,31400
13-Sep-06,42.94,43.28,42.93,43.15,26400
12-Sep-06,42.43,43.06,42.43,43.02,33400
11-Sep-06,42.18,42.54,41.98,42.34,20800
8-Sep-06,42.72,43.00,42.72,42.88,14200
7-Sep-06,42.48,42.56,42.14,42.26,14400
6-Sep-06,43.28,43.28,42.60,42.62,41600
5-Sep-06,43.75,43.88,43.55,43.72,35600
1-Sep-06,42.84,43.28,42.80,43.26,14200
31-Aug-06,43.22,43.28,43.04,43.12,37400
30-Aug-06,42.00,42.32,42.00,42.30,30200
29-Aug-06,42.42,42.43,42.03,42.37,139800
28-Aug-06,42.10,42.50,42.00,42.30,37400
25-Aug-06,42.75,43.00,42.65,42.82,24200
24-Aug-06,42.62,42.75,42.49,42.70,35400
23-Aug-06,42.94,43.12,42.57,42.78,14400
22-Aug-06,42.71,42.80,42.33,42.79,30600
21-Aug-06,43.00,43.09,42.82,43.02,22000
18-Aug-06,43.20,43.38,43.16,43.37,31000
17-Aug-06,42.62,43.08,42.58,42.91,44200
16-Aug-06,42.68,43.02,42.60,42.96,30400
15-Aug-06,41.77,42.34,41.77,42.32,23200
14-Aug-06,41.72,42.00,41.57,41.60,20200
11-Aug-06,41.00,41.15,40.74,40.91,27600
10-Aug-06,41.24,41.34,40.93,41.34,37000
9-Aug-06,41.30,41.39,40.92,40.98,37000
8-Aug-06,40.22,40.62,40.00,40.24,32600
7-Aug-06,39.50,39.80,39.50,39.70,26200
4-Aug-06,40.88,41.25,40.68,40.72,22400
3-Aug-06,40.25,40.68,40.07,40.64,19600
2-Aug-06,40.38,40.79,40.38,40.68,25400
1-Aug-06,40.56,40.56,39.89,40.24,61600
31-Jul-06,40.80,40.97,40.63,40.80,35600
28-Jul-06,40.35,40.97,40.35,40.80,34400
27-Jul-06,39.42,40.31,39.42,39.50,51600
26-Jul-06,38.08,38.70,38.00,38.38,24200
25-Jul-06,37.98,38.04,37.70,38.00,22600
24-Jul-06,37.44,38.12,37.44,38.01,25200
21-Jul-06,37.62,37.62,37.13,37.34,40000
20-Jul-06,37.62,37.86,37.20,37.20,64600
19-Jul-06,36.16,37.74,36.16,37.42,41000
18-Jul-06,36.24,36.48,35.98,36.46,35600
17-Jul-06,35.94,36.24,35.92,36.24,58800
14-Jul-06,36.50,36.50,36.12,36.46,48400
13-Jul-06,37.00,37.00,36.48,36.50,37400
12-Jul-06,37.62,37.76,37.24,37.34,37000
11-Jul-06,38.34,38.62,38.04,38.52,22600
10-Jul-06,38.68,38.78,38.39,38.51,46600
7-Jul-06,38.30,38.52,37.92,38.00,44800
6-Jul-06,38.68,39.18,38.68,39.18,35000
5-Jul-06,38.92,38.92,38.21,38.21,74400
3-Jul-06,38.88,39.22,38.88,39.20,34200
30-Jun-06,38.96,39.12,38.70,38.88,62400
29-Jun-06,37.30,39.12,37.30,39.08,121800
28-Jun-06,36.74,37.20,36.60,37.20,163600
27-Jun-06,37.84,37.84,36.98,37.15,105600
26-Jun-06,38.08,38.08,37.64,38.00,79800
23-Jun-06,38.62,38.75,38.38,38.60,56600
22-Jun-06,38.50,38.60,38.01,38.25,43400
21-Jun-06,37.36,38.04,37.26,37.93,63600
20-Jun-06,37.38,37.67,37.22,37.28,43000
19-Jun-06,37.50,37.73,37.25,37.33,50800
16-Jun-06,37.88,37.88,37.26,37.38,55400
15-Jun-06,37.24,38.57,37.24,38.50,91600
14-Jun-06,36.10,36.48,36.00,36.42,76600
13-Jun-06,36.35,36.82,35.86,36.10,114800
12-Jun-06,38.46,38.65,37.74,37.78,49400
9-Jun-06,38.48,38.84,38.08,38.15,82000
8-Jun-06,38.25,38.67,37.80,38.66,105600
7-Jun-06,40.33,40.66,40.05,40.08,61400
6-Jun-06,41.60,41.60,40.00,40.50,96000
5-Jun-06,42.58,42.58,41.58,41.58,37000
2-Jun-06,43.00,43.24,42.88,43.22,40200
1-Jun-06,41.30,42.24,41.30,42.22,200200
31-May-06,41.58,42.00,41.58,41.75,41800
30-May-06,42.75,42.75,41.95,41.96,39200
26-May-06,43.28,43.58,43.06,43.53,29000
25-May-06,42.50,42.98,42.38,42.86,50800
24-May-06,43.45,43.45,42.31,42.86,54000
23-May-06,42.60,43.46,42.60,42.70,57200
22-May-06,42.30,42.61,41.76,42.25,65600
19-May-06,43.55,43.97,43.18,43.62,36200
18-May-06,43.84,44.22,43.46,43.50,68400
17-May-06,44.38,44.38,42.66,42.75,83200
16-May-06,44.11,44.44,44.05,44.21,31200
15-May-06,44.60,44.70,44.13,44.68,67200
12-May-06,45.60,45.60,44.84,44.87,61000
11-May-06,46.35,46.35,45.38,45.45,61400
10-May-06,45.75,46.02,45.58,45.62,56200
9-May-06,46.75,46.88,46.68,46.82,62400
8-May-06,47.70,47.74,47.51,47.60,40200
5-May-06,48.00,48.43,47.90,48.25,58800
4-May-06,47.18,47.92,47.18,47.75,34400
3-May-06,47.40,47.48,47.31,47.45,41200
2-May-06,47.26,47.70,47.26,47.70,38400
1-May-06,47.30,47.53,46.92,47.12,40800
28-Apr-06,46.58,47.16,46.58,46.94,67000
27-Apr-06,47.80,48.05,47.50,48.02,189200
26-Apr-06,47.90,48.08,47.88,47.90,72200
25-Apr-06,47.30,47.58,46.90,47.19,935800
24-Apr-06,48.25,48.36,48.00,48.23,62800
21-Apr-06,48.88,49.00,48.50,48.52,202000
20-Apr-06,47.26,47.64,47.21,47.45,37400
19-Apr-06,47.41,47.88,47.09,47.78,50600
18-Apr-06,45.90,46.95,45.83,46.95,75000
17-Apr-06,44.95,45.22,44.76,45.00,29000
13-Apr-06,44.48,44.80,44.46,44.78,39600
12-Apr-06,44.38,44.78,44.30,44.68,462200
11-Apr-06,45.98,46.08,45.40,45.60,100000
10-Apr-06,46.25,46.34,46.10,46.28,52000
7-Apr-06,46.70,46.80,46.00,46.12,105000
6-Apr-06,45.35,45.46,45.08,45.46,42000
5-Apr-06,44.82,45.40,44.82,45.32,48400
4-Apr-06,44.90,45.22,44.85,45.22,58200
3-Apr-06,45.20,45.72,45.12,45.50,84200
31-Mar-06,44.23,44.32,44.02,44.06,41600
30-Mar-06,44.43,44.82,44.30,44.82,60200
29-Mar-06,43.80,44.55,43.67,44.55,64800
28-Mar-06,43.75,43.80,43.05,43.20,49400
27-Mar-06,43.15,43.24,42.96,43.18,42200
24-Mar-06,42.46,42.86,42.22,42.79,34200
23-Mar-06,42.72,42.90,42.46,42.52,25000
22-Mar-06,42.83,43.15,42.80,43.13,43600
21-Mar-06,43.70,43.76,43.25,43.25,25800
20-Mar-06,43.90,44.00,43.50,43.82,61600
17-Mar-06,43.18,43.22,42.98,43.08,39400
16-Mar-06,42.12,42.30,42.02,42.06,57400
15-Mar-06,42.86,42.94,42.64,42.90,26200
14-Mar-06,42.25,42.90,42.22,42.80,50600
13-Mar-06,41.85,41.95,41.71,41.86,58800
