Date,Open,High,Low,Close,Volume
29-Dec-06,29.00,29.14,28.77,28.80,7653400
28-Dec-06,28.80,29.08,28.80,29.01,8906300
27-Dec-06,28.65,29.05,28.65,28.96,11691500
26-Dec-06,28.50,28.94,28.43,28.61,8368800
22-Dec-06,28.79,28.92,28.50,28.55,14292200
21-Dec-06,29.04,29.27,28.71,28.76,17514900
20-Dec-06,28.99,29.21,28.85,29.10,18328100
19-Dec-06,29.31,29.45,28.60,28.87,27554900
18-Dec-06,29.71,30.03,29.12,29.63,15009800
15-Dec-06,30.93,30.93,29.49,29.67,26850600
14-Dec-06,29.32,29.96,29.27,29.93,20321100
13-Dec-06,29.89,29.95,29.27,29.43,19525800
12-Dec-06,29.55,29.83,29.12,29.77,34599700
11-Dec-06,29.40,29.87,29.18,29.30,16089400
8-Dec-06,29.58,29.73,29.26,29.40,14440000
7-Dec-06,30.20,30.31,29.70,29.75,14946900
6-Dec-06,29.82,30.11,29.54,30.07,14612400
5-Dec-06,29.84,30.08,29.58,29.70,12807900
4-Dec-06,29.29,29.88,29.00,29.64,14524700
1-Dec-06,29.45,29.61,28.57,29.13,21421000
30-Nov-06,29.28,29.82,28.88,29.55,18440500
29-Nov-06,29.76,29.82,29.00,29.18,13052700
28-Nov-06,29.20,29.55,28.99,29.52,16362900
27-Nov-06,30.00,30.17,29.30,29.38,14633500
24-Nov-06,30.00,30.32,29.95,30.02,4055800
22-Nov-06,29.84,30.20,29.76,30.19,9456400
21-Nov-06,30.20,30.24,29.63,29.67,15137900
20-Nov-06,29.99,30.40,29.82,30.17,13939900
17-Nov-06,30.08,30.16,29.89,30.04,14471600
16-Nov-06,30.37,30.43,29.90,30.26,14074500
15-Nov-06,29.90,30.47,29.84,30.17,23229300
14-Nov-06,29.17,29.76,28.85,29.66,18356700
13-Nov-06,28.78,29.22,28.62,28.96,16949000
10-Nov-06,28.61,28.81,28.34,28.74,15833400
9-Nov-06,29.60,29.67,28.50,28.66,37855800
8-Nov-06,29.49,29.77,29.18,29.35,19734800
7-Nov-06,29.74,30.19,29.62,29.74,20004900
6-Nov-06,29.52,29.91,29.24,29.74,15489600
3-Nov-06,29.97,29.98,29.53,29.57,14200600
2-Nov-06,29.85,30.01,29.61,29.74,11365900
1-Nov-06,30.23,30.52,29.87,29.97,15274500
31-Oct-06,30.10,30.34,29.94,30.18,15723600
30-Oct-06,29.85,30.52,29.72,30.16,13303100
27-Oct-06,30.50,30.57,29.74,29.90,18655200
26-Oct-06,30.83,30.92,30.36,30.70,18884800
25-Oct-06,30.20,31.03,30.01,30.73,24499000
24-Oct-06,31.70,31.79,30.49,30.52,39314800
23-Oct-06,31.02,31.98,31.00,31.88,22589900
20-Oct-06,31.64,31.67,31.30,31.37,13888500
19-Oct-06,32.10,32.10,31.22,31.62,14943900
18-Oct-06,32.10,32.24,31.04,31.57,19233100
17-Oct-06,32.57,32.69,32.09,32.36,15833600
16-Oct-06,32.87,33.25,32.59,33.06,10369800
13-Oct-06,32.57,32.98,32.45,32.81,11532100
12-Oct-06,32.22,32.59,31.80,32.49,15789300
11-Oct-06,31.23,32.10,31.12,31.98,17829600
10-Oct-06,31.47,31.58,31.03,31.23,19888200
9-Oct-06,31.12,31.74,31.02,31.43,13759900
6-Oct-06,31.05,31.32,30.93,31.31,17742600
5-Oct-06,32.08,32.14,31.46,31.60,19298100
4-Oct-06,31.98,32.57,31.67,32.16,26078200
3-Oct-06,32.62,32.68,32.10,32.25,18192100
2-Oct-06,33.12,33.58,32.89,32.96,12628600
29-Sep-06,33.55,33.66,33.15,33.25,17859600
28-Sep-06,33.38,34.00,33.33,33.89,15963800
27-Sep-06,33.08,33.83,33.08,33.27,21621700
26-Sep-06,32.74,33.26,32.32,33.22,21970900
25-Sep-06,32.24,32.75,31.62,32.74,17989600
22-Sep-06,31.85,32.38,31.63,32.01,17370400
21-Sep-06,32.31,32.61,31.45,31.47,15131100
20-Sep-06,32.10,32.54,31.86,32.34,13852400
19-Sep-06,32.10,32.29,31.25,31.80,14065400
18-Sep-06,31.69,32.75,31.69,32.35,15553500
15-Sep-06,31.95,32.34,31.71,31.93,17241300
14-Sep-06,31.76,31.85,31.46,31.63,14467700
13-Sep-06,32.13,32.30,31.55,32.05,16963600
12-Sep-06,31.44,32.65,31.02,32.50,25054600
11-Sep-06,30.62,32.09,30.62,31.78,17973400
8-Sep-06,30.70,31.20,30.50,31.00,11029600
7-Sep-06,30.56,31.18,30.50,30.50,15612900
6-Sep-06,31.59,31.69,31.12,31.15,12089400
5-Sep-06,31.70,32.18,31.39,32.03,12324700
1-Sep-06,32.45,32.49,31.20,31.93,10308800
31-Aug-06,32.85,32.85,32.36,32.59,8544500
30-Aug-06,32.34,32.82,32.09,32.68,10257300
29-Aug-06,31.90,32.36,31.60,32.30,9199700
28-Aug-06,31.48,31.99,31.48,31.76,6455400
25-Aug-06,31.27,31.84,31.17,31.44,8348400
24-Aug-06,31.53,31.66,31.07,31.52,10950500
23-Aug-06,32.40,32.79,31.30,31.48,19101600
22-Aug-06,32.40,32.99,32.24,32.49,9359000
21-Aug-06,32.77,32.86,32.36,32.71,8840500
18-Aug-06,32.90,33.19,32.27,33.09,11214800
17-Aug-06,32.82,33.34,32.81,32.95,14669100
16-Aug-06,32.13,32.98,31.80,32.82,17155300
15-Aug-06,31.44,32.11,31.37,32.04,14134800
14-Aug-06,30.89,31.28,30.65,30.90,10129100
11-Aug-06,30.83,30.88,30.32,30.52,11898600
10-Aug-06,30.12,31.38,30.12,31.23,13597800
9-Aug-06,30.69,31.11,30.38,30.49,14853000
8-Aug-06,29.98,30.41,29.75,30.20,13912100
7-Aug-06,29.82,30.35,29.76,29.98,8643200
4-Aug-06,30.50,30.73,29.75,30.03,14008700
3-Aug-06,29.13,30.49,29.01,30.26,13705700
2-Aug-06,29.36,29.76,29.03,29.44,9032200
1-Aug-06,29.47,29.55,28.64,29.15,13096600
31-Jul-06,29.20,29.99,29.14,29.78,11447100
28-Jul-06,29.56,29.90,29.22,29.35,14489300
27-Jul-06,29.40,30.20,29.40,29.48,12583100
26-Jul-06,28.95,29.82,28.70,29.46,17042400
25-Jul-06,28.47,29.40,28.47,28.95,19829000
24-Jul-06,27.43,28.05,27.26,27.84,19132800
21-Jul-06,27.99,28.00,26.77,27.00,17763900
20-Jul-06,28.54,28.91,27.95,28.05,13087900
19-Jul-06,28.12,28.73,28.06,28.20,14996600
18-Jul-06,28.00,28.45,27.47,28.10,18545900
17-Jul-06,28.63,29.11,28.32,28.37,11678900
14-Jul-06,28.30,28.90,28.05,28.75,11428900
13-Jul-06,29.69,29.69,28.15,28.29,18352000
12-Jul-06,29.58,29.86,29.00,29.21,12888600
11-Jul-06,28.79,29.73,28.75,29.63,13288500
10-Jul-06,29.39,29.69,28.65,28.92,9186300
7-Jul-06,29.30,29.56,28.67,29.17,12674000
6-Jul-06,30.00,30.16,29.40,29.50,9042300
5-Jul-06,30.32,30.40,29.76,29.92,10917800
3-Jul-06,30.54,30.90,30.49,30.71,5513600
30-Jun-06,30.06,30.57,29.81,30.29,12154500
29-Jun-06,29.20,30.26,28.97,30.00,14658500
28-Jun-06,29.24,29.25,28.60,28.96,17438600
27-Jun-06,29.61,30.09,29.30,29.65,12523300
26-Jun-06,29.50,30.04,29.31,30.00,11479300
23-Jun-06,29.56,29.84,29.15,29.39,12761100
22-Jun-06,30.30,30.35,29.50,29.67,14357400
21-Jun-06,29.82,30.77,29.82,30.35,14377500
20-Jun-06,29.89,30.30,29.52,29.90,13936300
19-Jun-06,29.71,30.42,29.63,30.00,14818300
16-Jun-06,29.87,30.33,29.40,29.56,17548100
15-Jun-06,29.03,30.25,29.03,30.03,16513800
14-Jun-06,29.00,29.39,28.52,28.90,17375000
13-Jun-06,28.81,29.51,28.73,28.99,17524500
12-Jun-06,29.72,29.84,28.94,28.96,21542800
9-Jun-06,31.56,31.56,29.56,29.68,30660900
8-Jun-06,30.63,31.01,30.00,30.72,17225100
7-Jun-06,31.53,31.70,30.72,30.72,12961600
6-Jun-06,31.25,31.60,30.99,31.43,12580700
5-Jun-06,32.50,32.50,31.12,31.23,14877500
2-Jun-06,32.21,32.25,31.63,32.13,10782600
1-Jun-06,31.23,31.98,31.23,31.93,9360300
31-May-06,31.09,31.69,30.92,31.23,13718800
30-May-06,31.34,31.53,31.07,31.07,9339700
26-May-06,31.81,32.26,31.39,31.64,8838900
25-May-06,32.25,32.28,31.51,31.71,12704000
24-May-06,31.12,32.00,30.91,31.83,16541500
23-May-06,31.94,32.35,30.88,30.95,24184300
22-May-06,31.73,31.99,31.08,31.62,12962700
19-May-06,31.55,32.25,31.34,31.97,15000000
18-May-06,32.26,32.43,31.80,31.80,8643300
17-May-06,32.75,33.14,32.02,32.14,13227300
16-May-06,32.85,33.36,32.57,32.96,8811900
15-May-06,32.77,33.41,32.34,32.91,10084500
12-May-06,33.06,33.70,33.02,33.21,9628400
11-May-06,33.75,34.03,33.15,33.36,11169600
10-May-06,34.23,34.34,33.41,33.70,13558800
9-May-06,34.45,34.53,34.07,34.34,7178800
8-May-06,35.12,35.13,34.52,34.53,7475800
5-May-06,34.90,35.15,34.70,34.95,14482800
4-May-06,34.98,35.12,34.43,34.60,10467600
3-May-06,34.12,34.88,33.82,34.81,12827600
2-May-06,34.44,34.68,34.12,34.39,9377400
1-May-06,34.71,34.80,34.16,34.38,10345900
28-Apr-06,35.07,35.39,34.54,34.71,10338800
27-Apr-06,34.53,35.63,34.24,35.14,11151400
26-Apr-06,35.32,35.48,34.58,34.83,13507800
25-Apr-06,35.00,35.63,34.97,35.51,17830200
24-Apr-06,35.01,35.18,34.48,35.03,12994800
21-Apr-06,35.80,35.89,34.96,35.34,14850200
20-Apr-06,34.55,36.40,34.40,35.56,29788800
19-Apr-06,34.45,34.96,34.11,34.45,35226800
18-Apr-06,32.70,34.00,32.70,34.00,22929500
17-Apr-06,32.67,33.27,32.26,32.68,12201200
13-Apr-06,32.59,32.96,32.59,32.68,7280900
12-Apr-06,32.70,33.07,32.64,32.87,7093600
11-Apr-06,33.10,33.50,32.45,32.89,15526800
10-Apr-06,33.01,33.16,32.33,32.76,17079700
7-Apr-06,33.82,33.96,32.95,33.07,18459900
6-Apr-06,33.21,33.84,33.21,33.63,13316000
5-Apr-06,32.48,33.50,32.43,33.22,12296600
4-Apr-06,32.29,32.56,31.87,32.34,10193500
3-Apr-06,32.40,33.08,32.15,32.29,10480900
31-Mar-06,32.78,33.08,32.07,32.47,13390500
30-Mar-06,32.87,33.32,32.61,33.08,21032600
29-Mar-06,31.04,32.22,30.95,31.99,12598900
28-Mar-06,31.38,31.83,30.81,30.95,11765700
27-Mar-06,30.89,31.55,30.85,31.27,9660800
24-Mar-06,30.45,31.11,30.15,30.89,11965300
23-Mar-06,30.07,30.63,30.04,30.45,12632800
22-Mar-06,29.96,30.73,29.96,30.01,12173900
21-Mar-06,30.13,30.90,30.07,30.15,11998700
20-Mar-06,30.19,30.54,30.01,30.12,9032900
17-Mar-06,30.19,30.48,29.80,30.19,14423400
16-Mar-06,31.10,31.10,30.15,30.15,14154700
15-Mar-06,31.22,31.80,30.93,31.28,12692500
14-Mar-06,30.65,31.24,30.63,31.22,11219300
13-Mar-06,30.87,31.38,30.77,30.89,8157300
10-Mar-06,30.97,31.37,30.61,30.77,10506600
9-Mar-06,31.36,31.63,30.80,30.82,13808200
8-Mar-06,31.25,31.56,30.96,31.34,13722500
7-Mar-06,31.15,31.49,30.73,31.26,21950500
6-Mar-06,32.52,32.90,31.66,32.33,11667100
3-Mar-06,32.20,32.91,32.03,32.29,16072000
2-Mar-06,32.00,32.84,31.86,32.35,21807400
1-Mar-06,30.29,32.54,30.29,32.18,34923500
28-Feb-06,29.35,29.87,29.30,29.85,15675700
27-Feb-06,29.80,30.05,29.61,29.64,14996800
24-Feb-06,30.00,30.19,29.66,29.68,15037200
23-Feb-06,30.62,30.76,29.81,29.86,16346000
22-Feb-06,30.58,31.09,30.16,31.02,12208800
21-Feb-06,31.35,31.46,30.35,30.65,14189700
17-Feb-06,31.63,31.85,31.30,31.48,10129000
16-Feb-06,30.85,31.78,30.76,31.75,15123100
15-Feb-06,30.31,30.64,30.23,30.62,9678600
14-Feb-06,30.59,30.73,30.12,30.56,10850100
13-Feb-06,30.67,30.74,30.25,30.48,10620100
10-Feb-06,31.00,31.13,30.50,30.91,13166800
9-Feb-06,30.95,31.09,30.77,31.05,15374200
8-Feb-06,30.81,30.90,30.36,30.72,10887800
7-Feb-06,30.68,30.68,30.20,30.62,11317500
6-Feb-06,30.05,30.75,30.05,30.54,15659800
3-Feb-06,29.91,30.36,29.70,30.00,14716900
2-Feb-06,29.99,30.34,29.70,29.76,19705500
1-Feb-06,29.08,29.85,28.72,29.77,22969300
31-Jan-06,30.06,30.15,29.22,29.23,17613200
30-Jan-06,30.55,30.75,29.62,30.05,19386200
