Date,Open,High,Low,Close,Volume
29-Dec-06,42.58,43.04,42.58,42.76,501200
28-Dec-06,42.75,42.95,42.56,42.67,428900
27-Dec-06,42.39,42.92,42.39,42.85,586900
26-Dec-06,42.21,42.47,42.12,42.38,403700
22-Dec-06,42.36,42.36,42.15,42.21,527000
21-Dec-06,42.21,42.32,42.01,42.28,655200
20-Dec-06,42.06,42.46,42.03,42.22,980500
19-Dec-06,41.53,42.29,41.16,42.06,976700
18-Dec-06,41.35,42.03,41.13,41.64,981900
15-Dec-06,41.28,41.53,41.04,41.25,794200
14-Dec-06,40.73,41.49,40.73,41.20,758700
13-Dec-06,41.09,41.54,40.67,40.68,1604100
12-Dec-06,42.00,42.25,40.83,41.08,1718200
11-Dec-06,42.75,42.85,42.04,42.15,847000
8-Dec-06,42.56,43.07,42.41,42.76,704200
7-Dec-06,43.00,43.06,42.42,42.55,1004400
6-Dec-06,42.96,43.14,42.90,43.04,508400
5-Dec-06,43.20,43.40,42.68,43.10,731400
4-Dec-06,42.74,43.28,42.74,43.04,875100
1-Dec-06,43.06,43.10,42.41,42.57,971800
30-Nov-06,43.06,43.24,42.82,42.91,1204400
29-Nov-06,42.94,43.19,42.70,43.07,1075200
28-Nov-06,42.90,43.14,42.48,42.69,1012900
27-Nov-06,44.20,44.58,43.28,43.36,570600
24-Nov-06,44.27,44.52,44.19,44.34,87500
22-Nov-06,44.54,44.74,44.18,44.49,342200
21-Nov-06,44.24,44.69,44.01,44.58,797300
20-Nov-06,44.17,44.49,43.95,44.31,734100
17-Nov-06,44.10,44.39,43.80,44.25,793500
16-Nov-06,44.47,44.51,43.99,44.24,568100
15-Nov-06,44.00,44.50,43.97,44.23,885000
14-Nov-06,44.38,44.51,43.49,44.05,1368600
13-Nov-06,43.65,44.43,43.34,44.33,1043900
10-Nov-06,43.58,43.95,43.51,43.85,1401900
9-Nov-06,44.23,44.30,43.32,43.59,1192200
8-Nov-06,43.25,44.44,42.86,44.22,2273700
7-Nov-06,41.55,43.70,41.48,43.33,3420000
6-Nov-06,41.00,41.62,40.92,41.42,487000
3-Nov-06,41.23,41.42,40.85,40.93,467500
2-Nov-06,41.00,41.41,40.82,41.20,757900
1-Nov-06,41.51,41.68,41.10,41.21,939100
31-Oct-06,41.37,41.77,41.23,41.52,1084900
30-Oct-06,40.28,41.52,40.00,41.47,1359000
27-Oct-06,39.29,41.88,39.29,41.14,3148600
26-Oct-06,40.60,40.84,38.06,39.28,3099500
25-Oct-06,39.16,39.50,39.00,39.38,1035600
24-Oct-06,38.71,39.11,38.52,39.11,1063300
23-Oct-06,39.23,39.30,38.29,38.70,1187500
20-Oct-06,39.79,39.79,39.29,39.43,767200
19-Oct-06,39.67,39.87,39.42,39.69,576400
18-Oct-06,39.98,40.00,39.56,39.67,855400
17-Oct-06,39.76,39.88,39.23,39.70,917700
16-Oct-06,39.48,40.21,39.48,40.00,1140900
13-Oct-06,39.16,39.65,38.83,39.62,796300
12-Oct-06,38.96,39.17,38.73,39.17,877700
11-Oct-06,38.89,39.38,38.67,38.96,1092200
10-Oct-06,38.90,39.12,38.76,38.96,1205700
9-Oct-06,38.44,39.08,38.38,38.91,1219800
6-Oct-06,39.09,39.36,38.61,38.69,1151600
5-Oct-06,39.44,39.68,39.20,39.27,894600
4-Oct-06,38.70,39.41,38.70,39.40,766100
3-Oct-06,39.35,39.36,38.67,38.80,815400
2-Oct-06,39.25,39.63,38.80,39.39,979500
29-Sep-06,39.03,39.59,38.87,39.48,1370800
28-Sep-06,38.83,39.58,38.83,38.95,2053000
27-Sep-06,39.00,39.30,38.69,38.83,1468200
26-Sep-06,38.81,39.40,38.65,39.15,1122000
25-Sep-06,38.66,39.15,38.40,39.00,1173000
22-Sep-06,38.64,38.71,38.15,38.41,939800
21-Sep-06,37.99,38.95,37.64,38.78,2575600
20-Sep-06,36.50,39.07,36.47,38.14,2480600
19-Sep-06,36.20,36.40,35.80,36.22,990100
18-Sep-06,36.20,36.52,36.12,36.27,834900
15-Sep-06,36.09,36.42,35.89,36.02,1373700
14-Sep-06,35.46,35.75,35.04,35.31,669000
13-Sep-06,35.39,35.71,35.05,35.71,635000
12-Sep-06,34.90,35.50,34.90,35.50,636200
11-Sep-06,34.60,35.00,34.45,34.90,465500
8-Sep-06,34.59,34.85,34.29,34.61,432600
7-Sep-06,34.10,34.78,34.00,34.60,829300
6-Sep-06,34.38,34.40,33.92,34.13,893000
5-Sep-06,34.60,35.14,34.45,34.80,941500
1-Sep-06,34.94,34.99,34.62,34.69,475700
31-Aug-06,34.57,34.82,34.38,34.79,611400
30-Aug-06,34.65,34.71,34.37,34.57,773400
29-Aug-06,34.38,34.69,33.75,34.69,859100
28-Aug-06,33.52,34.46,33.48,34.38,1003200
25-Aug-06,33.70,33.78,33.26,33.45,764000
24-Aug-06,33.92,34.10,33.62,33.87,644700
23-Aug-06,33.89,34.11,33.57,33.87,1359000
22-Aug-06,34.13,34.36,33.80,34.01,781400
21-Aug-06,34.78,34.82,34.07,34.28,580100
18-Aug-06,34.97,35.00,34.78,34.96,647100
17-Aug-06,35.00,35.10,34.58,34.92,763200
16-Aug-06,33.96,35.22,33.91,35.09,1209100
15-Aug-06,33.39,34.02,33.30,33.91,813900
14-Aug-06,32.90,33.58,32.75,33.15,904700
11-Aug-06,32.73,32.90,32.46,32.65,821500
10-Aug-06,32.78,33.01,32.63,32.94,815300
9-Aug-06,33.01,33.17,32.82,32.82,1002200
8-Aug-06,32.57,32.96,32.53,32.76,1163800
7-Aug-06,32.67,32.72,32.39,32.54,973900
4-Aug-06,33.25,33.28,32.63,32.81,952700
3-Aug-06,32.24,32.98,32.22,32.83,1086300
2-Aug-06,31.99,32.81,31.86,32.76,1426100
1-Aug-06,32.00,32.30,31.73,31.89,951500
31-Jul-06,32.02,32.25,31.69,32.14,1237000
28-Jul-06,32.68,32.69,31.64,32.33,2448600
27-Jul-06,34.90,35.60,32.02,32.68,3056600
26-Jul-06,33.93,34.65,33.93,34.63,1515400
25-Jul-06,33.05,33.89,32.90,33.68,2382900
24-Jul-06,32.60,33.36,32.57,33.20,1239500
21-Jul-06,33.00,33.00,32.27,32.46,961900
20-Jul-06,33.51,33.75,33.00,33.00,766900
19-Jul-06,33.25,33.60,33.19,33.50,1752100
18-Jul-06,33.71,33.76,32.83,33.25,1271000
17-Jul-06,33.71,33.99,33.55,33.61,636200
14-Jul-06,34.18,34.25,33.54,33.90,799500
13-Jul-06,35.52,35.58,34.38,34.48,1358800
12-Jul-06,35.80,35.99,35.36,35.52,802900
11-Jul-06,35.30,36.08,35.11,35.94,955900
10-Jul-06,35.65,35.86,35.21,35.43,608900
7-Jul-06,36.50,36.50,35.27,35.55,1391100
6-Jul-06,36.39,37.01,36.28,36.73,740100
5-Jul-06,36.45,36.71,36.10,36.41,773000
3-Jul-06,36.89,36.89,36.38,36.62,237600
30-Jun-06,36.62,37.01,36.43,36.64,965500
29-Jun-06,34.80,36.65,34.80,36.62,1607900
28-Jun-06,34.51,34.87,34.05,34.82,1443000
27-Jun-06,35.31,35.31,34.50,34.50,957200
26-Jun-06,35.57,35.87,35.29,35.44,1222300
23-Jun-06,35.79,36.06,35.55,35.67,820000
22-Jun-06,35.84,36.10,35.62,35.98,869600
21-Jun-06,35.10,36.22,35.08,35.93,1820100
20-Jun-06,34.98,35.40,34.64,35.20,877800
19-Jun-06,35.66,35.86,34.99,35.01,520900
16-Jun-06,35.20,35.62,35.00,35.53,1287000
15-Jun-06,34.98,35.68,34.82,35.45,1854200
14-Jun-06,35.33,35.82,34.92,34.98,1119200
13-Jun-06,35.36,35.85,35.17,35.46,1369000
12-Jun-06,36.50,36.85,35.45,35.51,1031900
9-Jun-06,36.71,37.11,36.23,36.31,1077300
8-Jun-06,36.79,36.80,35.92,36.42,3151000
7-Jun-06,37.34,37.36,36.69,36.81,1336900
6-Jun-06,38.10,38.15,37.10,37.34,1542700
5-Jun-06,38.38,38.48,38.03,38.19,1112100
2-Jun-06,38.69,38.99,37.93,38.58,978400
1-Jun-06,39.15,39.15,38.50,38.67,1281100
31-May-06,38.49,39.09,38.38,39.08,1611100
30-May-06,39.30,39.30,38.41,38.44,870900
26-May-06,39.86,39.93,39.42,39.57,302400
25-May-06,39.84,39.97,39.31,39.72,497500
24-May-06,38.53,39.67,38.50,39.56,1334000
23-May-06,38.46,38.89,38.19,38.71,1467800
22-May-06,38.80,38.81,38.11,38.49,977500
19-May-06,38.90,39.63,38.79,39.19,958300
18-May-06,38.35,39.19,38.34,38.76,1802300
17-May-06,38.55,38.90,38.03,38.29,771900
16-May-06,39.04,39.18,38.51,38.85,626500
15-May-06,38.85,39.21,38.55,39.04,1089500
12-May-06,39.97,39.97,39.06,39.09,1067400
11-May-06,40.78,40.80,39.96,39.97,587100
10-May-06,40.94,41.10,40.73,40.90,654400
9-May-06,40.89,41.23,40.89,41.13,842200
8-May-06,40.66,41.25,40.66,41.08,1042100
5-May-06,40.70,41.00,40.37,40.91,686500
4-May-06,40.23,41.00,40.13,41.00,833600
3-May-06,39.94,40.41,39.72,40.12,1292800
2-May-06,39.88,40.03,39.74,39.93,751000
1-May-06,39.20,40.05,39.14,39.90,2053600
28-Apr-06,39.63,39.63,38.76,39.40,1442400
27-Apr-06,40.75,41.27,37.84,39.60,6479600
26-Apr-06,43.48,44.45,43.38,43.96,2481400
25-Apr-06,42.01,42.82,41.81,42.62,697500
