Date,Open,High,Low,Close,Volume
29-Dec-06,68.15,68.30,67.58,67.70,709200
28-Dec-06,68.06,68.40,68.00,68.35,477900
27-Dec-06,68.32,68.39,68.04,68.31,592700
26-Dec-06,67.89,68.13,67.55,68.07,404200
22-Dec-06,68.33,68.33,67.45,67.66,778300
21-Dec-06,68.50,68.77,67.96,68.33,1267400
20-Dec-06,67.00,68.42,67.00,68.24,1460000
19-Dec-06,66.80,67.48,66.80,67.28,1143700
18-Dec-06,67.26,67.45,66.69,66.79,974600
15-Dec-06,66.18,67.50,66.18,67.27,1726000
14-Dec-06,66.21,66.77,66.14,66.15,1800000
13-Dec-06,66.67,66.90,66.04,66.19,1837900
12-Dec-06,67.40,67.60,66.50,66.58,1662700
11-Dec-06,66.52,67.77,66.51,67.55,848400
8-Dec-06,67.50,67.72,66.76,66.87,763500
7-Dec-06,67.60,67.88,67.33,67.55,1205300
6-Dec-06,68.19,68.35,67.42,67.57,1002400
5-Dec-06,68.03,68.44,67.87,68.19,840800
4-Dec-06,67.46,68.25,67.43,68.03,1051400
1-Dec-06,66.69,67.83,66.69,67.22,1752600
30-Nov-06,66.96,67.24,66.30,66.93,1175000
29-Nov-06,65.57,67.05,65.57,66.92,1820100
28-Nov-06,64.85,65.65,64.63,65.49,1624200
27-Nov-06,66.10,66.23,65.09,65.21,1757400
24-Nov-06,66.00,66.43,65.87,66.05,317100
22-Nov-06,66.45,66.50,65.93,66.07,991400
21-Nov-06,66.60,66.87,66.32,66.69,1665900
20-Nov-06,66.82,67.05,66.50,66.60,1644200
17-Nov-06,67.40,67.73,66.59,67.11,2111600
16-Nov-06,68.07,68.25,67.60,67.65,1558900
15-Nov-06,66.64,68.24,66.60,68.07,2927900
14-Nov-06,65.64,66.82,65.43,66.54,2310200
13-Nov-06,65.03,66.22,64.88,65.57,2509000
10-Nov-06,64.40,64.87,64.33,64.70,1332100
9-Nov-06,65.15,65.72,64.58,64.59,1721700
8-Nov-06,66.25,66.26,64.88,64.98,3505000
7-Nov-06,66.30,66.99,65.61,66.40,2108200
6-Nov-06,65.85,66.37,65.77,66.08,1698500
3-Nov-06,66.13,66.40,65.90,65.95,1334100
2-Nov-06,66.51,66.60,65.65,65.90,2692600
1-Nov-06,66.35,67.43,66.12,66.94,1961900
31-Oct-06,66.26,66.60,66.06,66.39,1843200
30-Oct-06,66.01,66.77,66.01,66.47,1363700
27-Oct-06,66.04,66.34,65.91,66.01,2980600
26-Oct-06,66.07,66.10,64.80,65.91,2346300
25-Oct-06,68.03,68.04,65.95,66.07,3199900
24-Oct-06,68.50,68.76,67.60,68.04,2334500
23-Oct-06,68.87,69.17,68.70,69.17,1348800
20-Oct-06,69.14,69.14,68.35,68.80,1172900
19-Oct-06,69.36,69.45,68.87,69.01,870500
18-Oct-06,69.50,69.80,69.40,69.58,1443500
17-Oct-06,69.58,69.61,69.32,69.49,1436500
16-Oct-06,69.50,69.73,69.24,69.71,895500
13-Oct-06,69.30,69.55,69.02,69.46,1071800
12-Oct-06,68.69,69.37,68.66,69.18,2111200
11-Oct-06,68.62,68.90,68.21,68.57,1533700
10-Oct-06,68.30,68.73,68.00,68.62,2084900
9-Oct-06,68.62,68.62,68.18,68.35,966200
6-Oct-06,68.85,68.90,68.03,68.40,1463800
5-Oct-06,69.12,69.35,68.86,69.07,1117800
4-Oct-06,68.66,69.49,68.31,69.43,1184700
3-Oct-06,69.30,69.47,68.86,69.11,1238200
2-Oct-06,68.40,70.08,68.23,69.35,1559100
29-Sep-06,68.05,68.37,67.83,68.07,761100
28-Sep-06,68.15,68.49,68.05,68.21,826800
27-Sep-06,68.07,68.50,67.85,68.26,1144300
26-Sep-06,67.85,68.33,67.77,67.97,1117200
25-Sep-06,67.46,68.30,67.46,68.02,1104600
22-Sep-06,67.95,68.00,67.55,67.66,567600
21-Sep-06,68.16,68.28,67.64,67.87,797600
20-Sep-06,68.20,68.50,68.02,68.15,918500
19-Sep-06,67.90,68.28,67.79,67.96,1129000
18-Sep-06,68.20,68.66,67.89,68.16,1349400
15-Sep-06,68.79,69.20,68.19,68.24,1677300
14-Sep-06,67.70,68.66,67.66,68.39,1018600
13-Sep-06,68.00,68.00,67.39,67.87,962000
12-Sep-06,68.90,68.91,67.52,68.03,1168800
11-Sep-06,68.26,68.98,68.10,68.88,751700
8-Sep-06,68.15,68.35,67.88,68.05,593400
7-Sep-06,68.61,68.61,67.79,68.00,606400
6-Sep-06,68.25,68.68,68.13,68.39,1239200
5-Sep-06,67.47,68.56,67.46,68.25,1144400
1-Sep-06,66.81,67.53,66.50,67.22,1303400
31-Aug-06,66.84,67.25,66.69,66.81,1356000
30-Aug-06,66.45,67.03,66.19,66.59,1566700
29-Aug-06,65.77,66.07,65.64,65.99,850600
28-Aug-06,65.53,66.08,65.51,65.90,1061800
25-Aug-06,65.65,65.72,65.21,65.40,487000
24-Aug-06,65.92,66.20,65.67,65.86,736400
23-Aug-06,65.95,66.20,65.70,65.97,674700
22-Aug-06,66.05,66.19,65.78,65.85,657100
21-Aug-06,66.00,66.03,65.63,65.87,587900
18-Aug-06,66.25,66.34,65.77,66.00,803800
17-Aug-06,66.20,66.57,66.02,66.35,999600
16-Aug-06,66.10,66.30,65.65,66.07,1106300
