Date,Open,High,Low,Close,Volume
29-Dec-06,46.32,46.41,46.07,46.19,327200
28-Dec-06,46.66,46.68,46.33,46.43,232400
27-Dec-06,46.42,46.67,46.34,46.60,385100
26-Dec-06,46.05,46.31,46.05,46.23,252600
22-Dec-06,46.27,46.32,46.08,46.20,326500
21-Dec-06,46.43,46.62,46.20,46.30,474100
20-Dec-06,46.26,46.39,46.10,46.21,454900
19-Dec-06,46.38,46.46,46.07,46.37,737000
18-Dec-06,46.62,46.71,46.27,46.38,412500
15-Dec-06,46.90,46.90,46.47,46.50,884800
14-Dec-06,46.53,47.05,46.52,46.80,912900
13-Dec-06,46.90,46.92,46.49,46.64,1143400
12-Dec-06,46.50,46.66,46.23,46.56,852800
11-Dec-06,46.37,46.93,46.37,46.51,737600
8-Dec-06,46.46,46.59,46.01,46.27,579600
7-Dec-06,46.80,46.81,46.31,46.36,375700
6-Dec-06,46.52,46.70,46.20,46.51,829900
5-Dec-06,46.71,46.98,46.34,46.50,566600
4-Dec-06,46.39,46.80,46.39,46.60,882300
1-Dec-06,46.10,46.36,45.96,46.25,924000
30-Nov-06,45.93,46.40,45.68,46.09,1164000
29-Nov-06,45.63,46.14,45.63,45.96,759900
28-Nov-06,45.69,45.78,45.33,45.68,918100
27-Nov-06,46.65,46.65,45.55,45.82,1164000
24-Nov-06,46.74,46.92,46.68,46.77,229600
22-Nov-06,47.00,47.30,46.86,47.04,371400
21-Nov-06,47.39,47.48,47.04,47.11,638100
20-Nov-06,47.46,47.60,47.19,47.33,491800
17-Nov-06,47.48,47.74,47.33,47.52,653000
16-Nov-06,47.37,47.75,47.26,47.62,569800
15-Nov-06,47.46,47.75,47.13,47.32,771700
14-Nov-06,47.58,47.66,47.15,47.58,605900
13-Nov-06,47.70,47.97,47.38,47.56,467400
10-Nov-06,47.31,47.75,47.09,47.68,471200
9-Nov-06,47.57,47.64,47.10,47.21,476700
8-Nov-06,47.23,47.71,46.72,47.52,453900
7-Nov-06,47.25,47.47,47.15,47.25,712000
6-Nov-06,46.94,47.41,46.79,47.15,576800
3-Nov-06,46.88,47.04,46.63,46.79,593200
2-Nov-06,46.59,46.89,46.34,46.88,607300
1-Nov-06,46.76,46.91,46.49,46.56,851000
31-Oct-06,46.72,46.83,46.44,46.71,721900
30-Oct-06,46.28,46.69,46.10,46.60,687700
27-Oct-06,46.55,46.69,46.08,46.26,1016500
26-Oct-06,46.42,46.86,46.36,46.64,720000
25-Oct-06,46.26,46.59,45.83,46.44,1157800
24-Oct-06,46.90,46.94,45.83,46.32,846400
23-Oct-06,46.20,47.06,46.05,46.90,1207400
20-Oct-06,46.80,46.83,46.12,46.33,797900
19-Oct-06,46.95,47.10,46.51,46.66,866200
18-Oct-06,46.76,47.07,46.48,47.00,792800
17-Oct-06,45.72,46.65,45.72,46.61,579600
16-Oct-06,46.64,46.87,46.50,46.60,445300
13-Oct-06,46.15,46.77,46.10,46.65,1088500
12-Oct-06,45.94,46.20,45.69,46.08,676200
11-Oct-06,45.83,46.00,45.45,45.75,677400
10-Oct-06,45.70,45.99,45.48,45.86,471500
9-Oct-06,45.58,45.70,45.27,45.60,501600
6-Oct-06,45.31,45.72,45.12,45.58,691000
5-Oct-06,44.85,45.36,44.69,45.26,538600
4-Oct-06,44.50,45.00,44.43,45.00,516400
3-Oct-06,44.53,45.00,44.19,44.56,427300
2-Oct-06,44.53,44.83,44.24,44.47,382600
29-Sep-06,44.55,44.76,44.36,44.37,583800
28-Sep-06,44.68,44.70,44.34,44.60,543000
27-Sep-06,44.76,45.12,44.61,44.76,409000
26-Sep-06,44.70,44.97,44.52,44.87,704400
25-Sep-06,44.55,45.02,44.34,44.80,562400
22-Sep-06,44.75,44.75,44.11,44.38,401600
21-Sep-06,44.91,45.02,44.48,44.63,653300
20-Sep-06,44.50,45.03,44.45,44.91,750600
19-Sep-06,44.30,44.49,44.15,44.36,924400
18-Sep-06,44.75,44.75,44.26,44.40,884500
15-Sep-06,44.40,44.48,44.04,44.40,1216900
14-Sep-06,44.22,44.55,44.07,44.40,789400
13-Sep-06,44.09,44.33,43.81,44.20,581600
12-Sep-06,44.10,44.21,43.70,44.03,752500
11-Sep-06,43.92,44.17,43.71,44.07,514700
8-Sep-06,43.64,44.13,43.37,43.96,523800
7-Sep-06,43.74,43.78,43.39,43.50,508200
6-Sep-06,43.81,43.98,43.59,43.70,521400
5-Sep-06,44.00,44.12,43.75,44.00,534700
1-Sep-06,43.88,43.97,43.57,43.92,1063700
31-Aug-06,43.41,43.76,43.16,43.59,742000
30-Aug-06,43.09,43.53,43.05,43.49,525100
29-Aug-06,42.71,43.11,42.61,43.03,570100
28-Aug-06,42.34,42.77,42.30,42.63,389600
25-Aug-06,42.17,42.63,42.13,42.32,313000
24-Aug-06,42.22,42.48,42.08,42.29,374600
23-Aug-06,42.08,42.38,42.01,42.08,263300
22-Aug-06,42.16,42.22,41.88,42.18,509000
21-Aug-06,42.30,42.48,42.13,42.41,407000
18-Aug-06,42.55,42.59,42.21,42.43,444300
17-Aug-06,42.34,42.64,42.05,42.44,657200
16-Aug-06,42.72,42.84,42.35,42.40,737200
15-Aug-06,42.55,42.93,42.55,42.85,613000
14-Aug-06,42.30,42.78,42.16,42.20,536000
11-Aug-06,42.19,42.24,41.90,41.98,304100
10-Aug-06,41.75,42.44,41.71,42.26,791200
9-Aug-06,42.01,42.13,41.58,41.62,558500
8-Aug-06,42.19,42.28,41.67,41.79,500800
7-Aug-06,41.95,42.15,41.79,41.91,718300
4-Aug-06,42.03,42.35,41.80,42.06,856000
3-Aug-06,41.27,42.07,41.26,41.77,1127000
2-Aug-06,41.23,41.76,41.13,41.60,741200
1-Aug-06,41.25,41.53,41.11,41.13,706300
31-Jul-06,41.39,41.55,41.21,41.32,720700
28-Jul-06,41.30,41.79,41.25,41.53,578900
27-Jul-06,41.20,41.48,41.19,41.24,947500
26-Jul-06,41.25,41.45,40.99,41.18,992300
25-Jul-06,41.30,41.57,41.01,41.24,1206100
24-Jul-06,40.90,41.67,40.88,41.51,674100
21-Jul-06,41.27,41.29,40.83,41.09,758100
20-Jul-06,41.10,41.30,40.94,41.01,936100
19-Jul-06,40.99,41.55,40.99,41.19,828100
18-Jul-06,40.85,41.04,40.38,40.86,662400
17-Jul-06,40.75,41.10,40.62,40.87,476900
14-Jul-06,40.72,40.90,40.58,40.77,801900
13-Jul-06,41.09,41.31,40.76,40.84,841100
12-Jul-06,41.58,41.75,41.17,41.28,590300
11-Jul-06,41.15,41.70,41.01,41.68,600600
10-Jul-06,41.21,41.40,41.01,41.25,501700
7-Jul-06,41.38,41.48,41.01,41.18,571700
6-Jul-06,40.98,41.50,40.95,41.20,436000
5-Jul-06,41.35,41.35,40.82,41.09,719200
3-Jul-06,41.42,41.62,41.24,41.60,191400
30-Jun-06,41.87,41.87,41.18,41.30,1196900
29-Jun-06,41.40,41.89,41.30,41.89,1170000
28-Jun-06,41.25,41.37,40.99,41.26,576800
27-Jun-06,41.01,41.37,40.90,41.15,621800
26-Jun-06,41.18,41.44,40.90,41.14,453100
23-Jun-06,40.95,41.60,40.95,41.27,467900
22-Jun-06,41.47,41.48,40.90,41.27,620800
21-Jun-06,41.23,41.79,41.18,41.61,547000
20-Jun-06,41.64,41.73,41.21,41.32,642000
19-Jun-06,41.83,41.85,41.37,41.50,1086000
16-Jun-06,41.50,41.95,41.42,41.82,1397200
15-Jun-06,41.15,41.80,40.91,41.69,873200
14-Jun-06,40.32,40.68,40.27,40.68,921400
13-Jun-06,40.34,40.90,40.21,40.35,929500
12-Jun-06,40.86,40.88,40.31,40.34,781200
9-Jun-06,40.75,40.95,40.40,40.62,641100
8-Jun-06,40.56,41.00,40.18,40.85,1052700
7-Jun-06,40.82,40.99,40.56,40.64,997800
6-Jun-06,40.57,40.86,40.21,40.72,622400
5-Jun-06,41.07,41.15,40.38,40.41,606600
2-Jun-06,41.45,41.90,40.88,41.14,628200
1-Jun-06,40.87,41.46,40.58,41.40,695700
31-May-06,40.77,41.18,40.46,40.78,1040500
30-May-06,41.04,41.14,40.70,40.73,368400
26-May-06,41.30,41.44,40.96,41.21,454200
25-May-06,41.19,41.42,40.99,41.23,621300
24-May-06,41.20,41.44,40.76,41.23,816000
23-May-06,41.26,41.54,40.94,41.04,993200
22-May-06,41.35,41.81,41.24,41.25,953400
19-May-06,41.74,41.94,41.34,41.58,643700
18-May-06,42.08,42.31,41.55,41.64,591600
17-May-06,42.20,42.74,42.01,42.11,1315300
16-May-06,42.72,42.75,42.25,42.50,774000
15-May-06,42.77,43.09,42.38,42.78,486600
12-May-06,42.83,43.09,42.64,42.71,772700
11-May-06,43.08,43.20,42.64,42.86,708700
10-May-06,43.27,43.40,43.05,43.16,634200
9-May-06,43.50,43.53,43.16,43.41,932900
8-May-06,43.60,43.70,43.26,43.30,665100
5-May-06,43.06,43.59,42.85,43.48,1321300
4-May-06,42.71,43.09,42.65,42.80,693600
3-May-06,42.33,42.85,42.32,42.71,1041500
2-May-06,42.13,42.50,41.93,42.29,1286200
1-May-06,41.89,42.32,41.83,42.07,884500
28-Apr-06,42.01,42.14,41.78,41.85,917600
27-Apr-06,42.26,42.51,42.00,42.01,1034800
26-Apr-06,42.38,42.66,42.08,42.28,1186900
25-Apr-06,42.77,43.00,42.26,42.50,2251700
24-Apr-06,42.45,42.90,42.21,42.33,758800
21-Apr-06,42.68,42.69,42.23,42.45,810800
20-Apr-06,42.41,42.95,42.36,42.48,828700
19-Apr-06,42.59,42.67,42.37,42.46,831900
18-Apr-06,42.73,42.95,42.47,42.56,1938900
