Date,Open,High,Low,Close,Volume
29-Dec-06,7.19,7.37,7.05,7.08,3273530
28-Dec-06,7.12,7.24,7.12,7.21,2143100
27-Dec-06,7.18,7.30,7.08,7.14,2590634
26-Dec-06,6.98,7.22,6.93,7.19,3054637
22-Dec-06,7.11,7.13,6.95,6.96,2240405
21-Dec-06,7.20,7.21,7.02,7.13,4914212
20-Dec-06,7.39,7.40,7.11,7.14,8783146
19-Dec-06,7.45,7.47,7.03,7.04,7480277
18-Dec-06,7.94,7.97,7.53,7.53,9004730
15-Dec-06,7.59,7.93,7.59,7.86,7416039
14-Dec-06,7.48,7.60,7.41,7.50,4530127
13-Dec-06,7.48,7.55,7.35,7.49,4101072
12-Dec-06,7.52,7.63,7.36,7.44,4692044
11-Dec-06,7.45,7.58,7.37,7.54,3784540
8-Dec-06,7.47,7.64,7.33,7.47,1951843
7-Dec-06,7.50,7.68,7.46,7.51,2778041
6-Dec-06,7.50,7.73,7.49,7.49,4202385
5-Dec-06,7.50,7.66,7.42,7.53,5102370
4-Dec-06,7.17,7.50,7.14,7.49,4265305
1-Dec-06,7.21,7.34,7.01,7.12,2986021
30-Nov-06,6.92,7.30,6.89,7.24,5620734
29-Nov-06,6.85,7.00,6.83,6.94,3216976
28-Nov-06,6.88,6.89,6.63,6.80,2953016
27-Nov-06,6.98,7.06,6.85,6.88,2473724
24-Nov-06,7.13,7.18,7.02,7.04,1234681
22-Nov-06,6.94,7.16,6.90,7.13,3306244
21-Nov-06,6.96,7.01,6.87,6.88,2235708
20-Nov-06,6.79,7.00,6.76,6.98,3558740
17-Nov-06,7.00,7.01,6.81,6.82,3970178
16-Nov-06,7.00,7.12,6.93,7.04,3043894
15-Nov-06,6.98,7.16,6.92,6.99,4841396
14-Nov-06,6.70,7.00,6.67,7.00,3906297
13-Nov-06,6.55,6.74,6.55,6.71,3932339
10-Nov-06,6.55,6.80,6.52,6.76,2404453
9-Nov-06,6.74,6.80,6.47,6.58,3749435
8-Nov-06,6.63,6.73,6.55,6.68,3790545
7-Nov-06,6.82,6.90,6.71,6.73,4312240
6-Nov-06,6.68,6.86,6.65,6.80,3015659
3-Nov-06,6.75,6.85,6.58,6.65,3809466
2-Nov-06,6.50,6.75,6.35,6.68,8458391
1-Nov-06,6.63,6.72,6.25,6.30,5000658
31-Oct-06,6.72,6.88,6.52,6.63,2242393
30-Oct-06,6.53,6.73,6.40,6.70,2642422
27-Oct-06,6.65,6.70,6.52,6.57,2764663
26-Oct-06,6.70,6.85,6.60,6.74,3172209
25-Oct-06,6.57,6.92,6.55,6.73,4203445
24-Oct-06,6.77,6.85,6.56,6.57,3629871
23-Oct-06,6.73,6.84,6.66,6.78,2482458
20-Oct-06,6.89,6.89,6.75,6.78,2034197
19-Oct-06,6.89,6.96,6.80,6.88,2424048
18-Oct-06,6.91,7.15,6.85,6.93,5770488
17-Oct-06,7.19,7.20,6.92,7.09,5359145
16-Oct-06,7.09,7.31,7.02,7.21,5163337
13-Oct-06,6.85,7.18,6.77,7.11,6782602
12-Oct-06,6.90,6.93,6.81,6.84,4480209
11-Oct-06,6.78,6.98,6.59,6.86,9109515
10-Oct-06,7.01,7.04,6.76,6.86,4941149
9-Oct-06,6.96,7.04,6.84,7.04,3474894
6-Oct-06,6.97,6.99,6.82,6.96,4560035
5-Oct-06,6.88,7.06,6.85,7.02,5259580
4-Oct-06,6.82,7.04,6.75,6.99,14214429
3-Oct-06,6.77,7.21,6.65,6.85,35503790
2-Oct-06,5.20,5.21,5.01,5.06,4613931
29-Sep-06,5.35,5.42,5.17,5.19,3119355
28-Sep-06,5.31,5.45,5.16,5.37,3389057
27-Sep-06,5.46,5.58,5.28,5.30,4058127
26-Sep-06,5.54,5.61,5.44,5.48,5039285
25-Sep-06,5.43,5.59,5.30,5.52,3530307
22-Sep-06,5.31,5.41,5.22,5.33,4488620
21-Sep-06,5.60,5.60,5.30,5.34,4824949
20-Sep-06,5.40,5.80,5.36,5.74,7693253
19-Sep-06,5.34,5.50,5.28,5.35,4368191
18-Sep-06,5.37,5.40,5.26,5.29,6874885
15-Sep-06,5.46,5.49,5.35,5.38,9909428
14-Sep-06,4.85,5.40,4.83,5.31,9725622
13-Sep-06,4.98,5.08,4.86,4.88,3668745
12-Sep-06,4.74,4.98,4.74,4.98,2806520
11-Sep-06,4.73,4.79,4.55,4.77,2986148
8-Sep-06,4.72,4.79,4.69,4.77,1674941
7-Sep-06,4.65,4.77,4.52,4.71,3459599
6-Sep-06,5.05,5.06,4.64,4.65,4673639
5-Sep-06,4.90,5.10,4.82,5.10,3144373
1-Sep-06,4.67,5.00,4.58,4.91,4019654
31-Aug-06,4.73,4.75,4.60,4.63,2796074
30-Aug-06,4.76,4.78,4.63,4.72,2982538
29-Aug-06,4.62,4.76,4.51,4.74,3563773
28-Aug-06,4.55,4.62,4.49,4.60,1860014
25-Aug-06,4.37,4.54,4.37,4.52,3104187
24-Aug-06,4.35,4.39,4.28,4.38,2058959
23-Aug-06,4.48,4.55,4.32,4.35,2890965
22-Aug-06,4.52,4.59,4.45,4.49,2141363
21-Aug-06,4.62,4.62,4.46,4.55,1547187
18-Aug-06,4.65,4.69,4.50,4.65,2491473
17-Aug-06,4.65,4.78,4.59,4.65,3424255
