Date,Open,High,Low,Close,Volume
29-Dec-06,18.49,18.58,18.39,18.40,501500
28-Dec-06,18.54,18.59,18.47,18.57,748700
27-Dec-06,18.50,18.60,18.48,18.58,517900
26-Dec-06,18.32,18.55,18.30,18.54,1034100
22-Dec-06,18.47,18.48,18.25,18.31,933100
21-Dec-06,18.46,18.51,18.35,18.41,638800
20-Dec-06,18.51,18.55,18.35,18.41,1779400
19-Dec-06,18.34,18.58,18.32,18.53,1695200
18-Dec-06,18.63,18.63,18.29,18.46,1214500
15-Dec-06,18.56,18.67,18.50,18.50,2025600
14-Dec-06,18.65,18.72,18.59,18.63,2529800
13-Dec-06,18.30,18.82,18.21,18.67,2902500
12-Dec-06,18.17,18.28,18.07,18.13,1184500
11-Dec-06,18.21,18.31,18.17,18.19,1314500
8-Dec-06,18.17,18.41,18.08,18.28,1601300
7-Dec-06,18.41,18.45,18.16,18.16,1299600
6-Dec-06,18.09,18.27,18.01,18.22,1592700
5-Dec-06,18.10,18.26,18.05,18.25,2174900
4-Dec-06,17.95,18.29,17.93,18.16,1338400
1-Dec-06,18.16,18.21,17.84,17.94,2036300
30-Nov-06,18.20,18.24,18.08,18.12,1136600
29-Nov-06,18.24,18.25,18.09,18.19,855100
28-Nov-06,18.07,18.27,18.07,18.26,2529100
27-Nov-06,18.34,18.41,18.13,18.16,4631800
24-Nov-06,18.30,18.42,18.27,18.33,252600
22-Nov-06,18.52,18.66,18.47,18.65,790100
21-Nov-06,18.32,18.37,18.18,18.22,691600
20-Nov-06,18.19,18.38,18.19,18.32,1521300
17-Nov-06,18.25,18.28,18.09,18.17,1603900
16-Nov-06,18.42,18.46,18.18,18.45,2451000
15-Nov-06,18.00,18.41,18.00,18.41,2563700
14-Nov-06,17.86,18.01,17.62,18.01,2371700
13-Nov-06,17.52,17.76,17.52,17.72,2280700
10-Nov-06,17.70,17.75,17.56,17.62,677000
9-Nov-06,17.74,17.90,17.62,17.65,2928400
8-Nov-06,17.47,17.79,17.45,17.70,2453000
7-Nov-06,17.53,17.91,17.49,17.72,3661000
6-Nov-06,17.09,17.35,17.06,17.27,1307500
3-Nov-06,17.03,17.08,16.91,17.01,750900
2-Nov-06,16.94,17.04,16.91,16.96,570800
1-Nov-06,17.35,17.35,16.93,16.95,788000
31-Oct-06,17.25,17.38,17.19,17.36,1837400
30-Oct-06,16.84,16.99,16.78,16.91,977100
27-Oct-06,17.00,17.04,16.75,16.80,1242700
26-Oct-06,16.92,16.96,16.76,16.96,983100
25-Oct-06,16.53,16.77,16.49,16.73,2249900
24-Oct-06,16.88,16.90,16.71,16.78,1142100
23-Oct-06,17.01,17.26,16.96,17.13,1051800
20-Oct-06,17.20,17.31,17.11,17.22,1127500
19-Oct-06,17.25,17.46,17.17,17.32,1320000
18-Oct-06,17.57,17.63,17.17,17.20,2113100
17-Oct-06,17.80,17.82,17.39,17.43,1381300
16-Oct-06,17.49,17.73,17.49,17.70,1569100
13-Oct-06,17.60,17.64,17.45,17.61,963000
12-Oct-06,17.57,17.74,17.40,17.73,1416100
11-Oct-06,16.86,17.49,16.84,17.38,1382900
10-Oct-06,17.03,17.05,16.89,16.97,469700
9-Oct-06,16.86,17.08,16.86,17.04,2000700
6-Oct-06,17.03,17.03,16.81,16.86,2185000
5-Oct-06,17.25,17.32,17.16,17.21,808200
4-Oct-06,17.17,17.43,17.14,17.41,801200
3-Oct-06,17.00,17.22,16.94,17.12,1067900
2-Oct-06,17.13,17.34,17.12,17.20,1896800
29-Sep-06,17.34,17.47,17.25,17.26,1138100
28-Sep-06,17.54,17.80,17.42,17.69,2283600
27-Sep-06,16.78,16.98,16.78,16.83,750000
26-Sep-06,16.93,17.00,16.81,16.97,1118100
25-Sep-06,16.61,16.85,16.37,16.82,848300
22-Sep-06,16.72,16.75,16.55,16.61,820800
21-Sep-06,16.97,17.02,16.81,16.87,737700
20-Sep-06,16.87,17.05,16.84,16.91,1619100
19-Sep-06,16.83,16.83,16.47,16.64,1191100
18-Sep-06,16.59,16.86,16.57,16.83,1293400
15-Sep-06,16.77,16.86,16.64,16.71,2743500
14-Sep-06,16.54,16.70,16.52,16.65,711700
13-Sep-06,16.84,16.95,16.81,16.89,794500
12-Sep-06,16.84,17.15,16.80,17.14,1902800
11-Sep-06,16.17,16.42,16.06,16.41,2676200
8-Sep-06,15.81,15.97,15.78,15.92,549300
7-Sep-06,15.81,16.00,15.75,15.81,879700
6-Sep-06,16.14,16.16,15.95,15.97,459500
5-Sep-06,16.17,16.43,16.13,16.40,900000
1-Sep-06,16.44,16.51,16.27,16.49,890800
31-Aug-06,16.63,16.64,16.37,16.49,931200
30-Aug-06,16.77,16.97,16.68,16.96,675900
29-Aug-06,16.57,16.81,16.44,16.80,849600
28-Aug-06,16.12,16.34,16.09,16.30,581800
25-Aug-06,15.92,16.06,15.89,16.00,486100
24-Aug-06,16.09,16.09,15.86,15.97,634000
23-Aug-06,16.07,16.15,15.82,15.88,823300
22-Aug-06,16.04,16.28,16.02,16.08,982000
21-Aug-06,16.32,16.33,16.14,16.25,1102100
18-Aug-06,16.51,16.62,16.30,16.60,1160100
17-Aug-06,16.34,16.68,16.32,16.38,943600
16-Aug-06,15.93,16.38,15.85,16.29,976600
15-Aug-06,15.70,15.94,15.63,15.85,1636400
14-Aug-06,15.01,15.17,14.95,14.96,531700
11-Aug-06,14.89,14.91,14.71,14.78,547500
10-Aug-06,15.02,15.25,15.01,15.16,521600
9-Aug-06,15.09,15.44,15.04,15.06,606300
8-Aug-06,14.90,15.09,14.82,14.85,492900
7-Aug-06,15.02,15.08,14.94,14.94,524400
4-Aug-06,15.19,15.29,15.01,15.06,908500
3-Aug-06,14.67,15.09,14.65,14.99,709600
2-Aug-06,14.80,14.95,14.80,14.88,470200
1-Aug-06,14.78,14.79,14.59,14.75,982600
31-Jul-06,14.91,15.00,14.84,14.96,529000
28-Jul-06,14.57,14.86,14.55,14.79,810200
27-Jul-06,14.77,14.87,14.58,14.64,1022400
26-Jul-06,14.62,14.95,14.59,14.86,914000
25-Jul-06,15.25,15.31,15.07,15.17,719900
24-Jul-06,15.20,15.38,15.15,15.36,981600
21-Jul-06,14.92,15.01,14.83,14.85,1165300
20-Jul-06,15.62,15.69,15.22,15.26,724300
19-Jul-06,15.15,15.68,15.14,15.53,1335000
18-Jul-06,14.86,14.89,14.58,14.85,1794100
17-Jul-06,14.63,14.76,14.58,14.63,521700
14-Jul-06,14.86,14.96,14.70,14.89,979500
13-Jul-06,14.82,14.99,14.71,14.80,783100
12-Jul-06,15.21,15.24,14.91,15.00,872200
11-Jul-06,15.19,15.55,15.14,15.48,981400
10-Jul-06,15.54,15.57,15.36,15.41,829900
7-Jul-06,15.75,15.88,15.58,15.63,1011600
6-Jul-06,16.01,16.19,15.99,16.11,409900
5-Jul-06,16.16,16.17,15.89,15.96,1197900
3-Jul-06,16.18,16.28,16.13,16.25,121800
30-Jun-06,16.08,16.15,15.96,16.07,570200
29-Jun-06,15.57,16.13,15.57,16.09,862000
28-Jun-06,15.51,15.65,15.39,15.65,1188600
27-Jun-06,15.58,15.66,15.32,15.38,1387200
26-Jun-06,15.65,15.76,15.63,15.76,584400
23-Jun-06,15.71,15.85,15.66,15.77,526500
22-Jun-06,15.81,15.88,15.67,15.80,596600
21-Jun-06,15.74,16.14,15.74,15.99,642100
20-Jun-06,15.69,15.81,15.60,15.65,549400
19-Jun-06,15.79,15.86,15.55,15.65,972700
16-Jun-06,15.63,15.70,15.36,15.48,1178900
15-Jun-06,15.59,15.84,15.54,15.75,911000
14-Jun-06,15.15,15.32,15.05,15.32,1336100
13-Jun-06,14.96,15.20,14.83,14.83,809900
12-Jun-06,15.29,15.35,15.07,15.08,715900
9-Jun-06,15.55,15.71,15.34,15.38,1156900
8-Jun-06,15.34,15.47,15.06,15.40,1337100
7-Jun-06,15.82,15.98,15.66,15.67,703400
6-Jun-06,15.98,16.02,15.68,15.86,774000
5-Jun-06,16.51,16.54,16.06,16.10,921400
2-Jun-06,16.72,16.76,16.40,16.60,457000
1-Jun-06,16.22,16.74,16.20,16.67,609800
31-May-06,16.31,16.40,16.21,16.40,1245200
30-May-06,16.32,16.35,16.05,16.06,675500
26-May-06,16.48,16.49,16.34,16.44,550100
25-May-06,16.47,16.53,16.36,16.47,614400
24-May-06,16.42,16.52,16.15,16.40,1408400
23-May-06,16.52,16.69,16.25,16.26,1207300
22-May-06,16.24,16.35,16.00,16.18,850000
19-May-06,16.29,16.51,16.12,16.46,1466100
18-May-06,16.67,16.79,16.25,16.42,1088800
17-May-06,16.96,17.09,16.34,16.58,1746300
16-May-06,17.38,17.40,17.03,17.14,916400
15-May-06,17.36,17.49,17.20,17.34,846100
12-May-06,17.54,17.57,17.25,17.32,955900
11-May-06,18.00,18.02,17.55,17.65,1164300
10-May-06,18.06,18.06,17.78,17.83,789700
9-May-06,18.28,18.28,18.08,18.12,869000
8-May-06,18.47,18.55,18.36,18.38,716200
5-May-06,18.46,18.51,18.34,18.47,710500
4-May-06,18.36,18.64,18.36,18.54,772700
3-May-06,18.39,18.43,18.28,18.42,853000
2-May-06,18.70,18.76,18.54,18.60,671400
1-May-06,18.25,18.57,18.14,18.17,547100
28-Apr-06,18.24,18.47,18.22,18.30,943300
27-Apr-06,18.59,18.79,18.45,18.68,913700
26-Apr-06,19.37,19.39,18.74,18.85,2136200
25-Apr-06,19.55,19.60,19.35,19.60,1379200
24-Apr-06,19.15,19.36,19.08,19.30,688500
21-Apr-06,19.25,19.25,19.01,19.08,1554100
20-Apr-06,19.06,19.23,19.03,19.21,1395500
19-Apr-06,18.70,18.97,18.63,18.88,945400
18-Apr-06,18.35,18.70,18.24,18.66,846000
17-Apr-06,18.38,18.58,18.26,18.28,572300
13-Apr-06,18.13,18.35,18.11,18.24,827600
12-Apr-06,18.25,18.45,18.25,18.38,533000
11-Apr-06,18.55,18.55,18.14,18.22,809500
10-Apr-06,18.73,18.75,18.54,18.60,543500
7-Apr-06,18.93,18.93,18.31,18.56,876800
6-Apr-06,18.88,19.04,18.82,19.00,826700
5-Apr-06,18.78,18.96,18.61,18.94,885400
4-Apr-06,18.73,18.99,18.72,18.85,1081900
3-Apr-06,18.46,18.73,18.43,18.55,631600
31-Mar-06,18.53,18.58,18.30,18.39,636700
30-Mar-06,18.40,18.49,18.28,18.43,895600
29-Mar-06,17.72,18.05,17.65,17.94,878100
28-Mar-06,17.89,17.94,17.55,17.66,688200
27-Mar-06,18.06,18.15,18.01,18.06,448900
24-Mar-06,18.15,18.29,18.02,18.29,442000
23-Mar-06,18.08,18.31,17.99,18.12,664500
22-Mar-06,17.78,17.93,17.72,17.85,553100
21-Mar-06,17.74,18.06,17.65,17.76,1111700
20-Mar-06,17.84,17.89,17.67,17.79,594500
17-Mar-06,17.69,17.88,17.63,17.79,1597100
16-Mar-06,17.58,17.64,17.33,17.33,975600
15-Mar-06,17.59,17.60,17.43,17.60,797600
14-Mar-06,16.88,17.40,16.88,17.39,897900
13-Mar-06,16.87,16.94,16.75,16.78,349100
10-Mar-06,16.80,16.96,16.72,16.86,855800
9-Mar-06,16.88,16.98,16.67,16.69,640400
8-Mar-06,16.71,16.99,16.67,16.88,714200
7-Mar-06,17.03,17.08,16.85,16.88,1381200
6-Mar-06,17.58,17.59,17.25,17.26,566300
3-Mar-06,17.41,17.77,17.41,17.59,848200
2-Mar-06,17.64,17.77,17.61,17.69,1150100
1-Mar-06,17.15,17.62,17.15,17.60,837100
28-Feb-06,17.04,17.14,16.90,16.95,811600
27-Feb-06,17.10,17.19,17.10,17.15,317400
24-Feb-06,17.08,17.25,17.03,17.09,561400
23-Feb-06,17.02,17.08,16.91,16.92,595900
22-Feb-06,16.98,17.27,16.93,17.22,721400
21-Feb-06,17.54,17.56,17.11,17.13,650900
17-Feb-06,17.73,17.74,17.61,17.64,581600
16-Feb-06,17.67,17.88,17.63,17.84,1005400
15-Feb-06,17.51,17.57,17.36,17.54,766900
14-Feb-06,17.61,17.87,17.54,17.84,583600
13-Feb-06,17.60,17.77,17.56,17.67,903600
10-Feb-06,18.01,18.01,17.72,17.89,805000
9-Feb-06,18.28,18.40,18.15,18.22,668800
8-Feb-06,18.09,18.23,17.96,18.23,497500
7-Feb-06,18.04,18.08,17.88,17.96,920000
6-Feb-06,17.78,17.92,17.74,17.91,834800
3-Feb-06,17.94,18.10,17.86,17.97,974700
2-Feb-06,18.35,18.41,18.13,18.20,805300
1-Feb-06,18.38,18.58,18.33,18.51,690000
31-Jan-06,18.50,18.52,18.32,18.43,1018700
30-Jan-06,18.65,18.72,18.46,18.56,937700
27-Jan-06,18.98,19.07,18.70,18.79,1075000
