Date,Open,High,Low,Close,Volume
29-Dec-06,17.04,17.11,16.91,16.95,2790300
28-Dec-06,17.15,17.22,17.10,17.10,1890700
27-Dec-06,17.11,17.24,17.07,17.18,2631000
26-Dec-06,17.07,17.15,17.02,17.09,1813800
22-Dec-06,17.16,17.18,17.05,17.11,1968700
21-Dec-06,17.10,17.29,17.08,17.13,3129000
20-Dec-06,17.22,17.25,16.98,17.00,3809900
19-Dec-06,17.03,17.24,17.00,17.22,2746100
18-Dec-06,17.02,17.19,16.92,17.03,3807300
15-Dec-06,17.17,17.20,16.98,17.10,4189700
14-Dec-06,16.99,17.22,16.88,17.17,2605400
13-Dec-06,17.03,17.15,17.00,17.03,2758100
12-Dec-06,16.99,17.19,16.94,17.08,3277400
11-Dec-06,16.95,17.25,16.89,16.99,4344000
8-Dec-06,16.83,17.03,16.81,16.98,2630100
7-Dec-06,16.83,16.98,16.82,16.82,2943700
6-Dec-06,16.73,16.98,16.42,16.87,4771000
5-Dec-06,16.66,16.81,16.62,16.72,3201700
4-Dec-06,16.45,16.72,16.41,16.65,3342200
1-Dec-06,16.45,16.50,16.20,16.39,4385100
30-Nov-06,16.60,16.67,16.36,16.50,3752300
29-Nov-06,16.45,16.64,16.39,16.63,2829100
28-Nov-06,16.26,16.49,16.09,16.45,4376600
27-Nov-06,16.50,16.60,16.26,16.34,4302400
24-Nov-06,16.58,16.74,16.58,16.62,1429600
22-Nov-06,16.59,16.85,16.53,16.74,3682800
21-Nov-06,16.85,16.85,16.63,16.63,3260900
20-Nov-06,16.92,17.01,16.75,16.78,4348500
17-Nov-06,17.04,17.14,16.99,17.14,3008500
16-Nov-06,16.98,17.19,16.92,17.12,2693100
15-Nov-06,16.75,16.98,16.75,16.93,4172700
14-Nov-06,16.86,16.88,16.62,16.75,7182100
13-Nov-06,16.84,17.00,16.82,16.89,2683400
10-Nov-06,16.91,16.92,16.68,16.90,3137100
9-Nov-06,16.96,17.06,16.90,16.91,3403600
8-Nov-06,16.92,17.00,16.82,16.99,4546700
7-Nov-06,16.75,16.96,16.72,16.91,5279900
6-Nov-06,16.62,16.84,16.62,16.75,3700500
