Date,Open,High,Low,Close,Volume
29-Dec-06,23.87,24.21,23.77,23.81,2882674
28-Dec-06,23.83,24.09,23.70,24.01,2732981
27-Dec-06,23.87,24.03,23.61,23.90,2514237
26-Dec-06,23.40,23.69,23.40,23.56,1816447
22-Dec-06,23.62,23.75,23.42,23.48,3579435
21-Dec-06,24.06,24.30,23.57,23.67,3728237
20-Dec-06,23.86,24.41,23.80,23.92,4126499
19-Dec-06,24.45,24.46,23.72,23.97,7398538
18-Dec-06,24.87,25.04,24.27,24.54,4666028
15-Dec-06,25.03,25.09,24.70,24.85,7166856
14-Dec-06,24.38,25.13,24.29,24.77,6772138
13-Dec-06,24.86,24.86,24.13,24.22,6854235
12-Dec-06,24.58,24.86,24.40,24.56,8206188
11-Dec-06,24.65,24.90,24.55,24.63,9548265
8-Dec-06,24.82,25.26,24.76,24.83,19740107
7-Dec-06,27.19,27.25,26.43,26.44,6326188
6-Dec-06,26.44,27.26,26.25,26.98,10035216
5-Dec-06,27.02,27.10,26.57,26.63,5372241
4-Dec-06,26.41,27.30,26.41,26.95,5315688
1-Dec-06,26.70,26.94,26.09,26.58,6546757
30-Nov-06,27.00,27.06,26.54,26.82,4637993
29-Nov-06,27.12,27.13,26.41,26.78,4485071
28-Nov-06,26.70,27.04,26.44,26.83,4344282
27-Nov-06,27.43,27.80,26.71,26.75,6136946
24-Nov-06,27.77,27.77,27.20,27.63,1626303
22-Nov-06,27.70,27.93,27.41,27.90,2785323
21-Nov-06,27.87,27.99,27.33,27.70,4763080
20-Nov-06,27.20,28.04,27.20,27.85,6706136
17-Nov-06,27.70,28.21,27.36,27.48,8013615
16-Nov-06,28.38,28.42,27.83,28.21,6270566
15-Nov-06,28.12,28.86,28.05,28.23,8187036
14-Nov-06,27.37,28.30,27.13,28.25,8367062
13-Nov-06,26.78,27.46,26.72,27.23,3922827
10-Nov-06,27.00,27.11,26.43,26.92,4539527
9-Nov-06,27.17,27.83,26.75,26.80,10965503
8-Nov-06,26.40,27.06,26.34,26.84,7589019
7-Nov-06,26.00,27.05,25.89,26.49,8142237
6-Nov-06,25.03,25.98,24.91,25.85,7637593
