Date,Open,High,Low,Close,Volume
29-Dec-06,72.40,72.74,71.68,71.95,7071400
28-Dec-06,72.27,73.14,72.10,72.67,7189400
27-Dec-06,71.58,72.60,71.12,72.14,6223500
26-Dec-06,71.45,72.04,70.94,71.69,5815300
22-Dec-06,72.00,72.28,71.05,71.05,6016300
21-Dec-06,72.58,72.83,71.44,72.07,9525400
20-Dec-06,73.67,73.67,72.49,72.50,9716700
19-Dec-06,72.00,73.24,70.79,73.03,14317800
18-Dec-06,74.49,74.89,72.19,72.50,19647600
15-Dec-06,73.44,73.52,72.41,72.77,13410200
14-Dec-06,71.90,73.84,71.33,73.07,15777600
13-Dec-06,70.85,71.62,70.56,71.00,9248400
12-Dec-06,70.90,71.07,70.12,70.60,10392100
11-Dec-06,70.65,71.00,70.14,70.75,8970300
8-Dec-06,70.30,71.38,70.13,71.04,14959500
7-Dec-06,69.20,70.25,68.59,69.69,15595700
6-Dec-06,68.00,69.88,67.96,68.89,17575300
5-Dec-06,68.08,68.63,67.06,68.09,13474000
4-Dec-06,67.37,67.44,66.54,67.26,8721200
1-Dec-06,66.90,67.48,66.05,67.37,9692800
30-Nov-06,66.68,67.66,66.32,67.30,13221600
29-Nov-06,65.27,67.11,65.22,66.45,12893200
28-Nov-06,64.45,65.58,64.36,64.91,9729200
27-Nov-06,64.48,64.99,64.15,64.19,7379000
24-Nov-06,64.38,65.02,64.25,64.29,2584100
22-Nov-06,64.69,65.00,63.60,64.49,10270700
21-Nov-06,63.30,64.56,63.16,64.32,12608800
20-Nov-06,62.15,63.58,62.00,62.82,9232500
17-Nov-06,61.60,62.94,61.56,62.70,10799800
16-Nov-06,64.50,64.55,62.22,62.27,12186000
15-Nov-06,63.46,64.42,63.18,63.98,8580400
14-Nov-06,63.60,63.84,63.07,63.46,8176400
13-Nov-06,62.20,63.77,62.10,63.07,9799900
10-Nov-06,63.19,63.44,62.57,63.09,6170500
9-Nov-06,63.00,64.24,62.74,63.31,14156400
8-Nov-06,60.90,62.72,60.76,62.37,15230300
7-Nov-06,61.48,61.48,60.54,60.99,8956800
6-Nov-06,61.10,61.76,60.83,61.05,11613100
3-Nov-06,60.14,61.44,60.13,60.97,10466500
2-Nov-06,59.50,60.09,59.03,59.70,9106600
1-Nov-06,60.30,60.74,59.08,59.70,12541800
31-Oct-06,59.73,60.35,58.83,60.24,16282500
30-Oct-06,60.56,60.59,59.41,59.80,12924400
27-Oct-06,62.00,62.18,61.15,61.19,8042700
26-Oct-06,63.26,63.29,61.74,62.20,9462500
25-Oct-06,61.15,63.20,61.15,62.75,13664000
24-Oct-06,60.20,61.68,60.15,61.40,11266700
23-Oct-06,60.22,60.82,59.85,60.71,9069000
20-Oct-06,61.50,61.67,60.42,60.86,9586300
19-Oct-06,60.51,61.39,60.13,61.13,8434400
18-Oct-06,60.85,61.44,59.99,60.33,10008100
17-Oct-06,61.40,61.40,60.17,60.80,9287400
16-Oct-06,59.81,61.15,59.67,61.09,9556100
13-Oct-06,59.16,60.66,59.16,60.03,11474200
12-Oct-06,57.83,59.07,57.74,58.81,13857300
11-Oct-06,57.80,58.34,57.30,57.63,9346500
10-Oct-06,57.39,58.44,57.25,58.18,10708700
9-Oct-06,58.65,58.80,57.34,57.47,8779500
6-Oct-06,57.90,58.32,57.08,58.01,10117300
5-Oct-06,57.43,58.40,57.33,57.88,16291200
4-Oct-06,56.13,56.78,54.90,56.78,20664600
3-Oct-06,57.75,57.75,55.67,56.03,17303500
2-Oct-06,59.72,60.20,58.54,58.55,9571000
29-Sep-06,59.00,59.75,58.55,59.53,8593900
28-Sep-06,59.35,59.73,58.56,58.93,12198500
27-Sep-06,59.00,59.55,58.09,59.10,15475600
26-Sep-06,57.50,58.47,57.15,58.45,13382100
25-Sep-06,57.35,58.00,56.55,57.31,16446100
22-Sep-06,58.75,58.83,57.21,58.04,8561200
21-Sep-06,57.50,58.77,57.50,58.21,12275700
20-Sep-06,58.27,58.31,57.03,57.25,14938100
19-Sep-06,59.62,59.84,57.98,58.30,12284800
18-Sep-06,58.55,59.74,58.32,59.07,10167700
15-Sep-06,58.50,58.84,58.03,58.10,13611500
14-Sep-06,59.50,59.96,58.00,58.44,14325000
13-Sep-06,58.36,59.65,58.14,59.16,12682300
12-Sep-06,58.95,59.42,57.94,58.14,13797500
11-Sep-06,59.75,59.82,58.26,58.80,17730900
8-Sep-06,61.38,61.98,60.15,60.34,11243600
7-Sep-06,61.55,62.15,60.82,61.52,11352400
6-Sep-06,63.70,63.71,61.63,61.77,13314000
5-Sep-06,64.05,64.54,63.62,64.28,6285300
1-Sep-06,64.00,64.25,63.45,64.24,5277600
31-Aug-06,63.46,63.75,62.91,63.43,7179300
30-Aug-06,64.76,64.84,62.55,63.50,11907300
29-Aug-06,65.59,65.60,64.46,64.69,8744100
28-Aug-06,65.75,66.27,65.57,65.70,4901900
25-Aug-06,66.30,67.01,66.00,66.30,4757600
24-Aug-06,65.64,66.20,65.55,65.90,6049600
23-Aug-06,66.95,67.19,65.75,65.99,5504800
22-Aug-06,66.70,67.17,66.66,67.09,6574000
21-Aug-06,66.75,67.13,66.65,66.87,8422000
18-Aug-06,66.37,66.74,65.83,66.40,6821100
17-Aug-06,66.03,66.60,65.64,66.28,7233400
16-Aug-06,67.18,67.74,66.13,66.70,6239800
15-Aug-06,67.90,67.90,66.41,66.97,5093200
14-Aug-06,68.05,68.08,66.32,66.82,6087800
11-Aug-06,67.70,68.47,67.20,68.38,5445000
10-Aug-06,68.50,68.91,67.61,68.10,6979800
9-Aug-06,68.39,69.72,68.10,68.90,8579700
8-Aug-06,67.25,68.57,67.20,67.63,7121400
7-Aug-06,68.85,69.00,67.30,67.61,9746200
4-Aug-06,69.50,69.68,67.92,68.52,5544600
3-Aug-06,68.47,69.56,68.38,68.78,6034600
2-Aug-06,69.11,70.75,68.91,69.03,10588600
1-Aug-06,68.46,68.92,68.11,68.67,6128900
31-Jul-06,68.21,69.36,67.68,68.64,6242000
28-Jul-06,67.88,68.22,67.02,67.95,9436300
27-Jul-06,69.45,69.85,67.75,68.01,9049900
26-Jul-06,67.70,69.93,67.10,68.60,13357700
25-Jul-06,66.45,67.59,66.05,67.45,8537000
24-Jul-06,64.35,66.37,63.93,65.78,8062000
21-Jul-06,65.04,65.05,63.45,63.63,8865000
20-Jul-06,65.89,66.35,64.40,64.43,7519100
19-Jul-06,65.38,66.18,64.79,65.89,10991600
18-Jul-06,65.74,66.00,64.50,65.42,8653000
17-Jul-06,66.60,67.21,64.55,65.15,11074400
14-Jul-06,67.70,67.89,66.26,67.45,8308100
13-Jul-06,68.35,68.63,66.86,67.08,8869900
12-Jul-06,68.25,69.00,67.84,67.95,9521000
11-Jul-06,67.80,68.18,67.18,67.91,6174100
10-Jul-06,67.18,68.14,66.60,67.34,6588100
7-Jul-06,68.00,68.97,67.02,67.19,9383200
6-Jul-06,67.60,68.48,67.42,67.57,10102200
5-Jul-06,66.41,67.92,65.92,67.57,11978900
3-Jul-06,66.28,67.02,65.99,66.82,3543500
30-Jun-06,66.11,66.64,65.23,65.53,6613100
29-Jun-06,64.50,66.00,64.44,65.97,9478000
28-Jun-06,63.30,64.36,62.96,64.14,8416400
27-Jun-06,62.23,64.09,62.23,62.75,11032000
26-Jun-06,61.05,62.31,60.64,62.10,6592900
23-Jun-06,61.00,62.23,61.00,61.26,7565100
22-Jun-06,60.20,60.93,59.56,60.76,8640500
21-Jun-06,59.10,60.60,58.80,59.85,10761000
20-Jun-06,59.80,59.95,58.62,58.80,10285100
19-Jun-06,61.16,61.17,59.03,59.20,9876900
16-Jun-06,61.12,61.75,60.20,61.17,11147700
15-Jun-06,59.93,62.00,59.81,61.75,12527500
14-Jun-06,57.90,59.48,57.85,59.46,11243600
13-Jun-06,59.33,59.90,57.66,57.91,15756900
12-Jun-06,60.73,61.30,59.53,59.63,9111800
9-Jun-06,61.35,61.88,60.27,60.57,9739000
8-Jun-06,59.98,61.16,58.76,61.09,19228200
7-Jun-06,61.88,62.04,60.48,60.52,12953500
6-Jun-06,62.49,62.90,61.52,61.90,12943500
5-Jun-06,65.25,65.38,62.54,62.54,11234100
2-Jun-06,64.25,64.90,63.46,64.51,7068100
1-Jun-06,62.60,64.00,62.37,63.70,8850500
31-May-06,62.10,63.33,61.76,63.29,9093900
30-May-06,64.05,64.24,61.95,61.98,8642800
26-May-06,63.00,63.71,62.28,63.46,7641000
25-May-06,61.81,63.41,61.42,62.75,13463900
24-May-06,62.10,62.34,60.52,61.15,15268700
23-May-06,63.60,64.97,62.33,62.70,11207000
22-May-06,62.03,63.24,61.02,62.57,11672300
19-May-06,62.44,63.52,61.15,62.72,11952200
18-May-06,63.50,63.65,62.42,62.44,9739100
17-May-06,64.65,65.43,62.87,63.51,12682900
16-May-06,64.00,65.71,63.75,64.64,11597600
15-May-06,64.30,64.54,62.65,63.52,13352800
12-May-06,66.50,66.70,65.04,65.19,9705200
11-May-06,68.28,68.53,66.71,66.88,8540800
10-May-06,66.84,67.95,66.57,67.71,7126100
9-May-06,67.09,67.94,66.80,67.17,7485800
8-May-06,65.87,67.13,65.52,66.97,9190000
5-May-06,67.25,67.72,66.58,66.85,8471700
4-May-06,66.85,67.50,65.19,66.55,10513600
3-May-06,69.17,69.21,66.90,67.50,8657100
2-May-06,68.35,69.40,68.02,69.18,7938000
1-May-06,67.43,68.97,67.40,67.80,8329900
28-Apr-06,66.77,68.22,66.63,66.90,11141300
27-Apr-06,66.20,66.75,64.69,66.19,14984800
26-Apr-06,67.50,69.08,67.01,67.15,12326000
25-Apr-06,70.60,71.25,68.12,68.25,14040800
24-Apr-06,72.10,72.29,69.84,69.84,11143100
21-Apr-06,70.10,72.50,70.10,72.50,11473900
20-Apr-06,70.25,70.90,69.00,69.86,11135200
19-Apr-06,69.50,71.01,69.50,70.78,9817900
18-Apr-06,69.15,70.81,68.98,70.64,11420300
17-Apr-06,68.18,68.72,67.56,68.33,7395600
13-Apr-06,67.00,67.66,66.55,67.14,5067000
12-Apr-06,67.11,68.09,67.01,67.33,7075600
11-Apr-06,67.75,68.19,67.07,67.36,10661200
10-Apr-06,66.43,67.62,66.25,66.70,8849600
7-Apr-06,66.60,67.16,65.51,65.96,8108800
6-Apr-06,67.00,68.10,66.82,67.25,11314700
5-Apr-06,65.45,66.75,64.78,66.56,12538300
4-Apr-06,64.13,65.40,64.13,65.15,9711100
3-Apr-06,63.95,65.37,63.73,64.41,11322400
31-Mar-06,64.06,64.07,62.84,63.15,10941200
30-Mar-06,64.75,65.55,64.35,64.48,8648400
29-Mar-06,64.20,65.04,63.99,64.80,7892300
