Date,Open,High,Low,Close,Volume
29-Dec-06,45.31,45.49,45.08,45.20,336800
28-Dec-06,45.33,45.73,45.26,45.30,293600
27-Dec-06,45.33,45.52,45.11,45.29,346600
26-Dec-06,44.92,45.32,44.87,45.14,351600
22-Dec-06,45.45,45.45,44.91,44.94,432300
21-Dec-06,45.44,45.56,45.06,45.38,620000
20-Dec-06,45.38,45.67,45.20,45.44,438300
19-Dec-06,44.85,45.40,44.76,45.39,860200
18-Dec-06,44.77,44.91,44.42,44.84,907300
15-Dec-06,45.02,45.02,44.53,44.77,2054500
14-Dec-06,44.98,45.38,44.95,45.14,662300
13-Dec-06,45.25,45.44,44.90,44.98,720700
12-Dec-06,45.22,45.43,44.98,45.17,677700
11-Dec-06,45.50,45.78,45.40,45.48,369600
8-Dec-06,45.31,45.57,45.14,45.52,419300
7-Dec-06,45.25,45.44,44.98,45.23,389400
6-Dec-06,45.30,45.48,45.00,45.31,542200
5-Dec-06,45.05,45.67,45.05,45.25,870600
4-Dec-06,44.31,45.40,44.27,44.95,765000
1-Dec-06,44.45,44.71,43.81,44.21,944100
30-Nov-06,44.50,44.69,44.27,44.35,1034200
29-Nov-06,44.95,45.17,44.03,44.52,1366500
28-Nov-06,45.35,45.47,44.96,45.11,577700
27-Nov-06,46.00,46.01,45.36,45.46,513000
24-Nov-06,46.00,46.20,45.95,46.00,162800
22-Nov-06,46.00,46.24,45.91,46.03,248600
21-Nov-06,45.72,46.40,45.70,46.19,613700
20-Nov-06,45.70,46.00,45.60,45.86,309500
17-Nov-06,45.72,45.85,45.38,45.79,491700
16-Nov-06,45.71,45.95,45.53,45.87,514900
15-Nov-06,45.79,45.84,45.61,45.70,609200
14-Nov-06,45.94,45.99,45.45,45.75,507900
13-Nov-06,45.10,45.85,44.98,45.73,525400
10-Nov-06,45.57,45.69,45.06,45.30,566900
9-Nov-06,46.15,46.15,45.53,45.58,468100
8-Nov-06,45.48,46.24,45.47,45.97,454900
7-Nov-06,45.87,46.11,45.67,45.77,615900
6-Nov-06,45.27,46.15,45.20,45.87,538900
3-Nov-06,45.45,45.71,45.11,45.24,440600
2-Nov-06,45.43,45.53,45.09,45.42,767700
1-Nov-06,45.35,45.69,45.34,45.44,476200
31-Oct-06,45.60,45.65,44.94,45.35,865300
30-Oct-06,45.10,45.61,44.98,45.55,607200
27-Oct-06,45.08,45.42,45.08,45.29,627600
26-Oct-06,45.05,45.15,44.79,45.04,728800
25-Oct-06,44.93,45.05,44.70,44.92,688000
24-Oct-06,44.85,45.01,44.61,44.86,619500
23-Oct-06,44.80,45.01,44.50,44.85,827900
20-Oct-06,44.99,45.48,44.71,44.98,739500
19-Oct-06,44.99,45.16,44.72,44.90,484500
18-Oct-06,44.66,45.02,44.49,44.89,703700
17-Oct-06,44.60,44.74,44.11,44.54,674300
16-Oct-06,44.25,44.86,44.21,44.82,677100
13-Oct-06,44.10,44.53,43.96,44.20,584100
12-Oct-06,44.15,44.74,44.00,44.47,516000
11-Oct-06,44.22,44.61,43.72,44.05,439500
10-Oct-06,44.35,44.47,43.90,44.47,524500
9-Oct-06,43.80,44.28,43.71,44.19,562500
6-Oct-06,44.02,44.24,43.76,43.92,841700
5-Oct-06,43.39,44.02,43.09,44.02,829000
4-Oct-06,42.39,43.39,42.35,43.39,959900
3-Oct-06,42.52,42.57,42.19,42.35,1140300
2-Oct-06,42.83,42.83,42.17,42.47,1031100
29-Sep-06,43.10,43.44,42.82,42.82,526100
28-Sep-06,43.40,43.40,42.97,43.22,483900
27-Sep-06,43.05,43.59,42.78,43.22,596800
26-Sep-06,42.64,43.35,42.64,43.11,466900
25-Sep-06,42.57,43.06,41.98,42.83,701900
22-Sep-06,42.55,42.90,42.45,42.76,519900
21-Sep-06,43.02,43.20,42.53,42.66,633000
20-Sep-06,42.34,43.00,42.22,42.92,666000
19-Sep-06,42.36,42.46,42.21,42.35,786100
18-Sep-06,41.99,42.72,41.87,42.26,703100
15-Sep-06,42.26,42.66,41.98,41.98,1124400
14-Sep-06,41.98,42.38,41.76,42.14,737500
13-Sep-06,41.83,42.27,41.77,41.95,881200
12-Sep-06,40.87,42.30,40.87,42.15,1084100
