Date,Open,High,Low,Close,Volume
29-Dec-06,77.01,77.24,76.20,76.63,12633200
28-Dec-06,76.77,77.44,76.65,77.33,10805800
27-Dec-06,76.30,77.00,76.01,76.96,10944200
26-Dec-06,75.51,76.25,75.40,76.05,11285700
22-Dec-06,76.00,76.24,75.29,75.41,12006300
21-Dec-06,76.09,76.55,75.16,75.87,17157200
20-Dec-06,76.85,76.99,75.74,76.08,17676000
19-Dec-06,75.30,77.31,74.90,76.99,22295200
18-Dec-06,77.26,77.26,75.36,75.51,22531700
15-Dec-06,78.95,79.00,77.13,77.30,37032200
14-Dec-06,77.51,79.00,77.25,78.73,18693100
13-Dec-06,76.45,77.41,75.94,77.36,20578600
12-Dec-06,75.31,76.40,75.31,76.25,18635700
11-Dec-06,75.25,75.84,74.82,75.36,18648200
8-Dec-06,76.20,76.42,75.44,75.50,16430700
7-Dec-06,76.30,76.70,75.28,75.71,27763200
6-Dec-06,77.82,78.20,76.25,76.31,30746400
5-Dec-06,78.11,78.52,77.47,78.06,20112200
4-Dec-06,77.20,77.80,76.51,77.77,19360500
1-Dec-06,76.78,77.50,75.81,77.20,21308600
30-Nov-06,76.42,77.37,76.05,76.81,27333100
29-Nov-06,74.30,76.44,74.17,76.03,24992500
28-Nov-06,72.65,74.25,72.65,74.16,19354000
27-Nov-06,72.29,73.18,72.14,72.47,18962300
24-Nov-06,71.90,72.82,71.85,72.38,5568700
22-Nov-06,73.02,73.53,72.12,72.91,11903100
21-Nov-06,72.77,73.53,72.49,73.39,13290100
20-Nov-06,72.55,73.26,72.30,72.43,18977200
17-Nov-06,71.95,73.18,71.76,73.08,25818000
16-Nov-06,74.95,74.97,72.61,72.67,22304400
15-Nov-06,74.00,74.93,74.00,74.80,20350000
14-Nov-06,74.43,74.66,73.75,74.45,17748400
13-Nov-06,74.10,74.85,73.87,74.43,17386600
10-Nov-06,74.55,74.80,74.05,74.42,18387700
9-Nov-06,74.20,74.80,73.65,74.61,21548900
8-Nov-06,72.53,74.20,72.23,74.13,22355800
7-Nov-06,72.91,73.19,72.18,72.53,20127600
6-Nov-06,72.16,73.05,71.90,72.91,17201800
3-Nov-06,71.44,72.39,71.33,72.15,25499400
2-Nov-06,70.71,71.36,70.43,71.19,20154500
1-Nov-06,71.58,71.75,70.27,71.06,18312600
31-Oct-06,70.69,71.48,70.01,71.42,20320000
30-Oct-06,71.15,71.58,70.51,70.84,17629300
27-Oct-06,71.46,72.13,71.28,71.46,19419100
26-Oct-06,72.00,72.33,70.66,71.62,26371500
25-Oct-06,69.72,71.40,69.36,71.01,25839700
24-Oct-06,69.67,70.23,69.58,69.89,19775700
23-Oct-06,68.85,69.92,68.72,69.92,17140000
20-Oct-06,70.01,70.02,69.33,69.55,21210800
