"","xi","GrantDate","PatentNo","MatchAsgName","comp"
"1",61.6076850891113,"2003-02-11",6518321,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"2",127.990936279297,"2003-01-07",6503956,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"3",63.8326377868652,"2003-02-04",6515034,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"4",123.135887145996,"2003-04-08",6544495,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"5",109.09049987793,"2003-03-11",6531515,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"6",21.7401733398438,"2003-04-01",6540903,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"7",21.7401733398438,"2003-04-01",6541524,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"8",117.111572265625,"2003-04-15",6547958,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"9",37.9693260192871,"2003-04-29",6555089,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"10",127.311050415039,"2003-05-20",6566411,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"11",69.9234313964844,"2003-08-12",6605206,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"12",140.95263671875,"2003-06-17",6579441,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"13",69.9234313964844,"2003-08-12",6605267,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"14",124.380233764648,"2003-09-16",6620401,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"15",135.558517456055,"2003-10-07",6630066,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"16",144.010375976562,"2003-09-09",6616830,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"17",143.161361694336,"2003-09-23",6623659,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"18",135.810134887695,"2003-09-30",6626122,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"19",45.7395668029785,"2003-10-14",6632415,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"20",45.7395668029785,"2003-10-14",6632416,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"21",45.7395668029785,"2003-10-14",6632417,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"22",142.49397277832,"2003-10-21",6635681,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"23",158.170547485352,"2003-12-02",6656342,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"24",78.7210311889648,"2004-01-13",6676923,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"25",78.7210311889648,"2004-01-13",6676732,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"26",156.322204589844,"2003-12-23",6667347,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"27",165.789962768555,"2004-03-02",6700027,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"28",177.348266601562,"2004-01-27",6682711,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"29",56.3119087219238,"2004-03-09",6703353,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"30",160.715866088867,"2004-02-03",6686511,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"31",171.412414550781,"2004-03-16",6706936,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"32",165.029373168945,"2004-02-17",6693138,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"33",56.3119087219238,"2004-03-09",6703535,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"34",56.3119087219238,"2004-03-09",6702935,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"35",86.0388565063477,"2004-04-20",6723889,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"36",185.705352783203,"2004-04-13",6720359,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"37",181.07600402832,"2004-05-04",6730236,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"38",90.8832092285156,"2004-05-11",6733742,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"39",90.8832092285156,"2004-05-11",6734329,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"40",89.1232376098633,"2004-06-01",6743290,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"41",89.1232376098633,"2004-06-01",6743962,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"42",60.2563285827637,"2004-07-27",6767372,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"43",60.2563285827637,"2004-07-27",6768035,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"44",179.557495117188,"2004-08-10",6774148,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"45",194.561721801758,"2004-09-28",6797154,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"46",207.418579101562,"2004-09-21",6793803,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"47",64.5563278198242,"2004-09-07",6787577,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"48",65.7828521728516,"2004-08-31",6783589,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"49",64.5563278198242,"2004-09-07",6787025,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"50",65.7828521728516,"2004-08-31",6783660,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"51",65.7828521728516,"2004-08-31",6784329,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"52",64.5563278198242,"2004-09-07",6787026,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"53",87.6003265380859,"2004-10-26",6808620,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"54",87.6003265380859,"2004-10-26",6810332,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"55",100.7294921875,"2004-11-02",6812370,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"56",208.570022583008,"2004-10-19",6806087,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"57",225.689895629883,"2004-10-05",6800101,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"58",100.7294921875,"2004-11-02",6812371,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"59",50.2309303283691,"2004-11-23",6820692,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"60",50.2309303283691,"2004-11-23",6821502,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"61",176.510971069336,"2004-11-30",6824574,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"62",50.2309303283691,"2004-11-23",6822006,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"63",17.0930595397949,"2004-11-23",6823297,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"64",100.546592712402,"2004-12-07",6827843,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"65",179.632537841797,"2004-12-14",6831202,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"66",81.9728012084961,"2005-01-11",6841062,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"67",124.416534423828,"2005-01-25",6846402,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"68",81.9728012084961,"2005-01-11",6841063,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"69",262.618347167969,"2005-02-01",6849774,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"70",81.9728012084961,"2005-01-11",6841711,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"71",124.416534423828,"2005-01-25",6846404,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"72",132.127395629883,"2005-03-01",6861569,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"73",235.854202270508,"2005-01-18",6844477,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"74",118.020156860352,"2005-04-19",6881323,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"75",229.9732,"2005-04-12",6878854,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
"76",118.0202,"2005-04-19",6881760,"CHEVRON USA INC","CONOCOPHILLIPS COMPANY"
