Date,Open,High,Low,Close,Volume
29-Dec-06,14.31,14.36,14.19,14.22,4429600
28-Dec-06,14.46,14.49,14.23,14.32,6334500
27-Dec-06,14.25,14.48,14.24,14.46,8504400
26-Dec-06,14.00,14.16,14.00,14.11,3744100
22-Dec-06,14.37,14.39,14.01,14.04,5824900
21-Dec-06,14.27,14.30,14.18,14.23,11442100
20-Dec-06,14.17,14.22,14.11,14.15,11342500
19-Dec-06,14.05,14.10,13.97,13.97,8133300
18-Dec-06,14.29,14.37,14.14,14.21,18487300
15-Dec-06,14.35,14.40,14.05,14.10,11488400
14-Dec-06,13.99,14.24,13.92,14.14,10572300
13-Dec-06,14.12,14.22,14.06,14.19,10439700
12-Dec-06,14.04,14.06,13.94,13.99,9965600
11-Dec-06,13.89,14.13,13.84,14.07,14484900
8-Dec-06,13.81,13.83,13.67,13.73,15251800
7-Dec-06,13.80,13.86,13.45,13.62,18353600
6-Dec-06,13.28,13.34,13.25,13.27,13888300
5-Dec-06,13.02,13.13,13.00,13.12,13432300
4-Dec-06,13.15,13.19,12.98,13.04,16656600
1-Dec-06,13.31,13.40,13.23,13.36,20450500
30-Nov-06,13.39,13.41,13.13,13.28,31590600
29-Nov-06,13.34,13.37,13.21,13.25,9021300
28-Nov-06,13.20,13.27,13.16,13.21,6634300
27-Nov-06,13.32,13.33,13.05,13.11,4466400
24-Nov-06,13.22,13.38,13.20,13.29,1393100
22-Nov-06,13.45,13.46,13.29,13.35,3887600
21-Nov-06,13.48,13.49,13.36,13.42,3244200
20-Nov-06,13.44,13.63,13.43,13.56,3678500
17-Nov-06,13.44,13.56,13.42,13.50,4744600
16-Nov-06,13.54,13.64,13.48,13.58,4081600
15-Nov-06,13.28,13.45,13.27,13.43,3334400
14-Nov-06,13.20,13.22,12.98,13.22,5235200
13-Nov-06,13.16,13.26,13.14,13.21,3301200
10-Nov-06,13.25,13.28,13.12,13.20,2878600
9-Nov-06,13.45,13.45,13.18,13.22,5498700
8-Nov-06,13.13,13.24,13.06,13.23,4356800
7-Nov-06,13.09,13.30,13.04,13.15,4389400
6-Nov-06,12.75,12.93,12.73,12.91,5537500
3-Nov-06,12.42,12.46,12.37,12.46,2696300
2-Nov-06,12.60,12.61,12.52,12.58,1889000
1-Nov-06,12.79,12.84,12.51,12.57,2763900
31-Oct-06,12.85,12.89,12.62,12.70,2463300
30-Oct-06,12.76,12.83,12.73,12.77,1983900
27-Oct-06,12.80,12.81,12.60,12.70,2742800
26-Oct-06,12.87,12.91,12.73,12.90,2755800
25-Oct-06,12.82,12.87,12.73,12.85,3008200
24-Oct-06,12.63,13.06,12.58,12.89,9693500
23-Oct-06,11.94,12.09,11.91,12.03,4193100
20-Oct-06,12.08,12.11,12.03,12.07,2384300
19-Oct-06,12.01,12.11,12.01,12.09,3527100
18-Oct-06,12.17,12.20,12.04,12.05,4083500
17-Oct-06,12.22,12.22,12.05,12.14,11704500
16-Oct-06,12.06,12.27,12.06,12.25,1432200
13-Oct-06,12.06,12.10,11.98,12.04,1069700
