Date,Open,High,Low,Close,Volume
29-Dec-06,35.66,36.21,35.65,35.75,28612200
28-Dec-06,35.30,35.66,35.25,35.50,12882200
27-Dec-06,35.05,35.50,35.01,35.42,18394800
26-Dec-06,34.96,35.15,34.87,35.01,11359200
22-Dec-06,34.99,35.45,34.85,34.98,15390600
21-Dec-06,34.98,35.65,34.85,35.17,38243500
20-Dec-06,35.13,35.45,34.93,34.95,32209100
19-Dec-06,35.39,35.45,34.83,34.99,40192800
18-Dec-06,35.75,35.95,35.28,35.47,37835600
15-Dec-06,35.62,36.00,35.56,35.66,46899300
14-Dec-06,35.55,35.79,35.43,35.66,19115500
13-Dec-06,35.80,35.89,35.35,35.55,19536900
12-Dec-06,35.20,35.66,35.08,35.64,23028900
11-Dec-06,34.88,35.33,34.80,35.18,16223400
8-Dec-06,34.44,35.01,34.38,34.97,15432700
7-Dec-06,36.87,35.00,34.60,34.63,15809300
6-Dec-06,34.68,34.81,34.25,34.78,22782100
5-Dec-06,34.17,34.68,34.07,34.68,20053300
4-Dec-06,34.39,34.55,34.09,34.24,28827500
1-Dec-06,33.95,34.10,33.74,34.00,17957100
30-Nov-06,33.47,34.20,33.40,33.91,26199500
29-Nov-06,33.09,33.97,33.09,33.50,35360500
28-Nov-06,32.60,33.01,32.51,32.82,22916200
27-Nov-06,32.51,33.15,32.50,32.68,30516300
24-Nov-06,32.67,32.94,32.44,32.67,9734300
22-Nov-06,32.66,32.81,32.47,32.67,16192900
21-Nov-06,33.17,33.25,32.63,32.75,22322000
20-Nov-06,33.04,33.64,33.00,33.21,19580200
17-Nov-06,32.30,33.29,32.30,33.20,25950600
16-Nov-06,32.36,32.73,32.16,32.40,20804700
15-Nov-06,32.79,33.02,31.75,32.46,38640800
14-Nov-06,33.07,33.30,32.56,32.96,22929400
13-Nov-06,33.05,33.48,32.97,33.06,17012200
10-Nov-06,33.70,33.70,32.69,33.05,26701800
9-Nov-06,34.32,34.34,33.35,33.42,46649300
8-Nov-06,34.27,34.56,34.03,34.37,37423200
7-Nov-06,34.30,34.50,34.20,34.30,17116300
6-Nov-06,33.73,34.43,33.72,34.30,20965600
3-Nov-06,34.04,34.10,33.46,33.72,29979800
2-Nov-06,33.95,34.12,33.71,34.02,24514100
1-Nov-06,34.49,34.50,33.72,33.76,26022900
31-Oct-06,34.10,34.31,33.57,34.25,24652500
30-Oct-06,34.23,34.40,33.85,33.92,21752100
27-Oct-06,34.40,34.45,34.13,34.22,17788800
26-Oct-06,34.35,34.70,34.17,34.40,23588200
25-Oct-06,34.66,34.79,34.20,34.33,20855100
24-Oct-06,34.65,35.00,34.21,34.73,20146100
23-Oct-06,34.50,34.85,34.03,34.71,30098600
20-Oct-06,33.98,34.76,33.50,34.44,25925300
19-Oct-06,33.30,33.97,33.25,33.75,25455300
18-Oct-06,33.25,33.40,32.61,32.94,23349000
17-Oct-06,32.85,33.06,32.60,33.06,16117100
16-Oct-06,33.46,33.47,32.84,32.99,19349800
13-Oct-06,33.60,33.67,33.16,33.60,51266800
12-Oct-06,33.00,33.61,32.98,33.60,28930500
11-Oct-06,32.77,33.16,32.66,32.96,47331600
10-Oct-06,32.25,32.81,32.21,32.77,29583300
9-Oct-06,32.05,32.41,31.82,32.18,16402600
6-Oct-06,31.91,32.13,31.57,31.78,18513900
5-Oct-06,32.55,32.55,31.87,31.93,23756900
4-Oct-06,32.61,32.93,32.32,32.72,27460100
3-Oct-06,32.35,32.73,32.22,32.55,18703100
2-Oct-06,32.56,32.93,32.19,32.23,19840800
29-Sep-06,32.37,32.57,32.10,32.56,23369900
28-Sep-06,32.57,32.59,32.17,32.37,54410600
27-Sep-06,33.30,33.58,32.37,32.57,22677900
26-Sep-06,33.58,33.64,33.10,33.35,21182900
25-Sep-06,33.23,33.76,33.10,33.49,26190900
22-Sep-06,32.38,33.03,32.28,32.90,21924500
21-Sep-06,32.07,32.62,31.98,32.28,32219700
20-Sep-06,31.68,32.17,31.42,32.06,17640100
19-Sep-06,31.41,31.59,31.23,31.44,12911400
18-Sep-06,31.94,31.94,31.36,31.41,16720100
15-Sep-06,32.35,32.35,31.71,31.86,17711100
14-Sep-06,31.92,32.34,31.90,32.25,22007000
13-Sep-06,31.97,32.06,31.67,31.86,16220400
12-Sep-06,31.60,32.14,31.57,31.90,20730500
11-Sep-06,31.40,31.78,31.29,31.60,13678300
8-Sep-06,31.35,31.58,31.09,31.35,7873500
7-Sep-06,31.57,31.60,31.13,31.28,10442200
6-Sep-06,31.67,31.81,31.49,31.56,10128000
5-Sep-06,31.76,31.78,31.35,31.71,10579000
1-Sep-06,31.33,31.82,31.25,31.61,12057200
31-Aug-06,31.28,31.37,31.06,31.13,9475600
30-Aug-06,31.30,31.41,31.14,31.19,10230400
29-Aug-06,30.97,31.30,30.86,31.27,9200600
28-Aug-06,30.67,31.03,30.54,30.97,9583600
25-Aug-06,30.30,30.72,30.30,30.63,7215800
24-Aug-06,30.61,30.67,30.45,30.47,9041900
23-Aug-06,30.58,30.71,30.32,30.48,7257200
22-Aug-06,30.57,30.83,30.52,30.55,10205200
21-Aug-06,30.55,30.69,30.52,30.56,8487900
18-Aug-06,30.45,30.88,30.28,30.51,14054400
17-Aug-06,30.25,30.48,30.10,30.45,9395200
16-Aug-06,30.40,30.40,30.24,30.25,8491800
15-Aug-06,30.40,30.50,30.14,30.36,10892800
14-Aug-06,30.46,30.65,29.92,29.99,12226700
11-Aug-06,30.27,30.52,30.00,30.22,9041100
10-Aug-06,30.00,30.24,29.82,30.22,17905400
9-Aug-06,30.91,31.16,30.16,30.24,22653000
8-Aug-06,30.85,30.89,30.56,30.71,14272900
7-Aug-06,30.84,31.14,30.55,30.79,11166900
4-Aug-06,30.90,31.08,30.75,30.97,18466200
3-Aug-06,30.33,30.94,30.26,30.90,28806400
2-Aug-06,30.00,30.59,29.93,30.58,17660900
1-Aug-06,30.20,30.21,29.42,29.76,19267800
31-Jul-06,29.87,30.07,29.58,29.99,17740500
28-Jul-06,29.72,30.40,29.70,30.06,23442400
27-Jul-06,29.50,30.09,29.46,29.68,22192800
26-Jul-06,28.97,29.70,28.76,29.50,26687000
25-Jul-06,28.00,29.77,28.00,28.95,44696200
24-Jul-06,27.40,27.97,27.31,27.78,14693000
21-Jul-06,27.37,27.62,27.31,27.34,11775800
20-Jul-06,27.47,27.76,27.24,27.30,11934000
19-Jul-06,27.10,27.58,27.04,27.47,12113000
18-Jul-06,26.75,27.08,26.67,26.99,11859000
17-Jul-06,26.58,26.80,26.58,26.75,12208700
14-Jul-06,26.53,26.79,26.47,26.58,17941700
13-Jul-06,27.16,27.26,26.35,26.56,20175100
12-Jul-06,27.34,27.59,27.11,27.16,24659600
11-Jul-06,27.39,27.48,27.17,27.24,25058400
10-Jul-06,27.82,27.97,27.38,27.38,27060100
7-Jul-06,27.64,27.74,27.47,27.74,14535200
6-Jul-06,27.60,27.70,27.45,27.66,13718600
5-Jul-06,28.00,28.15,27.87,27.90,18010000
3-Jul-06,28.10,28.10,27.83,27.93,6453500
30-Jun-06,27.71,27.96,27.71,27.89,17797400
29-Jun-06,27.42,27.79,27.42,27.70,17315500
28-Jun-06,27.27,27.44,27.24,27.41,14853800
27-Jun-06,27.38,27.49,27.29,27.35,9869100
26-Jun-06,27.32,27.53,27.19,27.33,11311200
23-Jun-06,27.15,27.61,27.05,27.37,10474500
22-Jun-06,27.34,27.44,27.13,27.29,14129500
21-Jun-06,27.58,27.60,27.20,27.33,22533100
20-Jun-06,27.84,28.01,27.55,27.58,20633100
19-Jun-06,27.82,28.03,27.79,27.84,19188200
16-Jun-06,27.73,27.90,27.66,27.79,19831300
15-Jun-06,27.22,27.75,27.19,27.73,25897200
14-Jun-06,26.97,27.19,26.91,27.17,17003200
13-Jun-06,26.66,27.13,26.59,27.02,23120700
12-Jun-06,26.69,27.09,26.65,26.66,15074400
9-Jun-06,26.55,26.85,26.43,26.62,11763100
8-Jun-06,26.67,26.96,26.15,26.58,26666900
7-Jun-06,26.80,26.91,26.58,26.59,12151800
6-Jun-06,26.60,27.08,26.50,26.73,20969200
5-Jun-06,26.65,26.97,26.57,26.60,12447800
2-Jun-06,26.95,26.96,26.47,26.73,13232100
1-Jun-06,26.35,26.95,26.24,26.91,28729500
31-May-06,25.85,26.07,25.68,26.06,17020800
30-May-06,26.45,26.45,25.80,25.84,16948000
26-May-06,25.86,26.28,25.82,26.23,11933700
25-May-06,25.55,25.71,25.40,25.70,11518400
24-May-06,25.32,25.53,25.20,25.46,13908500
23-May-06,25.02,25.56,25.01,25.25,13442300
22-May-06,25.29,25.64,25.11,25.24,18658900
19-May-06,25.00,25.45,24.87,25.28,21721400
18-May-06,25.05,25.19,24.72,24.74,16519700
17-May-06,25.67,25.68,24.91,25.10,17576100
16-May-06,25.84,25.89,25.59,25.77,8687600
15-May-06,25.69,25.84,25.50,25.79,12270200
12-May-06,26.11,26.14,25.62,25.62,12993700
11-May-06,26.17,26.31,25.93,26.11,15122800
10-May-06,26.31,26.38,26.03,26.17,11631000
9-May-06,26.14,26.34,26.05,26.31,10193700
8-May-06,26.10,26.25,25.95,26.14,12332200
5-May-06,26.14,26.15,25.87,25.97,10324600
4-May-06,26.20,26.20,25.85,25.92,10126000
3-May-06,26.16,26.23,25.87,25.99,11209000
2-May-06,26.33,26.34,26.12,26.16,11649800
1-May-06,26.39,26.46,26.10,26.16,10587900
28-Apr-06,26.38,26.45,26.12,26.21,14346800
27-Apr-06,26.16,26.46,26.00,26.38,13090900
26-Apr-06,25.77,26.35,25.70,26.16,23519000
25-Apr-06,25.97,26.04,25.45,25.60,24009900
24-Apr-06,25.35,25.56,25.15,25.53,15171200
21-Apr-06,25.54,25.65,25.30,25.35,15303100
20-Apr-06,25.75,25.78,25.34,25.34,15947100
19-Apr-06,25.80,26.08,25.50,25.75,13620600
18-Apr-06,25.55,26.02,25.45,25.94,15625700
17-Apr-06,25.60,25.72,25.34,25.43,7822400
13-Apr-06,25.58,25.68,25.44,25.58,13632500
12-Apr-06,26.00,26.00,25.48,25.62,14438600
11-Apr-06,25.98,26.12,25.54,25.78,16858800
10-Apr-06,26.16,26.19,25.93,26.03,10116200
7-Apr-06,26.46,26.53,26.11,26.16,22009100
6-Apr-06,26.75,26.96,26.33,26.45,17838200
5-Apr-06,26.98,27.19,26.98,27.09,18130000
4-Apr-06,27.01,27.25,26.96,27.12,10973300
3-Apr-06,27.23,27.24,26.93,26.95,15279600
31-Mar-06,27.03,27.29,27.02,27.04,14833800
30-Mar-06,27.26,27.37,27.00,27.02,17176500
29-Mar-06,27.04,27.41,27.04,27.26,12516300
28-Mar-06,27.25,27.40,26.94,27.02,17855100
27-Mar-06,27.37,27.42,27.28,27.31,18773000
24-Mar-06,27.10,27.40,27.08,27.37,28428200
23-Mar-06,26.92,27.01,26.90,27.00,23436300
22-Mar-06,26.32,26.95,26.32,26.92,17601400
21-Mar-06,26.82,26.86,26.59,26.72,16658800
20-Mar-06,27.16,27.16,26.70,26.82,14822800
17-Mar-06,27.20,27.25,26.87,27.00,21619700
16-Mar-06,27.18,27.35,26.88,27.11,18302200
15-Mar-06,27.24,27.35,27.00,27.31,9818400
14-Mar-06,27.12,27.41,27.08,27.32,19093600
13-Mar-06,27.24,27.39,27.07,27.12,21507700
10-Mar-06,26.99,27.25,26.81,27.23,29054900
9-Mar-06,26.80,27.14,26.78,26.95,20351500
8-Mar-06,26.75,26.82,26.34,26.79,21259700
7-Mar-06,27.02,27.02,26.11,26.53,40720900
6-Mar-06,27.34,27.70,26.78,27.02,62634900
3-Mar-06,28.19,28.20,27.85,27.99,10971000
2-Mar-06,28.09,28.39,27.96,28.28,14677300
1-Mar-06,27.60,28.18,27.60,28.09,14099800
28-Feb-06,27.65,27.77,27.54,27.59,10429500
27-Feb-06,27.52,27.98,27.48,27.77,11821200
24-Feb-06,27.96,28.07,27.42,27.57,13175100
23-Feb-06,28.14,28.22,27.75,27.94,11205500
22-Feb-06,28.37,28.37,28.06,28.25,9494100
21-Feb-06,28.25,28.47,28.13,28.15,13868500
17-Feb-06,28.50,28.55,28.17,28.28,15812700
16-Feb-06,28.50,28.65,28.22,28.45,14127900
15-Feb-06,28.12,28.39,27.93,28.32,14123800
14-Feb-06,27.66,28.82,27.66,28.29,23060000
13-Feb-06,27.60,27.82,27.45,27.65,16690800
10-Feb-06,27.03,27.62,27.01,27.48,16478500
9-Feb-06,27.30,27.39,27.02,27.13,14174200
8-Feb-06,26.93,27.14,26.67,27.13,13627900
7-Feb-06,27.12,27.21,26.77,26.92,14168300
6-Feb-06,26.80,27.12,26.74,27.05,17963200
3-Feb-06,26.52,26.93,26.40,26.79,21797800
2-Feb-06,26.75,26.76,26.30,26.52,14939000
1-Feb-06,26.00,26.61,25.89,26.55,18627000
31-Jan-06,26.06,26.21,25.87,25.95,16168800
30-Jan-06,25.87,26.16,25.85,26.05,13101900
27-Jan-06,25.62,26.00,25.52,25.89,16098700
26-Jan-06,25.39,25.66,25.26,25.51,15638100
25-Jan-06,24.53,25.23,24.52,25.21,15592400
