Date,Open,High,Low,Close,Volume
29-Dec-06,27.33,27.63,27.29,27.33,27134995
28-Dec-06,27.28,27.58,27.25,27.42,35987609
27-Dec-06,27.30,27.50,26.83,27.30,25685092
26-Dec-06,27.04,27.33,26.85,27.19,18187535
22-Dec-06,27.34,27.42,26.93,26.93,27400550
21-Dec-06,27.50,27.60,27.22,27.29,32555872
20-Dec-06,27.68,27.70,27.38,27.39,31902862
19-Dec-06,27.47,27.76,27.30,27.63,38617792
18-Dec-06,27.60,27.96,27.43,27.61,46261059
15-Dec-06,27.43,27.77,27.33,27.56,66989972
14-Dec-06,27.22,27.44,27.18,27.31,39515211
13-Dec-06,27.34,27.35,26.93,27.25,43193488
12-Dec-06,27.12,27.40,26.76,27.08,43371156
11-Dec-06,26.90,27.48,26.85,27.11,43098753
8-Dec-06,26.88,27.15,26.75,26.98,29499660
7-Dec-06,27.20,27.30,26.88,26.88,31421233
6-Dec-06,27.12,27.27,26.95,27.09,34111990
5-Dec-06,27.40,27.44,27.00,27.04,43089040
4-Dec-06,26.94,27.57,26.86,27.25,68516245
1-Dec-06,26.95,27.08,26.45,26.69,47018882
30-Nov-06,27.02,27.05,26.80,26.91,45972396
29-Nov-06,27.05,27.30,26.90,27.08,68147587
28-Nov-06,25.62,27.13,25.59,27.03,108758457
27-Nov-06,26.76,26.89,25.73,25.80,63834826
24-Nov-06,26.70,26.88,26.24,26.84,13489155
22-Nov-06,26.93,26.99,26.75,26.91,27149170
21-Nov-06,27.17,27.18,26.73,26.80,45044858
20-Nov-06,26.98,27.14,26.72,27.11,42399548
17-Nov-06,26.99,27.06,26.79,26.93,44489868
16-Nov-06,26.74,27.32,26.73,27.15,65712526
15-Nov-06,26.62,26.75,26.50,26.60,47338394
14-Nov-06,26.70,26.74,26.41,26.64,48242853
13-Nov-06,26.74,26.80,26.52,26.68,49381601
10-Nov-06,26.67,26.98,26.56,26.74,59184096
9-Nov-06,27.44,27.44,26.65,26.71,199589182
8-Nov-06,24.67,25.39,24.50,25.10,125507450
7-Nov-06,24.82,25.01,24.57,24.84,76113133
6-Nov-06,24.14,24.85,24.12,24.68,74562118
3-Nov-06,24.01,24.03,23.56,23.77,39373700
2-Nov-06,23.98,24.14,23.90,24.05,38779294
1-Nov-06,24.34,24.45,23.95,24.10,50212061
31-Oct-06,24.16,24.39,24.02,24.13,45231652
30-Oct-06,23.52,24.03,23.27,23.90,43635042
27-Oct-06,24.11,24.19,23.63,23.72,43013659
26-Oct-06,24.34,24.36,23.96,24.19,34283921
25-Oct-06,24.23,24.42,24.09,24.29,38945753
24-Oct-06,24.36,24.54,24.16,24.34,29855893
23-Oct-06,24.45,24.64,24.27,24.43,48564745
20-Oct-06,24.20,24.58,23.95,24.55,48075675
19-Oct-06,24.01,24.24,23.73,24.16,48363552
18-Oct-06,24.43,24.64,24.10,24.18,36313557
17-Oct-06,24.45,24.56,24.12,24.48,41024824
16-Oct-06,24.64,24.78,24.55,24.59,39471435
13-Oct-06,24.40,24.62,24.36,24.53,35915944
12-Oct-06,24.40,24.53,24.12,24.45,41543122
11-Oct-06,24.21,24.55,24.17,24.40,40335200
10-Oct-06,24.24,24.39,24.00,24.33,40805031
9-Oct-06,24.25,24.40,24.12,24.31,37621343
6-Oct-06,23.79,24.20,23.74,24.09,48921389
5-Oct-06,23.91,24.00,23.74,23.90,51197663
4-Oct-06,23.28,23.98,23.26,23.93,56164165
3-Oct-06,22.87,23.49,22.80,23.41,38231911
2-Oct-06,23.05,23.24,22.96,22.98,33250585
29-Sep-06,23.44,23.53,22.96,22.98,38182191
28-Sep-06,23.23,23.50,23.12,23.48,40107999
27-Sep-06,23.31,23.48,23.12,23.35,38438873
26-Sep-06,23.13,23.50,23.00,23.50,56996185
25-Sep-06,22.97,23.25,22.67,23.23,40263620
22-Sep-06,22.85,23.04,22.57,22.88,45429058
21-Sep-06,23.35,23.47,22.94,23.01,56257852
20-Sep-06,22.95,23.34,22.83,23.27,76493331
19-Sep-06,22.80,22.98,22.44,22.76,55691988
18-Sep-06,22.77,23.00,22.67,22.84,47057788
15-Sep-06,22.86,23.28,22.60,22.72,62805038
14-Sep-06,22.55,22.78,22.54,22.70,40388322
13-Sep-06,22.62,22.89,22.55,22.65,43517012
12-Sep-06,21.97,22.65,21.89,22.65,66068787
11-Sep-06,21.56,22.14,21.52,21.96,42629388
8-Sep-06,21.64,21.76,21.32,21.75,33304477
7-Sep-06,21.53,21.80,21.18,21.54,56158558
6-Sep-06,21.79,22.29,21.60,21.69,65591864
5-Sep-06,22.13,22.27,22.02,22.09,65446383
1-Sep-06,22.05,22.35,21.85,22.27,67310978
31-Aug-06,21.65,22.15,21.65,21.99,85464611
30-Aug-06,21.64,21.75,21.50,21.67,36126055
29-Aug-06,21.34,21.69,21.19,21.68,43577696
28-Aug-06,20.96,21.48,20.89,21.41,35103378
25-Aug-06,21.03,21.27,20.96,21.05,29006826
24-Aug-06,21.31,21.42,20.97,21.09,36286267
23-Aug-06,21.20,21.33,20.83,21.05,36781952
22-Aug-06,20.90,21.34,20.84,21.24,52521213
21-Aug-06,20.61,21.00,20.57,20.91,29109755
18-Aug-06,20.82,20.90,20.47,20.86,35122051
17-Aug-06,20.99,21.14,20.72,20.85,43866460
16-Aug-06,20.80,21.14,20.59,21.10,65322703
15-Aug-06,20.45,20.85,20.29,20.65,72490339
14-Aug-06,19.88,20.22,19.77,20.09,63896441
11-Aug-06,19.51,19.73,19.37,19.54,42210672
10-Aug-06,19.62,19.78,19.32,19.56,52254477
9-Aug-06,19.41,19.95,19.35,19.78,221613148
8-Aug-06,17.64,17.65,17.15,17.29,88583470
7-Aug-06,17.28,17.59,17.19,17.41,34431092
4-Aug-06,17.65,17.66,17.10,17.24,66839279
3-Aug-06,17.32,17.64,17.15,17.56,58679619
2-Aug-06,17.59,17.69,17.28,17.48,57825177
1-Aug-06,17.85,17.87,17.48,17.48,41104838
31-Jul-06,17.99,18.36,17.85,17.88,49212730
28-Jul-06,17.84,18.08,17.79,18.08,37834204
27-Jul-06,18.06,18.12,17.60,17.69,33205110
26-Jul-06,17.98,18.18,17.86,17.94,33598860
25-Jul-06,17.99,18.20,17.72,18.07,33636807
24-Jul-06,17.68,18.02,17.55,17.95,44068629
21-Jul-06,17.80,17.85,17.45,17.46,55748286
20-Jul-06,18.07,18.09,17.61,17.88,61537779
19-Jul-06,17.89,18.43,17.79,18.00,69143196
18-Jul-06,18.03,18.17,17.51,17.88,48082498
17-Jul-06,17.97,18.27,17.86,17.97,42147925
14-Jul-06,18.02,18.22,17.77,17.94,39858211
13-Jul-06,18.10,18.42,17.88,18.02,50040002
12-Jul-06,18.58,18.66,18.20,18.26,37847552
11-Jul-06,18.82,18.87,18.36,18.69,74699553
10-Jul-06,19.48,19.54,18.82,18.97,39286239
7-Jul-06,19.50,19.62,19.22,19.39,33783814
6-Jul-06,19.62,19.82,19.49,19.63,33579638
5-Jul-06,19.82,19.97,19.47,19.60,30724278
3-Jul-06,19.78,20.11,19.68,20.00,21909149
30-Jun-06,20.01,20.03,19.52,19.53,52881185
29-Jun-06,19.43,20.00,19.31,19.91,43747928
28-Jun-06,19.31,19.44,19.08,19.38,35238816
27-Jun-06,19.63,19.78,19.27,19.30,36313145
26-Jun-06,19.56,19.70,19.49,19.60,21107105
23-Jun-06,19.61,19.91,19.55,19.61,27524329
22-Jun-06,20.13,20.23,19.54,19.69,41660125
21-Jun-06,19.76,20.42,19.76,20.07,48814808
20-Jun-06,19.75,20.05,19.64,19.73,28933309
19-Jun-06,20.01,20.15,19.71,19.82,32760859
16-Jun-06,20.17,20.22,19.90,19.98,41171580
15-Jun-06,19.67,20.23,19.66,20.22,44788665
14-Jun-06,19.40,19.76,19.36,19.61,40554353
13-Jun-06,19.39,19.62,19.31,19.36,47899875
12-Jun-06,19.95,20.00,19.48,19.48,30475405
9-Jun-06,19.90,20.24,19.83,19.97,39833928
8-Jun-06,19.76,20.08,19.41,19.89,71683814
7-Jun-06,20.26,20.27,19.90,19.91,40725057
6-Jun-06,19.92,20.36,19.89,20.17,53469313
5-Jun-06,20.35,20.37,19.88,19.88,36229764
2-Jun-06,20.50,20.80,20.35,20.44,43053307
1-Jun-06,19.68,20.50,19.67,20.50,53319477
31-May-06,19.81,20.03,19.51,19.68,56982237
30-May-06,20.20,20.23,19.77,19.77,45867420
26-May-06,20.54,20.57,20.19,20.31,37766999
25-May-06,20.61,20.75,20.28,20.52,41845817
24-May-06,20.40,20.73,20.14,20.49,55182431
23-May-06,20.62,20.93,20.37,20.37,51076842
22-May-06,20.62,20.89,20.50,20.60,55277204
19-May-06,20.40,20.94,20.32,20.87,77040998
18-May-06,20.17,20.60,20.16,20.29,63571709
17-May-06,19.99,20.35,19.96,20.18,60262069
16-May-06,20.49,20.54,20.15,20.21,55091467
15-May-06,20.38,20.62,19.50,20.56,53759436
12-May-06,20.16,20.75,20.10,20.34,71810182
11-May-06,20.63,20.66,19.96,20.05,84844588
10-May-06,21.36,21.99,20.69,20.75,92992317
9-May-06,21.70,21.80,21.41,21.68,79610058
8-May-06,21.65,21.89,21.57,21.76,47327723
5-May-06,21.89,22.00,21.50,21.75,50528791
4-May-06,21.52,21.90,21.50,21.86,49847112
3-May-06,21.63,21.65,21.32,21.49,34848983
2-May-06,21.13,21.75,21.11,21.39,46478844
1-May-06,21.02,21.40,20.91,20.96,45707258
28-Apr-06,21.00,21.30,20.77,20.95,42943151
27-Apr-06,20.58,21.23,20.52,20.98,46861031
