Date,Open,High,Low,Close,Volume
29-Dec-06,34.39,34.47,33.51,33.55,580034
28-Dec-06,33.94,34.54,33.79,34.20,721276
27-Dec-06,33.43,33.98,33.43,33.94,343982
26-Dec-06,32.96,33.36,32.92,33.33,330387
22-Dec-06,33.03,33.26,32.84,32.93,448682
21-Dec-06,32.89,33.46,32.87,32.90,679594
20-Dec-06,32.74,32.85,32.30,32.50,482199
19-Dec-06,32.04,32.66,31.90,32.63,541372
18-Dec-06,32.26,32.56,32.17,32.26,442967
15-Dec-06,32.39,32.53,32.05,32.18,562391
14-Dec-06,31.36,32.29,31.36,32.23,703966
13-Dec-06,31.83,31.98,31.08,31.28,741453
12-Dec-06,31.96,32.15,31.55,31.63,892856
11-Dec-06,31.70,31.92,31.65,31.78,585790
8-Dec-06,31.55,31.89,31.38,31.69,731582
7-Dec-06,30.55,31.92,30.55,31.47,1329720
6-Dec-06,29.36,30.97,28.81,30.50,2634261
5-Dec-06,32.26,32.84,32.04,32.79,791534
4-Dec-06,32.10,32.31,31.89,32.00,693303
1-Dec-06,32.04,32.32,31.65,32.20,740543
30-Nov-06,32.03,32.13,31.86,31.95,434136
29-Nov-06,31.77,32.07,31.66,32.02,420428
28-Nov-06,31.83,32.06,31.19,31.65,688247
27-Nov-06,32.60,32.74,31.88,31.90,577975
24-Nov-06,32.62,33.38,32.08,32.74,215484
22-Nov-06,32.75,32.99,32.48,32.96,231153
21-Nov-06,32.46,33.49,31.89,32.86,783182
20-Nov-06,33.06,33.07,32.08,32.24,767653
17-Nov-06,33.00,33.08,32.56,33.07,357233
16-Nov-06,33.68,33.68,32.93,33.02,644612
15-Nov-06,33.02,33.53,32.97,33.35,543881
14-Nov-06,32.46,33.10,31.89,33.09,516534
13-Nov-06,32.34,32.54,32.13,32.34,573567
10-Nov-06,32.43,32.64,32.10,32.24,386690
9-Nov-06,32.30,32.76,32.07,32.30,650315
8-Nov-06,32.40,32.85,32.13,32.29,929946
7-Nov-06,31.77,33.52,31.57,32.68,1696130
6-Nov-06,31.18,31.89,30.65,31.52,992421
3-Nov-06,30.74,31.18,30.00,30.38,1357079
2-Nov-06,30.19,31.03,30.00,30.79,1928212
1-Nov-06,34.08,34.34,29.37,30.13,4254929
31-Oct-06,35.99,36.26,34.59,35.76,1441052
30-Oct-06,36.29,36.35,35.82,35.99,637746
27-Oct-06,36.80,36.91,36.10,36.29,734747
26-Oct-06,36.00,36.89,35.98,36.87,952923
25-Oct-06,35.50,35.97,35.37,35.97,752286
24-Oct-06,35.42,35.47,35.21,35.45,404228
23-Oct-06,35.38,35.90,35.12,35.39,697052
20-Oct-06,35.66,35.73,34.92,35.33,812028
19-Oct-06,35.10,35.67,35.07,35.63,727836
18-Oct-06,35.61,35.84,34.80,35.02,529718
17-Oct-06,35.44,35.65,35.00,35.31,632279
16-Oct-06,35.20,35.95,35.00,35.46,1010400
13-Oct-06,34.90,35.39,34.77,35.21,712080
12-Oct-06,34.49,34.95,34.49,34.90,634602
11-Oct-06,34.87,34.87,34.00,34.45,829504
10-Oct-06,34.99,35.01,34.59,34.98,602012
9-Oct-06,34.18,34.97,34.13,34.80,440702
6-Oct-06,34.77,34.90,34.15,34.35,591701
5-Oct-06,34.93,35.10,34.57,35.03,762438
4-Oct-06,34.49,34.81,34.09,34.80,941069
3-Oct-06,34.26,34.41,33.82,34.01,913628
2-Oct-06,34.16,35.21,33.77,34.19,1230733
