Date,Open,High,Low,Close,Volume
29-Dec-06,29.86,30.15,29.83,29.86,41754362
28-Dec-06,29.86,30.03,29.81,29.98,27572772
27-Dec-06,29.99,30.13,29.91,30.02,31250490
26-Dec-06,29.53,30.00,29.40,29.99,37102644
22-Dec-06,29.82,29.86,29.62,29.64,37972457
21-Dec-06,30.13,30.14,29.89,29.98,32272086
20-Dec-06,29.99,30.24,29.97,30.09,31811547
19-Dec-06,29.71,30.17,29.53,29.99,53831148
18-Dec-06,30.19,30.26,29.78,29.89,56990325
15-Dec-06,30.14,30.23,30.03,30.19,103648476
14-Dec-06,29.54,30.08,29.52,30.07,85875982
13-Dec-06,29.60,29.60,29.32,29.55,46016108
12-Dec-06,29.56,29.63,29.22,29.43,68871157
11-Dec-06,29.19,29.75,29.11,29.54,107728225
8-Dec-06,28.82,29.40,28.80,29.40,108868018
7-Dec-06,28.96,29.07,28.81,28.85,46832386
6-Dec-06,29.10,29.13,28.87,28.99,48588523
5-Dec-06,29.36,29.40,29.03,29.13,45614195
4-Dec-06,29.23,29.52,29.17,29.33,56459265
1-Dec-06,29.23,29.30,28.90,29.12,72261272
30-Nov-06,29.42,29.57,29.33,29.36,53362546
29-Nov-06,29.44,29.78,29.43,29.57,58777844
28-Nov-06,29.34,29.42,29.13,29.39,52796358
27-Nov-06,29.69,29.74,29.33,29.48,72724547
24-Nov-06,29.66,29.84,29.64,29.76,20470194
22-Nov-06,29.97,30.00,29.82,29.92,44137403
21-Nov-06,29.91,30.00,29.79,29.92,66467768
20-Nov-06,29.52,30.00,29.50,29.89,85734231
17-Nov-06,29.31,29.54,29.28,29.40,49359181
16-Nov-06,29.14,29.64,29.13,29.47,64331011
15-Nov-06,29.12,29.36,29.11,29.12,63990358
14-Nov-06,29.28,29.42,29.07,29.23,63016445
13-Nov-06,29.19,29.46,29.16,29.35,47278555
10-Nov-06,29.17,29.29,29.15,29.24,37856497
9-Nov-06,29.11,29.40,29.00,29.26,89414069
8-Nov-06,28.78,29.23,28.66,28.98,79153250
7-Nov-06,28.86,29.07,28.80,28.95,56516255
6-Nov-06,28.77,29.05,28.76,28.84,60454875
3-Nov-06,28.85,28.93,28.61,28.73,41127749
2-Nov-06,28.71,28.86,28.58,28.77,58674657
1-Nov-06,28.78,28.99,28.70,28.81,75955283
31-Oct-06,28.66,28.85,28.56,28.71,61952245
30-Oct-06,28.35,28.84,28.32,28.53,47302082
27-Oct-06,28.49,28.79,28.25,28.34,89060092
26-Oct-06,28.33,28.41,28.04,28.35,70157492
25-Oct-06,28.28,28.46,28.14,28.31,40722916
24-Oct-06,28.43,28.43,28.13,28.28,61427896
23-Oct-06,28.30,28.69,28.18,28.45,48650435
20-Oct-06,28.48,28.49,28.17,28.43,48906684
19-Oct-06,28.35,28.45,28.12,28.29,44762131
18-Oct-06,28.50,28.70,28.26,28.52,40665423
17-Oct-06,28.24,28.51,28.17,28.44,40127096
16-Oct-06,28.48,28.60,28.33,28.45,49745011
13-Oct-06,28.34,28.69,28.31,28.37,129753977
12-Oct-06,27.58,28.29,27.54,28.22,120195958
11-Oct-06,27.46,27.67,27.42,27.54,37224378
10-Oct-06,27.69,27.75,27.44,27.69,34599739
9-Oct-06,27.80,27.93,27.62,27.72,33371747
6-Oct-06,27.76,28.00,27.65,27.87,36457042
5-Oct-06,27.92,28.11,27.78,27.92,81979115
4-Oct-06,27.39,27.96,27.37,27.94,82204455
3-Oct-06,27.37,27.48,27.21,27.37,39386668
2-Oct-06,27.32,27.49,27.15,27.36,52928741
29-Sep-06,27.35,27.42,27.21,27.35,34293234
28-Sep-06,27.47,27.52,27.26,27.40,45038408
27-Sep-06,27.18,27.47,27.12,27.44,66400255
26-Sep-06,26.91,27.32,26.88,27.20,55381375
25-Sep-06,26.81,27.19,26.79,26.95,68029179
22-Sep-06,26.83,26.85,26.48,26.66,47745189
21-Sep-06,27.24,27.25,26.85,26.90,58496064
20-Sep-06,27.01,27.23,26.99,27.18,71677658
19-Sep-06,26.74,26.94,26.72,26.86,43056333
18-Sep-06,26.74,27.04,26.67,26.79,49135045
15-Sep-06,26.58,26.94,26.49,26.85,126129908
14-Sep-06,25.99,26.50,25.98,26.33,74325865
13-Sep-06,25.82,26.10,25.49,25.98,37946523
12-Sep-06,25.90,25.98,25.72,25.93,52279694
11-Sep-06,25.43,25.95,25.42,25.91,55608252
8-Sep-06,25.53,25.79,25.46,25.60,36866905
7-Sep-06,25.48,25.70,25.39,25.43,51267410
6-Sep-06,25.51,25.72,25.51,25.61,50161662
5-Sep-06,25.69,25.96,25.56,25.61,44227536
1-Sep-06,25.89,25.97,25.64,25.84,31595597
31-Aug-06,25.87,25.98,25.68,25.70,26421263
30-Aug-06,25.85,25.89,25.64,25.80,30258744
29-Aug-06,25.92,25.98,25.63,25.84,42721167
28-Aug-06,25.84,26.00,25.69,25.95,34192049
25-Aug-06,25.71,26.00,25.69,25.85,33117122
24-Aug-06,25.82,25.86,25.50,25.74,35933322
23-Aug-06,25.64,25.95,25.52,25.67,44664979
22-Aug-06,26.01,26.25,25.62,25.62,89329989
21-Aug-06,25.66,26.13,25.56,26.12,88398944
18-Aug-06,25.05,25.80,24.98,25.79,128427551
17-Aug-06,24.70,24.75,24.61,24.70,45674944
16-Aug-06,24.61,24.73,24.47,24.70,52375619
15-Aug-06,24.55,24.65,24.44,24.62,48996195
14-Aug-06,24.52,24.60,24.35,24.53,47831979
11-Aug-06,24.43,24.45,24.20,24.43,30255521
10-Aug-06,24.37,24.60,24.34,24.46,31768850
9-Aug-06,24.49,24.64,24.34,24.44,44407466
8-Aug-06,24.39,24.52,24.20,24.34,58171540
7-Aug-06,24.28,24.48,24.19,24.22,36882940
4-Aug-06,24.40,24.49,24.15,24.29,45695011
3-Aug-06,24.18,24.48,24.15,24.21,43164646
2-Aug-06,24.12,24.40,24.03,24.30,46462111
1-Aug-06,24.02,24.20,23.85,23.99,49223513
31-Jul-06,24.07,24.42,24.01,24.06,40321957
28-Jul-06,24.08,24.28,24.06,24.25,51706046
27-Jul-06,24.58,24.60,23.77,23.87,85389256
26-Jul-06,24.12,24.53,24.10,24.37,55621972
25-Jul-06,24.00,24.29,23.90,24.22,60075762
24-Jul-06,24.01,24.11,23.79,24.00,59586879
21-Jul-06,24.08,24.15,23.00,23.87,175491371
20-Jul-06,23.44,23.45,22.78,22.85,76854396
19-Jul-06,22.82,23.46,22.72,23.40,82199947
18-Jul-06,22.59,22.76,22.48,22.74,65095034
17-Jul-06,22.29,22.61,22.26,22.48,37053691
14-Jul-06,22.28,22.55,22.23,22.29,67499367
13-Jul-06,22.37,22.61,22.25,22.26,73099480
12-Jul-06,22.79,22.88,22.62,22.64,77379268
11-Jul-06,23.37,23.37,22.74,23.10,88690405
10-Jul-06,23.43,23.66,23.38,23.50,50566038
7-Jul-06,23.39,23.55,23.30,23.30,63169825
6-Jul-06,23.45,23.61,23.42,23.48,44775875
5-Jul-06,23.48,23.52,23.30,23.35,53118381
3-Jul-06,23.53,23.72,23.45,23.70,25711432
30-Jun-06,23.54,23.65,23.30,23.30,73135430
29-Jun-06,23.32,23.63,23.22,23.47,121405820
28-Jun-06,22.96,23.25,22.91,23.16,71925899
27-Jun-06,22.89,23.16,22.84,22.86,84959066
26-Jun-06,22.65,22.89,22.63,22.82,53644094
23-Jun-06,22.85,22.87,22.50,22.50,60532568
22-Jun-06,23.06,23.17,22.78,22.88,81055222
21-Jun-06,22.61,23.15,22.53,23.08,94407586
20-Jun-06,22.54,22.76,22.50,22.56,90604571
19-Jun-06,22.14,22.60,22.12,22.55,129644418
16-Jun-06,21.97,22.28,21.79,22.10,147520585
15-Jun-06,22.01,22.13,21.80,22.07,121654179
14-Jun-06,21.59,21.94,21.55,21.88,86087011
13-Jun-06,21.73,22.03,21.46,21.51,113179765
12-Jun-06,21.96,22.10,21.70,21.71,74338804
9-Jun-06,22.15,22.19,21.89,21.92,52575760
8-Jun-06,22.03,22.21,21.97,22.11,104127499
7-Jun-06,22.15,22.39,22.01,22.04,73830583
6-Jun-06,22.55,22.56,21.98,22.13,126603948
5-Jun-06,22.72,22.73,22.49,22.50,63933933
2-Jun-06,22.85,22.99,22.67,22.76,73937588
1-Jun-06,22.74,22.84,22.62,22.82,80240005
31-May-06,23.26,23.35,22.65,22.65,120468133
30-May-06,23.55,23.76,23.14,23.15,52505325
26-May-06,23.77,23.88,23.56,23.72,46867137
25-May-06,23.57,23.92,23.54,23.74,83054373
24-May-06,22.99,23.54,22.98,23.50,107375496
23-May-06,23.10,23.38,22.77,22.79,80003157
22-May-06,22.48,23.02,22.45,22.88,88387280
19-May-06,22.79,22.90,22.52,22.56,100074121
18-May-06,22.84,23.14,22.76,22.83,95477212
17-May-06,22.89,23.08,22.73,22.73,98603006
16-May-06,23.16,24.00,22.91,23.01,81868733
15-May-06,23.10,23.23,23.03,23.15,70107733
12-May-06,23.14,23.37,23.05,23.17,83136212
11-May-06,23.71,23.79,23.15,23.22,92925377
10-May-06,23.67,23.79,23.59,23.77,77650902
9-May-06,23.75,24.00,23.49,23.62,75996747
8-May-06,23.85,25.00,23.51,23.73,80697460
5-May-06,23.66,23.95,23.52,23.80,131607958
4-May-06,23.35,23.67,23.14,23.44,171268148
3-May-06,23.99,24.02,23.15,23.17,211567582
2-May-06,24.49,25.00,23.90,24.01,190561170
1-May-06,24.32,25.00,24.09,24.29,175012523
28-Apr-06,24.23,24.50,24.00,24.15,591078581
27-Apr-06,26.97,27.63,26.94,27.25,100327309
26-Apr-06,27.08,27.23,27.00,27.10,39194018
25-Apr-06,27.09,27.21,27.02,27.11,49222438
