Date,Open,High,Low,Close,Volume
29-Dec-06,20.38,20.57,20.32,20.32,4311800
28-Dec-06,20.52,20.55,20.36,20.49,4559600
27-Dec-06,20.36,20.56,20.35,20.50,4605200
26-Dec-06,20.20,20.29,20.11,20.22,3518600
22-Dec-06,20.44,20.47,20.08,20.20,6397600
21-Dec-06,20.37,20.47,20.14,20.37,10334800
20-Dec-06,20.41,20.47,20.25,20.36,10509600
19-Dec-06,20.27,20.49,20.24,20.43,5584800
18-Dec-06,20.48,20.55,20.26,20.34,6422900
15-Dec-06,20.59,20.61,20.29,20.34,8764300
14-Dec-06,20.31,20.55,20.27,20.55,6710400
13-Dec-06,20.45,20.50,20.32,20.43,14642500
12-Dec-06,20.48,20.50,20.28,20.38,15516800
11-Dec-06,20.58,20.65,20.47,20.51,12774000
8-Dec-06,20.25,20.49,20.17,20.43,8103200
7-Dec-06,20.56,20.65,20.31,20.32,6813000
6-Dec-06,20.30,20.56,20.26,20.51,10188400
5-Dec-06,20.21,20.54,20.17,20.46,15092600
4-Dec-06,19.89,20.06,19.89,19.97,6741200
1-Dec-06,20.01,20.07,19.85,19.96,14018500
30-Nov-06,20.14,20.30,20.06,20.22,7324300
29-Nov-06,20.23,20.32,20.22,20.31,12257400
28-Nov-06,20.02,20.11,19.91,20.09,14571600
27-Nov-06,20.56,20.63,20.20,20.31,13526600
24-Nov-06,20.82,20.95,20.79,20.93,3903700
22-Nov-06,20.94,21.00,20.83,20.87,17467500
21-Nov-06,20.08,20.40,20.08,20.34,13140800
20-Nov-06,19.85,20.07,19.83,19.95,6586200
17-Nov-06,19.78,19.96,19.72,19.93,6697800
16-Nov-06,20.03,20.13,19.90,20.04,11232600
15-Nov-06,20.01,20.22,19.99,20.15,11513400
14-Nov-06,19.89,19.96,19.65,19.94,10055400
13-Nov-06,19.67,19.79,19.63,19.75,8861200
10-Nov-06,19.55,19.70,19.43,19.66,7882400
9-Nov-06,19.83,19.83,19.40,19.50,18506000
8-Nov-06,19.52,19.69,19.45,19.65,13882400
7-Nov-06,19.80,19.88,19.62,19.66,8991000
6-Nov-06,19.48,19.63,19.45,19.56,12775800
3-Nov-06,19.45,19.50,19.22,19.34,7789900
2-Nov-06,19.50,19.58,19.36,19.55,5834700
1-Nov-06,19.81,19.81,19.56,19.57,8939700
31-Oct-06,19.85,19.92,19.79,19.88,12203500
30-Oct-06,19.70,20.00,19.69,19.92,14180000
27-Oct-06,19.94,19.95,19.67,19.70,10713100
26-Oct-06,19.79,19.80,19.56,19.70,15501700
25-Oct-06,19.25,19.44,19.21,19.41,13958200
24-Oct-06,19.31,19.43,19.22,19.40,12178200
23-Oct-06,19.42,19.63,19.37,19.56,10461700
20-Oct-06,19.48,19.51,19.35,19.39,11715300
19-Oct-06,19.06,19.43,19.05,19.35,39485600
18-Oct-06,19.99,20.24,19.58,19.87,28122200
17-Oct-06,20.02,20.03,19.71,19.88,17899200
16-Oct-06,20.16,20.32,20.03,20.26,12477700
13-Oct-06,20.21,20.26,20.06,20.20,8171300
12-Oct-06,20.15,20.44,20.08,20.36,10293900
11-Oct-06,19.87,20.28,19.85,20.11,13230200
10-Oct-06,19.68,19.83,19.66,19.82,9045000
9-Oct-06,19.40,19.59,19.34,19.55,9339900
6-Oct-06,19.35,19.54,19.33,19.47,6351200
5-Oct-06,19.59,19.60,19.32,19.55,14818900
4-Oct-06,19.43,19.73,19.40,19.71,15756700
3-Oct-06,19.44,19.80,19.40,19.69,7716900
2-Oct-06,19.54,19.76,19.54,19.61,6379900
29-Sep-06,19.71,19.91,19.65,19.69,10778300
28-Sep-06,20.01,20.09,19.81,19.90,14100900
27-Sep-06,19.64,19.96,19.59,19.73,12277600
26-Sep-06,19.52,19.66,19.44,19.55,11762600
25-Sep-06,19.30,19.75,19.24,19.65,10787000
22-Sep-06,19.48,19.52,19.31,19.39,7628100
21-Sep-06,19.42,19.54,19.23,19.37,11969100
20-Sep-06,18.96,19.17,18.94,19.12,9242500
19-Sep-06,18.92,18.94,18.62,18.84,8421800
18-Sep-06,18.72,19.00,18.71,18.91,16005400
15-Sep-06,19.32,19.32,19.05,19.11,12126700
14-Sep-06,19.41,19.60,19.27,19.40,12197800
13-Sep-06,19.72,19.98,19.66,19.95,12351100
12-Sep-06,19.50,19.85,19.50,19.81,17196500
11-Sep-06,19.15,19.42,18.99,19.29,9543100
8-Sep-06,19.03,19.30,18.98,19.29,10977300
7-Sep-06,19.27,19.50,19.18,19.26,10016900
6-Sep-06,19.78,19.78,19.45,19.49,16492300
5-Sep-06,20.21,20.36,20.07,20.32,9187400
1-Sep-06,20.63,20.82,20.43,20.65,8352200
31-Aug-06,21.01,21.02,20.74,20.88,7416600
30-Aug-06,21.23,21.24,20.89,20.92,11560500
29-Aug-06,21.10,21.12,20.69,21.08,12949100
28-Aug-06,20.82,21.10,20.78,20.98,3826500
25-Aug-06,20.64,20.73,20.58,20.64,4291600
24-Aug-06,20.87,20.90,20.66,20.90,4980100
23-Aug-06,21.26,21.31,20.86,20.99,7281400
22-Aug-06,21.26,21.54,21.23,21.41,3678800
21-Aug-06,21.31,21.39,21.25,21.32,3247700
18-Aug-06,21.27,21.35,21.07,21.35,3299200
17-Aug-06,21.37,21.60,21.12,21.29,5602300
16-Aug-06,20.99,21.41,20.99,21.34,9406900
15-Aug-06,20.24,20.78,20.24,20.73,11078400
14-Aug-06,19.72,20.06,19.71,19.85,4105800
11-Aug-06,19.63,19.70,19.51,19.63,5024700
10-Aug-06,19.80,20.00,19.69,19.95,6163500
9-Aug-06,19.98,20.20,19.84,19.85,8877100
8-Aug-06,19.50,19.72,19.37,19.46,5499600
7-Aug-06,19.48,19.58,19.40,19.56,3406500
4-Aug-06,19.93,20.00,19.56,19.63,4925300
3-Aug-06,19.33,19.70,19.28,19.64,5394200
2-Aug-06,19.46,19.70,19.41,19.56,6306700
1-Aug-06,19.70,19.70,19.35,19.58,6005700
31-Jul-06,19.90,19.94,19.78,19.85,4530300
28-Jul-06,19.53,19.98,19.43,19.90,6866200
27-Jul-06,19.54,19.68,19.38,19.46,5621200
26-Jul-06,19.44,19.64,19.31,19.59,10191500
25-Jul-06,19.81,19.92,19.56,19.80,6581600
24-Jul-06,19.44,19.84,19.44,19.74,8154900
21-Jul-06,19.66,19.66,19.07,19.18,12542800
20-Jul-06,19.51,19.91,19.39,19.79,27215300
19-Jul-06,18.96,19.62,18.93,19.33,18064800
18-Jul-06,18.76,18.87,18.42,18.73,12268100
17-Jul-06,18.23,18.49,18.23,18.43,10058000
14-Jul-06,18.72,18.77,18.45,18.57,10978200
13-Jul-06,18.81,19.10,18.65,18.72,12748000
12-Jul-06,19.47,19.51,19.11,19.18,8348700
11-Jul-06,19.33,19.73,19.25,19.63,9732400
10-Jul-06,19.51,19.68,19.29,19.40,10900000
7-Jul-06,19.85,19.86,19.45,19.54,10943800
6-Jul-06,19.95,20.20,19.94,20.08,5406000
5-Jul-06,20.06,20.13,19.94,20.04,6954700
3-Jul-06,20.44,20.51,20.27,20.44,3073400
30-Jun-06,20.31,20.44,20.17,20.26,11000800
29-Jun-06,19.32,19.91,19.14,19.87,16381200
28-Jun-06,19.45,19.50,18.83,19.13,17514500
27-Jun-06,20.00,20.05,19.56,19.59,6400600
26-Jun-06,19.84,19.98,19.70,19.92,6426700
23-Jun-06,19.63,19.69,19.46,19.49,6900700
22-Jun-06,19.88,19.91,19.53,19.57,12537700
21-Jun-06,19.97,20.37,19.97,20.17,10303600
20-Jun-06,20.08,20.23,19.85,20.05,8486900
19-Jun-06,20.65,20.68,19.97,20.09,9837000
16-Jun-06,20.08,20.18,19.72,19.97,9295400
15-Jun-06,19.94,20.47,19.94,20.40,11557800
14-Jun-06,19.53,19.66,19.12,19.39,16017400
13-Jun-06,19.37,19.63,19.15,19.32,13619400
12-Jun-06,20.06,20.07,19.49,19.57,10842100
9-Jun-06,20.53,20.55,19.91,20.06,9747400
8-Jun-06,20.26,20.35,19.78,20.30,19621300
7-Jun-06,20.68,20.85,20.50,20.52,11378300
6-Jun-06,20.80,20.83,20.41,20.73,15944600
5-Jun-06,21.75,21.75,21.20,21.21,9724100
2-Jun-06,22.46,22.50,21.70,21.81,16265100
1-Jun-06,21.56,22.11,21.54,22.07,7522800
31-May-06,21.42,21.66,21.24,21.47,7784200
30-May-06,21.83,21.84,21.35,21.38,8425500
26-May-06,21.88,21.88,21.64,21.82,5540200
25-May-06,21.31,21.62,21.31,21.46,7037800
24-May-06,21.41,21.52,20.76,21.25,8998900
23-May-06,21.43,21.79,21.27,21.30,8399500
22-May-06,20.88,21.04,20.49,20.83,7808800
19-May-06,21.05,21.25,20.83,21.22,7969200
18-May-06,21.31,21.51,20.71,20.75,12540900
17-May-06,21.69,21.77,20.95,21.12,17341900
16-May-06,22.12,22.18,21.74,21.85,10495700
15-May-06,21.64,21.91,21.48,21.67,10120700
12-May-06,21.90,21.93,21.40,21.47,14092300
11-May-06,22.47,22.48,21.52,21.86,14624800
10-May-06,22.90,22.97,22.29,22.39,13989400
9-May-06,23.00,23.18,22.97,23.10,6097800
8-May-06,23.08,23.19,22.91,23.01,5998200
5-May-06,23.02,23.06,22.83,22.92,8609400
4-May-06,22.62,22.93,22.61,22.83,7672200
3-May-06,22.72,22.83,22.59,22.82,5732200
2-May-06,22.76,22.85,22.70,22.78,10010400
1-May-06,22.72,22.81,22.64,22.66,5589400
28-Apr-06,22.84,22.93,22.66,22.66,5859100
27-Apr-06,22.73,23.08,22.64,23.01,7606300
26-Apr-06,22.93,23.02,22.87,22.94,8793700
25-Apr-06,22.94,22.99,22.60,22.66,8261500
24-Apr-06,22.67,22.81,22.54,22.80,12304300
21-Apr-06,23.40,23.47,22.81,22.88,14676600
20-Apr-06,22.87,22.98,22.59,22.81,23865400
19-Apr-06,21.38,21.74,21.36,21.74,8628000
18-Apr-06,21.17,21.60,21.14,21.55,7977900
17-Apr-06,21.03,21.25,21.03,21.05,5781900
13-Apr-06,20.97,21.10,20.95,21.02,4265400
12-Apr-06,21.19,21.26,20.88,20.99,9538300
11-Apr-06,21.58,21.63,21.13,21.19,22437200
10-Apr-06,20.57,20.59,20.38,20.40,5911100
7-Apr-06,20.86,20.89,20.53,20.59,5231100
6-Apr-06,20.97,21.06,20.78,20.90,7199100
5-Apr-06,21.01,21.06,20.80,20.99,9036300
4-Apr-06,20.76,20.89,20.68,20.78,7915100
3-Apr-06,20.64,20.87,20.61,20.71,4812600
31-Mar-06,20.71,20.75,20.62,20.72,7048100
30-Mar-06,21.28,21.36,20.25,21.28,25684900
29-Mar-06,20.00,20.34,19.96,20.22,10998300
28-Mar-06,20.32,20.50,20.01,20.08,7919400
27-Mar-06,20.41,20.48,20.31,20.34,6748200
24-Mar-06,20.38,20.54,20.29,20.49,9840400
23-Mar-06,20.47,20.54,20.21,20.31,8713800
22-Mar-06,20.48,20.56,20.43,20.50,8670000
21-Mar-06,20.75,20.77,20.42,20.43,9732000
20-Mar-06,20.69,20.76,20.61,20.70,6975200
17-Mar-06,20.53,20.60,20.43,20.54,6934400
16-Mar-06,20.50,20.63,20.43,20.47,11395900
15-Mar-06,20.45,20.53,20.33,20.51,6522300
14-Mar-06,20.32,20.52,20.32,20.48,10492900
13-Mar-06,20.18,20.30,20.13,20.29,11531600
10-Mar-06,19.84,20.16,19.75,20.08,16245800
9-Mar-06,19.84,19.99,19.74,19.80,14516500
8-Mar-06,19.29,19.88,19.25,19.82,22510200
7-Mar-06,18.97,19.23,18.93,19.21,16604800
6-Mar-06,18.98,19.14,18.98,19.14,8808200
3-Mar-06,18.98,19.06,18.89,19.01,6903600
2-Mar-06,18.88,19.15,18.81,19.12,16244400
1-Mar-06,18.64,19.04,18.60,19.00,11737900
28-Feb-06,18.68,18.85,18.58,18.58,7984500
27-Feb-06,18.76,18.84,18.68,18.79,6955900
24-Feb-06,18.85,18.94,18.83,18.87,4579800
23-Feb-06,18.96,19.03,18.85,18.90,4752300
22-Feb-06,18.69,18.95,18.67,18.93,4627100
21-Feb-06,18.82,18.87,18.70,18.72,3695800
17-Feb-06,18.87,18.90,18.72,18.77,6167700
16-Feb-06,18.89,19.00,18.77,18.87,14373100
15-Feb-06,18.69,18.93,18.54,18.77,16708400
14-Feb-06,18.12,18.60,18.10,18.52,15037200
13-Feb-06,17.77,17.99,17.76,17.95,8151300
10-Feb-06,18.08,18.10,17.81,17.99,4782800
9-Feb-06,18.10,18.28,18.05,18.12,7147000
8-Feb-06,17.83,18.21,17.76,18.13,8376000
7-Feb-06,17.83,17.87,17.65,17.72,8135800
6-Feb-06,17.97,18.03,17.84,17.92,6738500
3-Feb-06,17.96,18.21,17.91,18.15,7633000
2-Feb-06,18.55,18.56,18.25,18.30,12550600
1-Feb-06,18.30,18.54,18.28,18.51,8065800
31-Jan-06,18.31,18.42,18.22,18.38,10977500
30-Jan-06,18.08,18.18,18.04,18.09,6398400
27-Jan-06,18.28,18.32,17.96,18.05,16759600
26-Jan-06,18.00,18.37,17.95,18.20,37115400
25-Jan-06,18.42,18.63,18.38,18.49,8666600
24-Jan-06,18.26,18.44,18.21,18.25,12163100
23-Jan-06,18.31,18.41,18.20,18.30,8516700
20-Jan-06,18.44,18.55,18.07,18.12,17158300
19-Jan-06,18.48,18.92,18.48,18.76,16834900
18-Jan-06,18.31,18.57,18.28,18.36,8400100
17-Jan-06,18.58,18.69,18.55,18.68,8059400
13-Jan-06,18.66,18.91,18.60,18.89,6606900
12-Jan-06,18.80,18.96,18.66,18.78,13032500
11-Jan-06,19.11,19.11,18.84,18.91,25523400
10-Jan-06,19.08,19.31,19.01,19.23,17856700
9-Jan-06,19.59,19.67,19.46,19.50,20920800
6-Jan-06,19.94,19.94,19.72,19.74,21983200
5-Jan-06,19.33,19.62,19.30,19.56,41709700
4-Jan-06,18.94,19.15,18.92,19.11,14341400
3-Jan-06,18.62,18.80,18.48,18.71,12483900
30-Dec-05,18.25,18.37,18.16,18.30,6542000
29-Dec-05,18.49,18.54,18.44,18.48,3227600
28-Dec-05,18.60,18.65,18.45,18.51,4446000
27-Dec-05,18.68,18.70,18.48,18.56,6832800
23-Dec-05,18.61,18.73,18.61,18.62,5872300
22-Dec-05,18.43,18.51,18.37,18.49,10325200
21-Dec-05,18.37,18.41,18.23,18.39,10803800
20-Dec-05,18.50,18.51,18.25,18.30,9592600
19-Dec-05,18.63,18.82,18.47,18.49,12662500
16-Dec-05,18.54,18.65,18.47,18.53,11884500
15-Dec-05,18.46,18.47,18.21,18.27,7353600
14-Dec-05,18.57,18.61,18.42,18.46,11635300
13-Dec-05,18.31,18.48,18.22,18.37,9025500
12-Dec-05,18.32,18.40,18.18,18.22,10901100
9-Dec-05,18.07,18.11,17.90,18.05,12616400
8-Dec-05,18.29,18.31,18.06,18.11,20057800
7-Dec-05,17.78,17.97,17.71,17.78,15389300
6-Dec-05,17.60,17.81,17.57,17.67,7998800
5-Dec-05,17.50,17.65,17.47,17.55,10876800
2-Dec-05,17.65,17.68,17.26,17.36,8999900
1-Dec-05,16.98,17.79,16.95,17.61,15961900
30-Nov-05,17.23,17.24,17.06,17.08,6101400
29-Nov-05,17.25,17.39,17.22,17.33,9538300
28-Nov-05,17.39,17.42,17.26,17.28,5770700
25-Nov-05,17.53,17.55,17.40,17.50,3447500
23-Nov-05,17.34,17.57,17.32,17.44,9875200
22-Nov-05,17.31,17.36,17.23,17.30,10494200
21-Nov-05,17.44,17.47,17.32,17.43,5508000
18-Nov-05,17.40,17.42,17.21,17.34,8064000
17-Nov-05,17.04,17.30,17.04,17.24,11452700
16-Nov-05,16.99,17.04,16.86,16.92,6814200
15-Nov-05,17.17,17.18,16.99,17.03,6941800
14-Nov-05,17.25,17.38,17.25,17.31,9209300
11-Nov-05,17.11,17.23,17.09,17.18,5131700
10-Nov-05,17.00,17.15,16.92,17.12,7057100
9-Nov-05,17.02,17.09,16.94,17.04,8237600
8-Nov-05,17.00,17.17,16.95,17.08,10357500
7-Nov-05,17.00,17.14,16.97,17.04,10296700
4-Nov-05,17.31,17.37,17.03,17.16,12103800
3-Nov-05,17.35,17.44,17.26,17.35,23713100
2-Nov-05,16.93,17.28,16.91,17.19,16211000
1-Nov-05,16.85,17.08,16.83,16.93,25393300
