Date,Open,High,Low,Close,Volume
29-Dec-06,13.50,13.59,13.49,13.59,44100
28-Dec-06,13.91,13.91,13.50,13.71,21900
27-Dec-06,13.62,13.96,13.61,13.96,2100
26-Dec-06,13.35,13.65,13.35,13.65,2400
22-Dec-06,13.61,13.61,12.95,13.25,21200
21-Dec-06,13.81,13.81,13.70,13.73,3500
20-Dec-06,14.25,14.25,13.93,13.93,55600
19-Dec-06,14.20,14.48,14.02,14.21,47600
18-Dec-06,13.90,14.25,13.90,14.21,10200
15-Dec-06,14.13,14.25,13.80,14.00,45300
14-Dec-06,14.16,14.25,14.00,14.13,86100
13-Dec-06,13.40,14.50,13.40,14.00,24500
12-Dec-06,13.20,13.48,12.92,13.48,26300
11-Dec-06,12.90,13.25,12.90,13.07,50900
8-Dec-06,12.82,13.00,12.82,12.86,7800
7-Dec-06,12.71,12.90,12.69,12.81,45000
6-Dec-06,12.25,12.89,12.25,12.64,73900
5-Dec-06,11.75,12.50,11.50,12.25,75200
4-Dec-06,11.25,11.40,11.25,11.30,12700
1-Dec-06,11.20,11.20,11.01,11.15,3400
30-Nov-06,10.83,11.25,10.83,11.22,89200
29-Nov-06,10.70,11.18,10.69,10.82,63600
28-Nov-06,10.67,10.75,10.63,10.69,16500
27-Nov-06,10.79,10.82,10.44,10.70,30900
24-Nov-06,10.75,10.79,10.70,10.77,4900
22-Nov-06,10.29,10.66,10.29,10.65,18800
21-Nov-06,10.40,10.40,10.25,10.39,25700
20-Nov-06,10.29,10.75,10.29,10.75,16700
17-Nov-06,10.28,10.30,10.27,10.30,4800
16-Nov-06,10.48,10.50,10.35,10.38,15100
15-Nov-06,10.10,10.58,10.10,10.58,18400
14-Nov-06,9.96,10.08,9.84,10.00,110600
13-Nov-06,10.05,10.06,9.80,9.95,8700
10-Nov-06,10.10,10.10,9.90,10.02,56900
9-Nov-06,10.05,10.10,9.89,10.00,26300
8-Nov-06,10.00,10.01,9.88,10.00,31100
7-Nov-06,9.50,9.97,9.50,9.97,117400
6-Nov-06,9.40,9.50,9.40,9.50,1200
3-Nov-06,9.40,9.50,9.35,9.45,6200
2-Nov-06,9.38,9.45,9.25,9.40,217600
1-Nov-06,9.03,9.29,9.03,9.13,119800
31-Oct-06,9.02,9.14,8.99,8.99,4100
30-Oct-06,9.08,9.08,9.08,9.08,800
27-Oct-06,9.19,9.30,9.14,9.22,20700
26-Oct-06,9.15,9.20,9.09,9.15,41100
25-Oct-06,9.14,9.14,9.05,9.13,36800
24-Oct-06,8.93,9.00,8.92,9.00,2600
23-Oct-06,9.19,9.19,8.90,8.98,176800
20-Oct-06,9.00,9.01,8.94,8.94,1800
19-Oct-06,9.02,9.20,9.02,9.19,7900
18-Oct-06,8.90,9.11,8.84,9.02,174000
17-Oct-06,8.80,9.00,8.80,9.00,1700
16-Oct-06,8.98,9.00,8.90,8.90,2800
13-Oct-06,8.90,9.00,8.90,8.94,279100
12-Oct-06,8.99,9.10,8.95,8.95,3900
11-Oct-06,-,-,-,8.99,0
10-Oct-06,8.86,9.00,8.76,8.99,1100
9-Oct-06,8.80,8.95,8.80,8.89,1900
6-Oct-06,8.80,8.99,8.80,8.84,4400
5-Oct-06,8.95,8.99,8.84,8.88,6600
4-Oct-06,9.10,9.10,8.94,8.97,3600
3-Oct-06,-,-,-,9.00,0
2-Oct-06,8.89,9.00,8.89,9.00,2000
29-Sep-06,8.76,8.79,8.76,8.79,1000800
28-Sep-06,-,-,-,8.84,0
27-Sep-06,8.81,8.90,8.70,8.84,1900
26-Sep-06,8.80,8.80,8.71,8.77,501300
25-Sep-06,8.85,8.85,8.76,8.76,2500
22-Sep-06,-,-,-,8.89,0
21-Sep-06,8.83,8.90,8.70,8.89,5800
20-Sep-06,8.84,8.93,8.73,8.93,2400
19-Sep-06,8.81,8.87,8.70,8.75,5500
18-Sep-06,8.79,8.85,8.66,8.81,72400
15-Sep-06,8.75,8.85,8.65,8.70,12800
14-Sep-06,8.47,8.67,8.47,8.65,8200
13-Sep-06,8.51,8.66,8.28,8.57,22300
12-Sep-06,8.66,8.72,8.65,8.66,5100
11-Sep-06,8.70,8.80,8.25,8.76,15700
8-Sep-06,8.71,8.86,8.71,8.80,7500
7-Sep-06,8.72,8.90,8.72,8.81,1600
6-Sep-06,8.65,8.85,8.65,8.85,800
5-Sep-06,8.90,9.00,8.75,8.75,11200
1-Sep-06,8.73,8.90,8.73,8.85,3500
31-Aug-06,8.87,8.89,8.73,8.73,7400
30-Aug-06,8.75,8.90,8.74,8.83,256900
29-Aug-06,8.58,8.90,8.57,8.78,1165700
28-Aug-06,8.59,8.59,8.47,8.57,42900
25-Aug-06,8.52,8.65,8.49,8.65,3400
24-Aug-06,8.30,8.46,8.30,8.46,1600
23-Aug-06,8.49,8.49,8.37,8.43,1800
22-Aug-06,8.60,8.60,8.47,8.47,2400
21-Aug-06,8.20,8.50,8.20,8.50,12500
18-Aug-06,8.00,8.30,8.00,8.30,4100
17-Aug-06,-,-,-,8.08,0
16-Aug-06,8.10,8.15,8.08,8.08,1571500
15-Aug-06,-,-,-,8.19,0
14-Aug-06,8.01,8.19,8.01,8.19,1500
11-Aug-06,7.95,8.20,7.92,8.00,4200
10-Aug-06,8.00,8.00,7.86,8.00,2200
9-Aug-06,-,-,-,8.04,0
8-Aug-06,8.14,8.14,8.04,8.04,3600
