Date,Open,High,Low,Close,Volume
29-Dec-06,37.80,38.37,37.57,37.79,10863127
28-Dec-06,37.52,38.01,37.45,37.69,11620462
27-Dec-06,37.82,38.15,37.56,37.57,9026529
26-Dec-06,37.54,38.17,37.42,37.62,11151380
22-Dec-06,37.54,38.29,37.50,37.81,23678793
21-Dec-06,38.31,38.61,38.00,38.54,12047351
20-Dec-06,38.50,39.10,38.25,38.31,9899591
19-Dec-06,38.72,38.91,38.37,38.49,14450527
18-Dec-06,39.69,40.10,38.84,39.07,13646251
15-Dec-06,39.60,40.00,39.29,39.50,21134508
14-Dec-06,38.58,39.60,38.38,39.41,16747531
13-Dec-06,39.25,39.30,38.11,38.43,21440310
12-Dec-06,38.82,39.07,38.13,38.87,15961845
11-Dec-06,39.25,39.95,38.88,38.93,19603685
8-Dec-06,39.00,40.27,38.78,39.54,18042740
7-Dec-06,39.52,40.99,39.11,39.14,26869675
6-Dec-06,38.76,39.38,38.45,39.18,19759924
5-Dec-06,37.75,39.43,37.61,38.74,33697507
4-Dec-06,36.69,37.58,36.54,37.50,20947384
1-Dec-06,36.50,36.76,35.80,36.35,14109769
30-Nov-06,36.53,36.82,35.82,36.59,18364622
29-Nov-06,36.05,36.78,35.97,36.65,14634715
28-Nov-06,36.38,36.70,35.70,35.85,21778975
27-Nov-06,37.33,37.50,36.35,36.45,15635351
24-Nov-06,37.08,37.87,37.00,37.58,7463971
22-Nov-06,37.53,37.65,36.82,37.35,10505424
21-Nov-06,37.21,37.72,36.96,37.61,11983163
20-Nov-06,37.31,37.45,36.82,37.15,13359518
17-Nov-06,37.60,37.79,37.41,37.63,13663549
16-Nov-06,38.05,38.40,37.56,37.80,17216670
15-Nov-06,37.53,38.03,37.26,37.70,19228703
14-Nov-06,36.31,37.74,36.05,37.56,24484734
13-Nov-06,35.90,36.64,35.51,36.20,21449692
10-Nov-06,34.89,35.25,34.35,35.24,20318140
9-Nov-06,36.07,36.20,34.68,34.83,31779355
8-Nov-06,36.31,36.60,35.95,36.28,15986211
7-Nov-06,36.10,37.05,36.01,36.39,17794152
6-Nov-06,36.45,36.69,35.96,36.14,18817401
3-Nov-06,36.29,37.62,35.91,36.47,33232538
2-Nov-06,35.75,36.40,35.41,36.36,21331435
1-Nov-06,36.80,36.90,35.61,35.73,18778510
31-Oct-06,36.97,37.20,36.06,36.39,14925199
30-Oct-06,36.69,36.93,36.40,36.74,15543573
27-Oct-06,37.92,38.00,36.92,37.14,13138348
26-Oct-06,37.77,38.05,37.04,37.99,15017685
25-Oct-06,36.68,37.74,36.65,37.51,15487470
24-Oct-06,37.65,37.95,36.57,36.71,20203027
23-Oct-06,37.88,38.64,37.51,38.08,13498520
20-Oct-06,38.34,38.42,37.20,37.92,16515908
19-Oct-06,37.31,38.26,37.04,38.18,21954182
18-Oct-06,39.17,39.22,37.90,38.12,17855328
17-Oct-06,39.47,39.60,38.58,38.94,15013329
16-Oct-06,39.70,40.00,39.56,39.82,14319209
13-Oct-06,39.14,39.84,38.75,39.84,22419324
12-Oct-06,37.94,39.01,37.91,38.94,16658362
11-Oct-06,36.95,37.99,36.87,37.76,16964279
10-Oct-06,36.42,37.89,35.00,37.07,33432961
9-Oct-06,36.27,36.52,36.00,36.24,7991997
6-Oct-06,35.98,36.67,35.78,36.37,12749800
5-Oct-06,35.86,36.31,35.44,36.26,14730806
4-Oct-06,35.40,35.82,34.88,35.82,19163750
3-Oct-06,34.73,35.80,34.62,35.40,19384633
2-Oct-06,36.11,36.49,34.10,34.66,33298579
29-Sep-06,37.21,37.28,36.17,36.35,16868732
