Date,Open,High,Low,Close,Volume
29-Dec-06,20.15,20.33,20.10,20.12,3018338
28-Dec-06,20.20,20.32,20.12,20.20,1642598
27-Dec-06,20.21,20.30,20.16,20.22,973332
26-Dec-06,20.17,20.46,20.12,20.22,1046430
22-Dec-06,20.38,20.42,20.08,20.18,1961406
21-Dec-06,20.32,20.40,20.20,20.28,2019208
20-Dec-06,20.48,20.57,20.28,20.29,5963402
19-Dec-06,20.06,20.36,20.02,20.31,2497412
18-Dec-06,20.10,20.18,20.00,20.08,1911910
15-Dec-06,20.22,20.26,19.98,20.11,4861116
14-Dec-06,19.96,20.38,19.96,20.30,4833708
13-Dec-06,20.30,20.32,20.12,20.23,2829782
12-Dec-06,20.18,20.50,20.18,20.40,3255972
11-Dec-06,19.87,20.08,19.87,20.00,1802608
8-Dec-06,19.99,20.06,19.78,19.82,2299132
7-Dec-06,20.02,20.18,19.92,19.92,2428550
6-Dec-06,19.68,19.82,19.65,19.74,2046006
5-Dec-06,19.92,20.06,19.86,20.00,2427166
4-Dec-06,19.26,19.93,19.26,19.75,4567794
1-Dec-06,19.42,19.48,19.20,19.34,3236806
30-Nov-06,19.53,19.60,19.41,19.44,2082584
29-Nov-06,19.46,19.56,19.36,19.53,1462490
28-Nov-06,19.34,19.42,19.18,19.34,2739672
27-Nov-06,19.76,19.86,19.34,19.38,3376430
24-Nov-06,19.96,20.13,19.96,19.98,818114
22-Nov-06,20.10,20.20,19.95,20.07,1749682
21-Nov-06,19.84,19.98,19.82,19.98,1482318
20-Nov-06,19.78,20.00,19.77,19.93,1440512
17-Nov-06,19.60,19.72,19.55,19.66,2560846
16-Nov-06,20.02,20.06,19.74,19.86,2918970
15-Nov-06,19.66,20.20,19.66,20.16,3473558
14-Nov-06,19.70,19.70,19.38,19.66,2392554
13-Nov-06,19.35,19.59,19.31,19.50,2295398
10-Nov-06,19.51,19.60,19.31,19.44,2953870
9-Nov-06,19.74,19.80,19.55,19.57,2234438
8-Nov-06,19.20,19.58,19.20,19.46,2269176
7-Nov-06,19.24,19.50,19.22,19.36,1663700
6-Nov-06,18.98,19.20,18.98,19.18,1604834
3-Nov-06,18.83,18.96,18.76,18.91,1521626
2-Nov-06,18.84,19.10,18.81,19.01,1430024
1-Nov-06,19.07,19.16,18.85,18.88,2546102
31-Oct-06,18.78,19.06,18.78,18.91,1584810
30-Oct-06,18.66,18.88,18.58,18.77,3179852
27-Oct-06,18.96,18.98,18.65,18.71,2043962
26-Oct-06,19.09,19.12,18.84,19.07,2102036
25-Oct-06,18.93,19.10,18.90,19.10,2188268
24-Oct-06,18.83,18.89,18.74,18.80,1380944
23-Oct-06,18.77,18.96,18.70,18.88,2060426
20-Oct-06,18.90,19.02,18.83,19.02,3436082
19-Oct-06,18.41,18.54,18.32,18.46,3693422
18-Oct-06,17.88,18.02,17.74,17.78,5924110
17-Oct-06,18.22,18.26,18.05,18.15,2481186
16-Oct-06,18.38,18.48,18.37,18.42,1926054
13-Oct-06,18.40,18.63,18.38,18.59,4695324
12-Oct-06,18.58,18.86,18.51,18.84,5351384
11-Oct-06,17.71,18.92,17.68,18.74,10974470
10-Oct-06,17.54,17.79,17.53,17.78,2039084
9-Oct-06,17.68,17.74,17.58,17.64,1784574
6-Oct-06,17.36,17.67,17.35,17.62,4165474
5-Oct-06,17.54,17.69,17.48,17.68,2509202
4-Oct-06,17.02,17.48,17.02,17.48,2373152
3-Oct-06,17.04,17.24,16.98,17.10,3183396
2-Oct-06,17.18,17.38,17.18,17.20,1828864
29-Sep-06,17.44,17.44,17.22,17.24,3623462
28-Sep-06,17.52,17.60,17.38,17.52,1460188
