Date,Open,High,Low,Close,Volume
29-Dec-06,46.50,46.62,46.25,46.39,1655500
28-Dec-06,46.86,46.89,46.52,46.63,1734900
27-Dec-06,46.41,46.90,46.36,46.76,2045300
26-Dec-06,46.12,46.42,45.98,46.35,1246400
22-Dec-06,46.50,46.56,45.94,46.22,1496000
21-Dec-06,46.37,46.74,46.22,46.56,1987800
20-Dec-06,46.54,46.75,46.09,46.36,2300900
19-Dec-06,46.25,46.53,46.11,46.48,1992400
18-Dec-06,46.42,46.55,46.01,46.25,1875000
15-Dec-06,46.35,46.70,46.28,46.55,3393500
14-Dec-06,45.49,48.54,45.24,46.14,4631400
13-Dec-06,45.00,45.49,44.91,45.01,2524000
12-Dec-06,44.60,44.69,44.30,44.48,2369900
11-Dec-06,45.20,45.20,44.35,44.49,2425300
8-Dec-06,44.98,45.59,44.28,45.18,1753800
7-Dec-06,45.08,45.39,44.74,44.78,1355400
6-Dec-06,45.00,45.20,44.57,44.88,1660200
5-Dec-06,45.28,45.50,45.00,45.33,1471700
4-Dec-06,45.13,45.50,44.98,45.33,1894500
1-Dec-06,44.99,45.13,44.49,44.83,1771000
30-Nov-06,44.80,44.96,44.11,44.74,2302300
29-Nov-06,44.26,44.89,44.11,44.80,1616400
28-Nov-06,43.56,44.30,43.38,44.26,3020300
27-Nov-06,44.19,44.50,43.55,43.56,2769700
24-Nov-06,44.30,44.58,44.19,44.40,491300
22-Nov-06,44.99,45.00,44.00,44.40,3329000
21-Nov-06,45.32,45.53,44.80,44.90,3436900
20-Nov-06,45.89,46.14,45.33,45.51,1716100
17-Nov-06,46.03,46.32,45.78,46.12,1893400
16-Nov-06,45.47,46.32,45.26,46.14,2212000
15-Nov-06,45.36,45.62,45.14,45.38,1393500
14-Nov-06,45.00,45.47,44.87,45.36,1880000
13-Nov-06,45.00,45.42,44.83,45.02,1912200
10-Nov-06,45.20,45.48,44.89,45.15,1712500
9-Nov-06,45.95,46.13,45.13,45.21,2591500
8-Nov-06,46.53,46.53,45.80,45.84,2187100
7-Nov-06,46.70,47.00,46.47,46.53,1887700
6-Nov-06,46.10,46.96,46.10,46.77,2409100
3-Nov-06,45.96,46.25,45.67,45.73,1440300
2-Nov-06,45.45,46.22,45.32,45.93,2561900
1-Nov-06,46.10,46.35,45.59,45.65,3278100
31-Oct-06,46.44,46.49,45.81,45.97,2169000
30-Oct-06,46.45,46.56,46.05,46.26,1609900
27-Oct-06,46.52,46.55,46.10,46.34,2074800
26-Oct-06,46.18,46.74,46.01,46.64,2421300
25-Oct-06,46.70,46.70,46.02,46.25,2431600
24-Oct-06,46.94,47.04,46.22,46.53,2731300
23-Oct-06,45.90,47.49,45.77,47.21,3727400
20-Oct-06,45.05,46.16,44.00,46.00,4324600
19-Oct-06,46.70,46.70,44.14,44.94,6281000
18-Oct-06,46.13,46.99,46.01,46.89,4102200
17-Oct-06,45.40,46.03,44.50,46.00,1454800
16-Oct-06,45.99,46.11,45.56,45.84,1233100
13-Oct-06,45.80,46.22,45.52,45.96,1616500
12-Oct-06,45.73,46.19,45.51,46.05,1589400
11-Oct-06,45.09,45.87,45.07,45.64,1245900
10-Oct-06,45.54,45.54,45.07,45.33,1349800
9-Oct-06,45.78,45.83,45.39,45.60,1211100
6-Oct-06,44.75,46.26,44.70,45.84,2621600
5-Oct-06,44.82,45.29,44.74,44.75,2040800
4-Oct-06,45.11,45.18,44.60,45.03,2581200
3-Oct-06,45.08,45.49,44.90,45.23,1582800
2-Oct-06,44.80,45.60,44.80,45.18,1727100
29-Sep-06,45.19,45.47,44.92,45.46,1893100
28-Sep-06,45.42,45.43,44.54,44.93,2300500
27-Sep-06,45.26,45.50,44.98,45.28,2020600
26-Sep-06,45.44,45.44,44.95,45.27,2487300
25-Sep-06,45.42,45.50,45.06,45.41,2259100
22-Sep-06,45.20,45.54,44.95,45.44,2172500
21-Sep-06,45.35,45.55,44.99,45.03,1319700
20-Sep-06,45.16,45.50,45.15,45.34,1159500
19-Sep-06,45.50,45.60,44.82,45.20,1620600
18-Sep-06,45.45,45.62,45.16,45.50,2569100
15-Sep-06,45.15,45.60,45.06,45.56,2989100
14-Sep-06,44.75,45.04,44.43,45.00,1847400
13-Sep-06,44.82,44.98,44.57,44.92,1500800
12-Sep-06,44.47,45.19,44.47,44.98,1779100
11-Sep-06,43.55,44.57,43.15,44.49,1635800
8-Sep-06,43.75,43.95,43.61,43.81,2487200
7-Sep-06,44.47,44.55,43.86,43.86,2119100
6-Sep-06,44.95,45.04,44.22,44.43,2797500
5-Sep-06,44.96,45.40,44.79,45.25,2140800
