Date,Open,High,Low,Close,Volume
29-Dec-06,70.55,70.67,69.98,70.15,876700
28-Dec-06,70.50,70.64,70.03,70.47,783400
27-Dec-06,71.23,71.45,70.38,70.63,944300
26-Dec-06,70.83,70.86,70.45,70.54,987900
22-Dec-06,71.50,71.50,70.71,70.89,490100
21-Dec-06,71.54,71.99,71.06,71.31,962500
20-Dec-06,71.92,71.93,71.18,71.35,1043800
19-Dec-06,72.05,72.20,71.38,71.67,1230400
18-Dec-06,72.09,72.53,71.73,72.05,887900
15-Dec-06,72.87,72.87,71.96,71.98,1544400
14-Dec-06,72.47,72.87,71.98,72.83,1020400
13-Dec-06,72.75,72.87,72.40,72.49,867300
12-Dec-06,72.60,72.87,72.39,72.55,708500
11-Dec-06,72.75,72.88,72.47,72.67,701100
8-Dec-06,72.72,73.30,72.40,72.88,658700
7-Dec-06,72.48,73.21,72.44,73.03,668100
6-Dec-06,72.41,72.63,72.00,72.50,861100
5-Dec-06,72.39,72.50,71.98,72.13,1074900
4-Dec-06,72.04,73.20,71.95,72.45,875400
1-Dec-06,72.10,72.29,71.18,71.70,887000
30-Nov-06,71.90,72.05,71.31,71.72,1044900
29-Nov-06,71.45,72.42,71.28,72.00,1093400
28-Nov-06,70.16,71.31,69.88,70.96,1410200
27-Nov-06,70.75,71.28,70.16,70.16,982900
24-Nov-06,71.80,71.84,70.97,71.02,257600
22-Nov-06,71.65,72.25,71.49,71.99,1221400
21-Nov-06,71.25,71.99,71.11,71.72,994300
20-Nov-06,70.93,71.35,70.49,71.25,778400
17-Nov-06,71.07,71.38,70.85,71.24,857700
16-Nov-06,70.93,71.80,70.90,71.38,1106400
15-Nov-06,71.46,71.66,70.67,70.68,795000
14-Nov-06,71.09,71.49,70.67,71.15,886300
13-Nov-06,71.12,71.21,70.86,71.02,858400
10-Nov-06,71.60,71.88,70.78,71.18,774400
9-Nov-06,72.30,72.48,71.30,71.38,1001700
8-Nov-06,73.57,73.57,72.10,72.26,1101100
7-Nov-06,72.70,74.00,72.61,73.57,1208900
6-Nov-06,71.55,72.45,71.49,72.41,1079500
3-Nov-06,70.69,70.85,70.38,70.52,1067000
2-Nov-06,70.25,70.55,69.40,70.38,1858300
1-Nov-06,70.10,70.32,68.79,68.81,1544200
31-Oct-06,70.55,70.85,69.80,70.03,1185500
30-Oct-06,70.35,70.84,70.29,70.54,600500
27-Oct-06,70.88,71.23,70.54,70.69,578100
26-Oct-06,70.80,71.06,69.90,70.87,964800
25-Oct-06,71.48,71.52,70.35,70.86,752600
24-Oct-06,72.05,72.37,70.87,71.28,869700
23-Oct-06,71.94,72.24,71.54,72.02,821800
