Date,Open,High,Low,Close,Volume
29-Dec-06,29.60,29.74,29.36,29.42,225400
28-Dec-06,29.71,29.84,29.66,29.68,302200
27-Dec-06,29.77,29.83,29.63,29.80,341800
26-Dec-06,29.17,29.82,29.17,29.76,293200
22-Dec-06,29.55,29.62,29.18,29.18,446600
21-Dec-06,30.10,30.12,29.50,29.60,446600
20-Dec-06,29.92,30.14,29.88,30.02,414400
19-Dec-06,29.98,30.00,29.68,29.88,731800
18-Dec-06,30.28,30.43,30.02,30.02,349400
15-Dec-06,30.39,30.56,30.18,30.22,766000
14-Dec-06,30.26,30.64,30.26,30.34,494600
13-Dec-06,30.60,30.64,30.28,30.32,371200
12-Dec-06,30.54,30.58,30.26,30.44,318600
11-Dec-06,30.88,30.95,30.58,30.60,196800
8-Dec-06,30.92,31.18,30.80,30.88,295200
7-Dec-06,30.88,31.06,30.78,30.92,241400
6-Dec-06,30.80,31.06,30.80,30.96,237800
5-Dec-06,30.91,31.12,30.88,30.97,511600
4-Dec-06,30.40,30.95,30.37,30.90,645200
1-Dec-06,30.48,30.64,29.91,30.33,686000
30-Nov-06,30.62,30.68,30.36,30.54,1151800
29-Nov-06,30.26,30.64,30.26,30.58,399800
28-Nov-06,30.50,30.53,30.14,30.15,589000
27-Nov-06,31.38,31.50,30.66,30.66,659600
24-Nov-06,31.26,31.50,31.24,31.50,114400
22-Nov-06,31.25,31.42,31.12,31.38,537400
21-Nov-06,30.92,31.28,30.88,31.26,343600
20-Nov-06,30.68,31.04,30.68,30.92,538000
17-Nov-06,30.72,30.75,30.55,30.74,372800
16-Nov-06,30.77,30.89,30.63,30.81,389400
15-Nov-06,30.64,30.84,30.55,30.68,624800
14-Nov-06,30.42,30.71,30.30,30.64,668800
13-Nov-06,30.10,30.55,30.08,30.36,387000
10-Nov-06,30.14,30.36,29.99,30.10,460600
9-Nov-06,30.38,30.50,30.08,30.08,319400
8-Nov-06,30.12,30.38,30.08,30.31,484600
7-Nov-06,30.12,30.28,30.03,30.20,1050800
6-Nov-06,30.28,30.36,30.05,30.15,988000
3-Nov-06,30.26,30.56,30.10,30.28,471400
2-Nov-06,30.40,30.42,30.12,30.14,463400
1-Nov-06,30.91,31.16,30.49,30.53,484200
31-Oct-06,31.03,31.24,30.59,30.86,579600
30-Oct-06,30.85,31.16,30.74,31.03,417600
27-Oct-06,31.80,31.80,30.93,30.97,789000
26-Oct-06,30.85,31.89,30.80,31.86,1049800
25-Oct-06,30.38,30.75,30.06,30.64,1074800
24-Oct-06,30.09,30.40,30.08,30.17,1011400
23-Oct-06,30.02,30.33,29.76,30.30,736000
20-Oct-06,31.28,31.28,30.04,30.12,1615400
19-Oct-06,31.45,31.46,31.08,31.28,821200
18-Oct-06,31.25,31.68,31.25,31.46,1360000
17-Oct-06,31.46,31.52,30.91,31.12,718600
16-Oct-06,30.92,31.67,30.92,31.46,934400
13-Oct-06,30.28,30.96,30.20,30.86,890800
12-Oct-06,29.30,30.38,29.30,30.34,714000
11-Oct-06,29.20,29.30,29.02,29.25,298200
10-Oct-06,29.12,29.30,29.08,29.28,328800
9-Oct-06,28.92,29.21,28.90,29.06,434000
6-Oct-06,28.65,29.07,28.59,28.92,578400
5-Oct-06,28.36,28.72,28.32,28.72,650600
4-Oct-06,28.14,28.55,28.12,28.41,504800
3-Oct-06,28.30,28.31,28.08,28.14,627000
2-Oct-06,28.32,28.50,28.10,28.26,848000
29-Sep-06,28.56,28.67,28.26,28.32,684200
28-Sep-06,28.20,28.58,28.18,28.52,716200
27-Sep-06,27.82,28.32,27.80,28.15,437400
26-Sep-06,27.65,27.98,27.62,27.90,479000
25-Sep-06,27.28,27.82,27.21,27.72,378000
22-Sep-06,27.58,27.60,27.14,27.26,505000
21-Sep-06,28.00,28.12,27.50,27.58,703600
20-Sep-06,27.88,28.08,27.70,27.92,861400
19-Sep-06,27.85,27.98,27.50,27.68,1220600
18-Sep-06,27.96,28.20,27.68,27.78,1006600
15-Sep-06,27.58,28.28,27.58,27.96,1265400
14-Sep-06,27.00,27.44,26.92,27.38,794600
13-Sep-06,26.72,27.12,26.66,27.02,392600
12-Sep-06,26.30,26.86,26.30,26.75,401600
11-Sep-06,26.48,26.58,26.26,26.36,642400
8-Sep-06,26.50,26.70,26.38,26.47,258600
7-Sep-06,26.44,26.60,26.24,26.46,388400
6-Sep-06,27.05,27.07,26.53,26.54,403800
5-Sep-06,27.02,27.24,26.89,27.12,422800
1-Sep-06,26.45,27.02,26.45,27.02,515000
31-Aug-06,26.25,26.41,26.10,26.37,330400
30-Aug-06,26.32,26.52,26.14,26.24,407400
29-Aug-06,26.30,26.38,26.12,26.38,769200
28-Aug-06,25.85,26.25,25.85,26.24,306400
25-Aug-06,26.00,26.12,25.76,25.90,279600
24-Aug-06,26.10,26.24,25.93,26.10,523800
23-Aug-06,26.30,26.38,25.78,25.94,326400
22-Aug-06,26.28,26.44,26.13,26.25,340800
21-Aug-06,26.42,26.45,26.20,26.30,384200
18-Aug-06,26.65,26.69,26.40,26.50,293000
17-Aug-06,26.47,26.78,26.45,26.58,410400
16-Aug-06,26.19,26.65,26.11,26.57,471800
15-Aug-06,24.90,26.08,24.90,26.06,551400
14-Aug-06,25.18,25.62,25.16,25.34,1054600
11-Aug-06,25.26,25.32,24.85,25.06,580000
10-Aug-06,25.20,25.47,25.14,25.26,659400
9-Aug-06,25.85,25.91,25.24,25.26,681200
8-Aug-06,26.18,26.20,25.63,25.72,479200
7-Aug-06,26.36,26.48,26.00,26.15,436600
4-Aug-06,26.62,27.10,26.20,26.36,769600
3-Aug-06,26.34,26.73,26.25,26.52,1129800
2-Aug-06,26.44,26.54,26.29,26.34,825600
1-Aug-06,26.50,26.50,26.22,26.34,694200
31-Jul-06,26.65,26.85,26.60,26.62,1034400
28-Jul-06,26.62,27.00,26.62,26.65,900400
27-Jul-06,27.25,27.48,26.43,26.48,875600
26-Jul-06,26.25,27.34,25.38,27.06,2318000
25-Jul-06,27.22,27.61,26.85,27.17,915800
24-Jul-06,26.86,27.27,26.84,27.20,656400
21-Jul-06,27.40,27.40,26.68,26.74,807800
20-Jul-06,28.19,28.45,27.38,27.40,924800
19-Jul-06,27.46,28.30,27.40,28.20,880400
18-Jul-06,28.00,28.22,27.08,27.34,1929600
17-Jul-06,29.12,29.38,27.99,28.00,1032600
14-Jul-06,28.88,29.02,28.52,28.96,852200
13-Jul-06,29.78,29.78,28.82,28.88,878000
12-Jul-06,30.47,30.47,29.84,29.90,471200
11-Jul-06,30.59,30.78,30.20,30.59,711400
10-Jul-06,30.57,30.90,30.55,30.68,565000
7-Jul-06,30.85,30.93,30.44,30.48,835600
6-Jul-06,30.55,31.15,30.55,30.88,823800
5-Jul-06,30.74,30.75,30.20,30.60,771400
3-Jul-06,31.12,31.25,30.60,30.84,1004000
30-Jun-06,30.30,31.12,29.97,31.12,3901600
29-Jun-06,29.08,30.21,29.06,30.21,759400
28-Jun-06,29.13,29.16,28.72,28.96,799600
27-Jun-06,29.30,29.58,28.76,29.13,1342400
26-Jun-06,28.99,29.36,28.91,29.32,705400
23-Jun-06,28.48,29.18,28.32,28.86,735800
22-Jun-06,28.62,28.65,28.19,28.65,982200
21-Jun-06,28.08,28.95,28.05,28.74,675000
