"","X","MatchAsgName","cluster","Competitors"
"1",1,"ADVANCED CARDIOVASCULAR SYSTEMS INC",6,"BAXTER INTERNATIONAL INC, BECTON DICKINSON AND COMPANY, ETHICON INC, KENNAMETAL INC, MATTEL INC, MEDTRONIC INC"
"2",2,"BAXTER INTERNATIONAL INC",6,"ADVANCED CARDIOVASCULAR SYSTEMS INC, BECTON DICKINSON AND COMPANY, ETHICON INC, KENNAMETAL INC, MATTEL INC, MEDTRONIC INC"
"3",3,"BECTON DICKINSON AND COMPANY",6,"ADVANCED CARDIOVASCULAR SYSTEMS INC, BAXTER INTERNATIONAL INC, ETHICON INC, KENNAMETAL INC, MATTEL INC, MEDTRONIC INC"
"4",4,"ETHICON INC",6,"ADVANCED CARDIOVASCULAR SYSTEMS INC, BAXTER INTERNATIONAL INC, BECTON DICKINSON AND COMPANY, KENNAMETAL INC, MATTEL INC, MEDTRONIC INC"
"5",5,"KENNAMETAL INC",6,"ADVANCED CARDIOVASCULAR SYSTEMS INC, BAXTER INTERNATIONAL INC, BECTON DICKINSON AND COMPANY, ETHICON INC, MATTEL INC, MEDTRONIC INC"
"6",6,"MATTEL INC",6,"ADVANCED CARDIOVASCULAR SYSTEMS INC, BAXTER INTERNATIONAL INC, BECTON DICKINSON AND COMPANY, ETHICON INC, KENNAMETAL INC, MEDTRONIC INC"
"7",7,"MEDTRONIC INC",6,"ADVANCED CARDIOVASCULAR SYSTEMS INC, BAXTER INTERNATIONAL INC, BECTON DICKINSON AND COMPANY, ETHICON INC, KENNAMETAL INC, MATTEL INC"
"8",8,"AFFYMETRIX INC",7,"AGILENT TECHNOLOGIES INC, CORNING INCORPORATED, SYMYX TECHNOLOGIES INC"
"9",9,"AGILENT TECHNOLOGIES INC",7,"AFFYMETRIX INC, CORNING INCORPORATED, SYMYX TECHNOLOGIES INC"
"10",10,"CORNING INCORPORATED",7,"AFFYMETRIX INC, AGILENT TECHNOLOGIES INC, SYMYX TECHNOLOGIES INC"
"11",11,"SYMYX TECHNOLOGIES INC",7,"AFFYMETRIX INC, AGILENT TECHNOLOGIES INC, CORNING INCORPORATED"
"12",12,"CABOT CORPORATION",9,"GENERAL MILLS INC, MERCK PATENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG, PPG INDUSTRIES OHIO INC, RECOT INC, ROHM AND HAAS COMPANY"
"13",13,"GENERAL MILLS INC",9,"CABOT CORPORATION, MERCK PATENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG, PPG INDUSTRIES OHIO INC, RECOT INC, ROHM AND HAAS COMPANY"
"14",14,"MERCK PATENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG",9,"CABOT CORPORATION, GENERAL MILLS INC, PPG INDUSTRIES OHIO INC, RECOT INC, ROHM AND HAAS COMPANY"
"15",15,"PPG INDUSTRIES OHIO INC",9,"CABOT CORPORATION, GENERAL MILLS INC, MERCK PATENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG, RECOT INC, ROHM AND HAAS COMPANY"
"16",16,"RECOT INC",9,"CABOT CORPORATION, GENERAL MILLS INC, MERCK PATENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG, PPG INDUSTRIES OHIO INC, ROHM AND HAAS COMPANY"
